
[00:00:00.000 --> 00:00:03.760]  人生有很多的抉擇
[00:00:03.760 --> 00:00:04.800]  我想問問大家
[00:00:04.800 --> 00:00:07.200]  有多少人試過做錯了決定
[00:00:07.200 --> 00:00:08.440]  後悔過的
[00:00:08.440 --> 00:00:09.880]  可不可以舉手
[00:00:09.880 --> 00:00:12.200]  人生裡面
[00:00:12.200 --> 00:00:14.000]  很多事情都會做錯決定
[00:00:14.000 --> 00:00:15.800]  同意嗎
[00:00:15.800 --> 00:00:18.080]  舉個例子
[00:00:18.080 --> 00:00:19.400]  微信之前
[00:00:19.400 --> 00:00:22.200]  可能是選科
[00:00:22.200 --> 00:00:23.480]  選男生
[00:00:23.480 --> 00:00:25.120]  選女生
[00:00:25.120 --> 00:00:28.000]  然後選你的職業
[00:00:28.000 --> 00:00:29.800]  然後
[00:00:29.800 --> 00:00:31.800]  借錢還是不借錢呢
[00:00:31.800 --> 00:00:35.000]  因為現在的廣告非常吸引
[00:00:35.000 --> 00:00:36.200]  記得睡了不久
[00:00:36.200 --> 00:00:37.200]  你看看廣告
[00:00:37.200 --> 00:00:38.600]  老公
[00:00:38.600 --> 00:00:39.800]  我這件又未買
[00:00:39.800 --> 00:00:41.000]  這件又未買
[00:00:41.000 --> 00:00:42.000]  那件又未買
[00:00:42.000 --> 00:00:43.000]  那件又未買
[00:00:43.000 --> 00:00:47.400]  很多東西都未買
[00:00:47.400 --> 00:00:49.400]  未買就買
[00:00:49.400 --> 00:00:52.200]  但預算用完了
[00:00:52.200 --> 00:00:54.000]  不用怕
[00:00:54.000 --> 00:00:57.400]  幫民幫得利
[00:00:57.400 --> 00:00:59.400]  然後有很多
[00:00:59.400 --> 00:01:01.600]  一些財務公司
[00:01:01.600 --> 00:01:05.400]  借貸不用入息審查
[00:01:05.400 --> 00:01:07.800]  很方便
[00:01:07.800 --> 00:01:09.200]  很快搞定
[00:01:09.200 --> 00:01:12.000]  馬上幫你搞定
[00:01:12.000 --> 00:01:14.000]  吸不吸引呢
[00:01:14.000 --> 00:01:16.000]  很多時候我們見到人
[00:01:16.000 --> 00:01:17.600]  都是因為這些吸引
[00:01:17.600 --> 00:01:19.800]  很快做一個決定
[00:01:19.800 --> 00:01:22.400]  但沒想到那些決定
[00:01:22.400 --> 00:01:25.000]  原來就是一個陷阱
[00:01:25.000 --> 00:01:28.800]  我有一次幫一個朋友
[00:01:28.800 --> 00:01:31.600]  這個朋友
[00:01:31.600 --> 00:01:35.200]  就是因為身體的緣故
[00:01:35.200 --> 00:01:37.200]  精神不妥
[00:01:37.200 --> 00:01:40.800]  以至那份工作沒辦法維持
[00:01:40.800 --> 00:01:42.800]  無法維持之後
[00:01:42.800 --> 00:01:46.000]  竟然被十幾個不同的
[00:01:46.000 --> 00:01:50.200]  一些機構公司追討
[00:01:50.200 --> 00:01:52.600]  後來要破產
[00:01:52.600 --> 00:01:55.000]  這些追討不是很多錢
[00:01:55.000 --> 00:01:56.200]  幾萬元
[00:01:56.200 --> 00:01:57.200]  十幾萬
[00:01:57.200 --> 00:01:59.200]  有些是幾十萬
[00:01:59.200 --> 00:02:02.000]  我說為何這麼多債儲
[00:02:02.000 --> 00:02:03.000]  看一看
[00:02:03.000 --> 00:02:06.400]  嚇了我一跳
[00:02:06.400 --> 00:02:08.400]  什麼電器
[00:02:08.400 --> 00:02:11.400]  幾萬元欠債
[00:02:11.400 --> 00:02:13.600]  然後什麼傢俬
[00:02:13.600 --> 00:02:15.600]  幾萬元欠債
[00:02:15.600 --> 00:02:16.800]  然後什麼財務
[00:02:16.800 --> 00:02:18.200]  什麼銀行
[00:02:18.200 --> 00:02:20.800]  然後什麼公司
[00:02:20.800 --> 00:02:24.400]  很多東西都是先使未來錢
[00:02:24.400 --> 00:02:25.400]  什麼意思呢
[00:02:25.400 --> 00:02:28.800]  就是因為現在太方便
[00:02:28.800 --> 00:02:31.400]  iPhone
[00:02:31.400 --> 00:02:35.200]  不用付錢
[00:02:35.200 --> 00:02:36.200]  盡快吧
[00:02:36.200 --> 00:02:39.000]  iPhone 5可以用
[00:02:39.000 --> 00:02:40.600]  彩色電視
[00:02:40.600 --> 00:02:41.800]  3D
[00:02:41.800 --> 00:02:43.800]  不用錢的
