
[00:00:00.000 --> 00:00:03.000]  你們節目有沒有發現今天有點不同了
[00:00:03.000 --> 00:00:05.000]  多了幾枝樹枝
[00:00:05.000 --> 00:00:08.000]  上一季呢
[00:00:08.000 --> 00:00:13.000]  我家裡就找人幫我斬了六棵這些棕樹
[00:00:13.000 --> 00:00:15.000]  我就斬剩兩棵很小的
[00:00:15.000 --> 00:00:16.000]  就在我後花園
[00:00:16.000 --> 00:00:18.000]  我就想著每一年這個日子
[00:00:18.000 --> 00:00:19.000]  就可以在那些棕樹那裡
[00:00:19.000 --> 00:00:21.000]  剪一些樹枝回來和大家說說
[00:00:21.000 --> 00:00:23.000]  今天是棕枝主日
[00:00:23.000 --> 00:00:24.000]  在我們基督教來說
[00:00:24.000 --> 00:00:26.000]  是叫棕枝主日
[00:00:26.000 --> 00:00:27.000]  什麼是棕枝主日呢
[00:00:27.000 --> 00:00:29.000]  就是剛才你們讀的這段聖經
[00:00:29.000 --> 00:00:31.000]  那些群眾斬了很多的樹枝
[00:00:31.000 --> 00:00:36.000]  鋪在地上迎接耶穌基督進入耶路撒冷
[00:00:36.000 --> 00:00:40.000]  這個是耶穌基督最後一次進入耶路撒冷
[00:00:40.000 --> 00:00:44.000]  因為祂將要去走十字架的路
[00:00:44.000 --> 00:00:47.000]  被釘死在十字架上面死
[00:00:47.000 --> 00:00:52.000]  所以教會特別定這一天叫做棕枝主日
[00:00:52.000 --> 00:00:54.000]  棕枝主日將會是一年裡面
[00:00:54.000 --> 00:00:55.000]  在基督教裡面
[00:00:55.000 --> 00:00:58.000]  差不多是最重要的一個節日
[00:00:58.000 --> 00:00:59.000]  因為這個星期
[00:00:59.000 --> 00:01:02.000]  星期四是立聖餐日
[00:01:02.000 --> 00:01:05.000]  立聖餐日就是耶穌基督幫門徒洗腳
[00:01:05.000 --> 00:01:07.000]  和他們最後晚餐
[00:01:07.000 --> 00:01:10.000]  星期五就是壽苦節
[00:01:10.000 --> 00:01:13.000]  紀念耶穌基督被釘十字架
[00:01:13.000 --> 00:01:15.000]  星期日就是主日崇拜
[00:01:15.000 --> 00:01:17.000]  主日崇拜就是紀念耶穌基督
[00:01:17.000 --> 00:01:19.000]  為我們死而復活
[00:01:19.000 --> 00:01:22.000]  第三日復活的日子
[00:01:22.000 --> 00:01:23.000]  所以這個星期
[00:01:23.000 --> 00:01:28.000]  在基督教來說是全年最重要的一個節日
[00:01:28.000 --> 00:01:33.000]  特別我們看到剛才這一段的經文
[00:01:33.000 --> 00:01:35.000]  剛才這裡說什麼呢
[00:01:35.000 --> 00:01:39.000]  就是當時耶穌很高調地騎著路
[00:01:39.000 --> 00:01:41.000]  進入耶路撒冷城
[00:01:41.000 --> 00:01:42.000]  騎路
[00:01:42.000 --> 00:01:43.000]  為什麼呢
[00:01:43.000 --> 00:01:44.000]  因為以前有些背景
[00:01:44.000 --> 00:01:45.000]  特別是舊約的背景
[00:01:45.000 --> 00:01:49.000]  是君王很多時候會騎路
[00:01:51.000 --> 00:01:53.000]  他要公開自己的身份
[00:01:53.000 --> 00:01:54.000]  就是君王
[00:01:54.000 --> 00:01:56.000]  就是舊約經常說
[00:01:56.000 --> 00:02:00.000]  答應將會來救他們的尼塞亞
[00:02:00.000 --> 00:02:03.000]  他是一個又和平又榮耀的君王
[00:02:03.000 --> 00:02:05.000]  耶穌是很高調地
[00:02:05.000 --> 00:02:08.000]  用這個姿態進入耶路撒冷城
[00:02:08.000 --> 00:02:10.000]  今天我們知道
[00:02:10.000 --> 00:02:12.000]  耶穌這樣進入耶路撒冷城
[00:02:12.000 --> 00:02:14.000]  對當時一班門徒來說
[00:02:14.000 --> 00:02:16.000]  有什麼關係呢
[00:02:16.000 --> 00:02:18.000]  有什麼提醒呢
[00:02:18.000 --> 00:02:20.000]  今天對於我們來說
[00:02:20.000 --> 00:02:22.000]  我們說我們是信耶穌的
[00:02:22.000 --> 00:02:25.000]  我們是跟從耶穌的人
[00:02:25.000 --> 00:02:26.000]  對我們來說
[00:02:26.000 --> 00:02:29.000]  有什麼關係呢
[00:02:29.000 --> 00:02:32.000]  我們一起有個安靜禱告
[00:02:32.000 --> 00:02:38.000]  天父求你的靈
[00:02:38.000 --> 00:02:40.000]  在我們心裡面去工作
[00:02:40.000 --> 00:02:43.000]  讓我們能夠去明白
[00:02:43.000 --> 00:02:46.000]  我們不單聽到神的說話
[00:02:46.000 --> 00:02:47.000]  我們明白
[00:02:47.000 --> 00:02:50.000]  也有神的說話在我們心裡面
[00:02:50.000 --> 00:02:52.000]  鼓舞我們
[00:02:52.000 --> 00:02:53.000]  提醒我們
[00:02:53.000 --> 00:02:54.000]  督責我們
[00:02:54.000 --> 00:02:56.000]  引導我們
[00:02:56.000 --> 00:02:59.000]  讓我們成為主你的真門徒
[00:02:59.000 --> 00:03:01.000]  讓我們在生命裡面
[00:03:01.000 --> 00:03:02.000]  活出你的樣式
[00:03:02.000 --> 00:03:04.000]  我們能夠在每一時每一刻
[00:03:04.000 --> 00:03:06.000]  和主你同行十家的路
