
[00:00:00.000 --> 00:00:03.000]  今晚想跟大家分享甚麼呢?
[00:00:03.000 --> 00:00:06.000]  先給大家看看這個玩偶
[00:00:06.000 --> 00:00:12.000]  你怎樣去理解...
[00:00:12.000 --> 00:00:15.000]  啊,還沒出來
[00:00:15.000 --> 00:00:19.000]  這些技術上的故障通常都是這樣
[00:00:19.000 --> 00:00:22.000]  劇情發展到這裡就是這樣
[00:00:22.000 --> 00:00:28.000]  可以嗎?啊,可以了
[00:00:28.000 --> 00:00:31.000]  你怎樣去理解自由呢?
[00:00:31.000 --> 00:00:35.000]  老套一點,我當然是上網
[00:00:35.000 --> 00:00:38.000]  現在沒有實體字典了
[00:00:38.000 --> 00:00:41.000]  上網就看自由是怎樣解釋
[00:00:41.000 --> 00:00:45.000]  有些網站說,自由就是你做你想做的事
[00:00:45.000 --> 00:00:49.000]  想去做甚麼,沒有任何限制
[00:00:49.000 --> 00:00:52.000]  這就叫做自由
[00:00:52.000 --> 00:00:56.000]  當我想跟大家分享有甚麼可以分享的時候
[00:00:56.000 --> 00:00:59.000]  最近大家經歷多了這幾個月
[00:00:59.000 --> 00:01:02.000]  外圍有很多的動盪
[00:01:02.000 --> 00:01:06.000]  中美貿易戰,或者剛才說的祈禱逃犯條例
[00:01:06.000 --> 00:01:12.000]  好像外在有很多的動盪或不安
[00:01:12.000 --> 00:01:15.000]  當我想起我自己做Y.A.的時候
[00:01:15.000 --> 00:01:18.000]  我不知道你現在是不是
[00:01:18.000 --> 00:01:21.000]  我那時候的工作時間是很長的
[00:01:21.000 --> 00:01:24.000]  跪是低眉,沒甚麼話事權
[00:01:24.000 --> 00:01:27.000]  都是別人叫你做甚麼就做甚麼
[00:01:27.000 --> 00:01:30.000]  我不知道你們是不是這樣,可能你們已經說了算
[00:01:30.000 --> 00:01:32.000]  或者可能你的工資很高,我不知道
[00:01:32.000 --> 00:01:34.000]  我當年就不是這樣
[00:01:34.000 --> 00:01:37.000]  好像沒有甚麼選擇
[00:01:37.000 --> 00:01:40.000]  讀完書以為大學生好像很厲害
[00:01:40.000 --> 00:01:44.000]  出來之後,原來只是食物鏈的最低層
[00:01:44.000 --> 00:01:48.000]  好像重新要離閣,經常都要忍耐
[00:01:48.000 --> 00:01:52.000]  但當我想到自由,有沒有選擇的時候
[00:01:52.000 --> 00:01:56.000]  有一個人物經常都會在我想起
