
[00:00:00.000 --> 00:00:02.780]  各位兄弟姐妹 晚安
[00:00:02.780 --> 00:00:05.080]  我們開車的時候一起祈禱
[00:00:05.080 --> 00:00:10.840]  賜給人類的天父 我們多謝祢
[00:00:10.840 --> 00:00:12.920]  讓我們有機會聚集
[00:00:12.920 --> 00:00:15.440]  我們去讀祢的話語
[00:00:15.440 --> 00:00:19.000]  主要求祢使用祢使禮為祢預備的講章
[00:00:19.000 --> 00:00:21.420]  讓無論講的、聽的
[00:00:21.420 --> 00:00:24.480]  都得著主祢的祝福和教導
[00:00:24.480 --> 00:00:28.100]  我們這樣禱告奉主耶穌基督得勝的名祈求
[00:00:28.100 --> 00:00:29.100]  阿門
[00:00:31.000 --> 00:00:35.000]  很快我們講到傳道書
[00:00:35.000 --> 00:00:39.000]  我們已經去到最後那幾章
[00:00:39.000 --> 00:00:41.000]  不知道聽到這裡
[00:00:41.000 --> 00:00:43.000]  傳道書講了這麼多
[00:00:43.000 --> 00:00:45.000]  由第一章現在去到第九章
[00:00:45.000 --> 00:00:48.000]  你覺得傳道書作者不客的人生
[00:00:48.000 --> 00:00:51.000]  是正面還是負面呢?
[00:00:51.000 --> 00:00:54.000]  傳道書是智慧書
[00:00:54.000 --> 00:00:59.000]  主要都教我們怎樣掌握活在人世間生活的智慧
[00:00:59.000 --> 00:01:02.000]  不知道你又收到多少呢?
[00:01:02.000 --> 00:01:05.000]  今天我們會看第九章
[00:01:05.000 --> 00:01:08.000]  究竟第九章是講什麼呢?
[00:01:08.000 --> 00:01:11.000]  其實經過過去那幾天
[00:01:11.000 --> 00:01:13.000]  我作為一個大步人
[00:01:13.000 --> 00:01:16.000]  災難在我面前發生
[00:01:16.000 --> 00:01:19.000]  我簡直不敢相信看到的東西
[00:01:19.000 --> 00:01:21.000]  再去看傳道書
[00:01:21.000 --> 00:01:23.000]  再去看第九章的時候
[00:01:23.000 --> 00:01:25.000]  真是百般滋味在心頭
[00:01:25.000 --> 00:01:30.000]  究竟人面對災難可以怎樣自處呢?
[00:01:30.000 --> 00:01:33.000]  今天我們講第九章的時候
[00:01:33.000 --> 00:01:36.000]  我們會看一至十二節
[00:01:36.000 --> 00:01:38.000]  剛才主席也幫我們讀到
[00:01:38.000 --> 00:01:40.000]  一段經文告訴我們
[00:01:40.000 --> 00:01:44.000]  世人無法知道將來會發生什麼事
[00:01:44.000 --> 00:01:47.000]  掌權的只是上帝
[00:01:47.000 --> 00:01:50.000]  十二節可以分為三個小段
[00:01:50.000 --> 00:01:51.000]  一至六節
[00:01:51.000 --> 00:01:52.000]  七至十節
[00:01:52.000 --> 00:01:54.000]  和十一至十二節
[00:01:54.000 --> 00:01:56.000]  我們慢慢去看
[00:01:56.000 --> 00:01:58.000]  第一段是一至六節
[00:01:58.000 --> 00:02:00.000]  傳道者說
[00:02:00.000 --> 00:02:03.000]  每人都有自己的一份的時候
[00:02:03.000 --> 00:02:04.000]  而這裡說
[00:02:04.000 --> 00:02:06.000]  每人的一份
[00:02:06.000 --> 00:02:08.000]  都包括了一樣東西
[00:02:08.000 --> 00:02:10.000]  就是活死亡
[00:02:10.000 --> 00:02:13.000]  經文第一節這樣說
[00:02:13.000 --> 00:02:17.000]  我將這一切事放在心上
[00:02:17.000 --> 00:02:19.000]  詳細研究這些
[00:02:19.000 --> 00:02:24.000]  就知道義人和智慧人並他們的作為
[00:02:24.000 --> 00:02:26.000]  都在上帝手中
[00:02:26.000 --> 00:02:30.000]  或是愛或是恨都在他們面前
[00:02:30.000 --> 00:02:32.000]  但人不能知道
[00:02:32.000 --> 00:02:35.000]  傳道者經歷過他的人生
[00:02:35.000 --> 00:02:37.000]  他講到第九章的時候
[00:02:37.000 --> 00:02:41.000]  好像為傳道書前面那幾章作了一個小結
[00:02:41.000 --> 00:02:44.000]  就是說經過他的調查和研究之後
[00:02:44.000 --> 00:02:47.000]  他就知道義人和智慧人
[00:02:47.000 --> 00:02:49.000]  並他們所做的
[00:02:49.000 --> 00:02:51.000]  都在上帝的手中
[00:02:51.000 --> 00:02:53.000]  無論是愛還是恨
[00:02:53.000 --> 00:02:55.000]  都在他們的面前
[00:02:55.000 --> 00:02:57.000]  人不能知道
[00:02:57.000 --> 00:03:01.000]  這裡主要是說義人和智慧人
[00:03:01.000 --> 00:03:04.000]  這兩種人的作為都在上帝的手中
[00:03:04.000 --> 00:03:09.000]  經文裡的作為的意思其實是說果效
[00:03:09.000 --> 00:03:12.000]  就是說無論是義人和智慧人
[00:03:12.000 --> 00:03:14.000]  在工作上是否有果效
[00:03:14.000 --> 00:03:17.000]  都是掌握在上帝的手中
[00:03:17.000 --> 00:03:19.000]  這裡講愛和恨
[00:03:19.000 --> 00:03:21.000]  傳道書所講的愛和恨
[00:03:21.000 --> 00:03:23.000]  和我們一般人是不同的
[00:03:23.000 --> 00:03:26.000]  它是講祝福和災禍
[00:03:26.000 --> 00:03:28.000]  無論是祝福還是災禍
[00:03:28.000 --> 00:03:30.000]  都在上帝的手中
[00:03:30.000 --> 00:03:34.000]  人不能知道和明白
[00:03:34.000 --> 00:03:36.000]  我們不能不承認
[00:03:36.000 --> 00:03:39.000]  上帝所創造的我們的人生
[00:03:39.000 --> 00:03:42.000]  有些事情我們真的沒有辦法去明白
[00:03:42.000 --> 00:03:44.000]  面對天災
[00:03:44.000 --> 00:03:46.000]  人的生命都很脆弱
[00:03:46.000 --> 00:03:49.000]  面對災難發生的時候
[00:03:49.000 --> 00:03:52.000]  沒有人能夠掌握到自己的命運
[00:03:52.000 --> 00:03:57.000]  人不能掌握到自己會遇到什麼際遇
[00:03:57.000 --> 00:03:59.000]  或者自己的人生是怎樣
[00:03:59.000 --> 00:04:03.000]  人怎樣和什麼時候死確實是一個謎
[00:04:03.000 --> 00:04:06.000]  義人和智慧人都不能控制
[00:04:06.000 --> 00:04:09.000]  或者避免死亡的來臨
[00:04:09.000 --> 00:04:12.000]  這一切都在上帝的掌管中
[00:04:12.000 --> 00:04:15.000]  人能夠因為見到好人未得好報
