
[00:00:00.000 --> 00:00:02.000]  我們接受祈禱
[00:00:02.000 --> 00:00:04.000]  最後多謝祢
[00:00:04.000 --> 00:00:06.000]  祢給我們有機會來敬拜祢
[00:00:06.000 --> 00:00:07.000]  用詩歌讚美祢
[00:00:07.000 --> 00:00:09.000]  祢是配得我們的敬拜
[00:00:09.000 --> 00:00:10.000]  我們的讚美
[00:00:10.000 --> 00:00:11.000]  在這一刻
[00:00:11.000 --> 00:00:12.000]  求祢安靜我們的心
[00:00:12.000 --> 00:00:14.000]  對我們每一個人的說話
[00:00:14.000 --> 00:00:17.000]  我們祈禱奉主耶穌基督明求
[00:00:17.000 --> 00:00:18.000]  阿們
[00:00:18.000 --> 00:00:21.000]  今天我們的經文就讀到
[00:00:21.000 --> 00:00:26.000]  以色列在埃及住了四百多年
[00:00:26.000 --> 00:00:28.000]  他們被欺壓
[00:00:28.000 --> 00:00:29.000]  他們祈求神
[00:00:29.000 --> 00:00:34.000]  最後神在一個惡劣的環境裏面
[00:00:34.000 --> 00:00:36.000]  呼召了祂的僕人摩西
[00:00:36.000 --> 00:00:41.000]  來帶領祂的子民出埃及
[00:00:41.000 --> 00:00:45.000]  實在我的那篇道就是
[00:00:45.000 --> 00:00:49.000]  反而是摩西怎樣回應神
[00:00:49.000 --> 00:00:52.000]  就不是神呼召摩西
[00:00:52.000 --> 00:00:57.000]  多數先知神呼召祂的時候都先說NO
[00:00:57.000 --> 00:00:59.000]  耶利米也是這樣
[00:00:59.000 --> 00:01:02.000]  以塞亞就沒有那麼重要
[00:01:02.000 --> 00:01:04.000]  很多人都說NO
[00:01:04.000 --> 00:01:06.000]  但多數是說一次
[00:01:06.000 --> 00:01:11.000]  摩西竟然是先知之先知
[00:01:11.000 --> 00:01:13.000]  祂就推唐了四次
[00:01:13.000 --> 00:01:15.000]  祂那四次的推唐
[00:01:15.000 --> 00:01:18.000]  就成為今天我們這篇道
[00:01:18.000 --> 00:01:20.000]  那四個Point
[00:01:20.000 --> 00:01:21.000]  第一樣東西
[00:01:21.000 --> 00:01:24.000]  祂在第三章第十一節
