
[00:00:00.000 --> 00:00:02.480]  今日就同你睇呢段經文傳道書
[00:00:02.480 --> 00:00:04.760]  我喺度睇緊傳道書 去到第七章
[00:00:04.760 --> 00:00:07.720]  頭先主席讀 唔知主席自己都唔會睇下
[00:00:07.720 --> 00:00:12.080]  牧師點解剪裁 揀一節四節 跟住十四節十八節
[00:00:12.080 --> 00:00:15.280]  有乜嘢呢 咁大段傳道書 你樣樣唔揀
[00:00:15.280 --> 00:00:19.080]  淨係講 講講呢八節聖經有咩意思
[00:00:19.080 --> 00:00:21.560]  有咩拉撚 呢八節同其他有咩唔同
[00:00:21.560 --> 00:00:24.560]  所以淨係咁剪開 有咩拉撚 有咩唔同
[00:00:24.560 --> 00:00:28.160]  估下啫 答錯無唔罰㗎喎真係
[00:00:28.160 --> 00:00:30.640]  有咩拉撚 點解無啦啦咁揀呢八節出嚟
[00:00:30.640 --> 00:00:34.560]  有咩共通點呢 有冇㗎 你夠乜嘢讀
[00:00:34.560 --> 00:00:41.080]  好嘅壞嘅 其實前前後後都係好嘅壞嘅對比㗎喎
[00:00:41.080 --> 00:00:43.720]  成章都係㗎喎真係 揀唔哂㗎喎真係
[00:00:43.720 --> 00:00:46.720]  唔單止係咁樣 你唔知你敢唔敢數
[00:00:46.720 --> 00:00:51.120]  除咗係三節同十八節外 全部年初一唔講得㗎
[00:00:51.120 --> 00:00:53.000]  全部都同社會有關 我斬晒啦
[00:00:53.000 --> 00:00:56.320]  七章裡面全部都同社會有關 揀晒出嚟㗎喇 係咁多㗎啦真係
[00:00:56.320 --> 00:00:59.400]  咁所以全部呢都係啲死呀咩嘢成呀
[00:00:59.400 --> 00:01:02.040]  即係都都係related呀滅亡呀
[00:01:02.040 --> 00:01:05.160]  即係即係唔得掂呀 全部都係呢啲死
[00:01:05.160 --> 00:01:08.400]  同死有關 年初一唔講得 所以今日講晒佢先
[00:01:08.400 --> 00:01:11.280]  咁呢個我睇呢 我亦都解埋一樣嘢就係
[00:01:11.280 --> 00:01:13.120]  傳道書係對話嚟㗎
[00:01:13.120 --> 00:01:15.520]  我之前有同大家解過㗎 有時你見到
[00:01:15.520 --> 00:01:18.560]  點解好似前文答後理個語氣唔同咗呢
[00:01:18.560 --> 00:01:22.320]  因為好似呢 我覺得呢排我睇咗好多Charlie Kirk啲片呀
[00:01:22.320 --> 00:01:24.760]  即係其實佢到大學度同人對話咁就聽到
[00:01:24.760 --> 00:01:27.360]  有時佢淨係剪咗佢自己嗰段 因為冇剪到
[00:01:27.360 --> 00:01:30.000]  人哋問佢嗰段嘛 所以有時個感覺好似
[00:01:30.000 --> 00:01:33.600]  咦 唔係好consistent 因為code返人哋嗰句話嘛
[00:01:33.600 --> 00:01:35.840]  人哋嗰句話咁我而家講返 我答緊你
[00:01:35.840 --> 00:01:38.520]  咁於是乎你覺得前尾唔好夾咁樣囉
[00:01:38.520 --> 00:01:39.520]  感唔感受到先
[00:01:39.520 --> 00:01:43.480]  但係一陣會詳細嘗試同你解答呢個issue嘅
[00:01:43.480 --> 00:01:47.400]  係有啲痕跡喺度嘅 但唔係好明顯 但係有痕跡喺度
[00:01:47.400 --> 00:01:50.760]  咁呢我哋先睇第一字 命遇強如美好的膏油
[00:01:50.760 --> 00:01:53.400]  人死的日子勝過人生的日子
[00:01:53.400 --> 00:01:56.360]  首先命遇同埋膏油 如果睇原文
[00:01:56.360 --> 00:01:58.480]  我自己就咁徒手查經睇唔到
[00:01:58.480 --> 00:02:00.360]  呢啲係《悉經書》講畀我哋聽㗎
[00:02:00.360 --> 00:02:03.040]  命遇同埋膏油呢兩個字呢
[00:02:03.040 --> 00:02:05.400]  其實食字嚟㗎 差唔多音㗎
[00:02:05.400 --> 00:02:07.160]  一聽出嚟 即係佢哋一聽嘅時候
[00:02:07.160 --> 00:02:12.040]  係覺得係差唔多嘅 係押韻對稱
[00:02:12.040 --> 00:02:13.520]  咁命遇係咩命遇呢
[00:02:13.520 --> 00:02:16.120]  就唔係命遇博士 命遇學士 命遇顧問
[00:02:16.120 --> 00:02:16.880]  唔係嗰啲
[00:02:16.880 --> 00:02:20.280]  個命遇係講咗死後之後呢 人哋點樣去comment佢
[00:02:20.280 --> 00:02:23.720]  所以命遇呢個字眼本身有specific嘅用處
[00:02:23.720 --> 00:02:25.320]  又係同死亡有關
[00:02:25.320 --> 00:02:27.760]  咁膏油呢就係去party嘅時候
[00:02:27.760 --> 00:02:30.280]  即係宴會嘅時候所查嘅膏油
[00:02:30.280 --> 00:02:32.280]  嗰啲係好短暫嘅
[00:02:32.280 --> 00:02:34.360]  咁命遇呢留在你身後
[00:02:34.360 --> 00:02:38.600]  所以亦都係講緊人死嘅日子勝過人生嘅日子
[00:02:38.600 --> 00:02:42.360]  特別想講埋呢就係呢個勝過或者強如
[00:02:42.360 --> 00:02:45.320]  呢啲呢啲字眼都講緊係好過
[00:02:45.320 --> 00:02:47.880]  即係唔係話唔好 嗰啲更好
[00:02:47.880 --> 00:02:50.200]  咁所以呢整體嚟講後面都講到啦
[00:02:50.200 --> 00:02:54.440]  往遭傷的家去就強如往燕落的家去
[00:02:54.440 --> 00:02:59.160]  總結嚟講就係去安息禮拜就得到嘅智慧
[00:02:59.160 --> 00:03:00.360]  特別呢度想強調
[00:03:00.360 --> 00:03:03.480]  喺度思想緊智慧就得到嘅智慧係多過去邊度呀
[00:03:03.480 --> 00:03:05.240]  去生日party得唔得
[00:03:05.240 --> 00:03:07.960]  就係成個concept就係你生日party
[00:03:07.960 --> 00:03:09.400]  其實攞唔到幾多智慧嘅
[00:03:09.400 --> 00:03:10.440]  但係去邊安息禮拜呢
[00:03:10.440 --> 00:03:13.080]  好多智慧會喺人生嘅體會當中得到
[00:03:13.080 --> 00:03:17.400]  所以去遭傷之家強如好過去呢個燕落party
[00:03:17.400 --> 00:03:19.400]  不過又講返轉頭強如好過
[00:03:19.400 --> 00:03:21.640]  就並唔代表唔係好
[00:03:21.640 --> 00:03:23.240]  即係並唔係唔好
[00:03:23.240 --> 00:03:25.080]  即係都係好不過冇咁好
[00:03:25.080 --> 00:03:27.720]  咁所以去party去生日會呢
