
[00:00:00.000 --> 00:00:19.000]  祈願
[00:00:19.000 --> 00:00:22.000]  謝謝剛纔那個很好的詩歌
[00:00:22.000 --> 00:00:23.000]  真的很美麗
[00:00:23.000 --> 00:00:25.000]  當中的說話
[00:00:25.000 --> 00:00:26.000]  當中的歌詞
[00:00:26.000 --> 00:00:29.000]  對我們很多人都有很大的啓發
[00:00:29.000 --> 00:00:31.000]  有很多的提醒
[00:00:31.000 --> 00:00:33.000]  在香港這個日子當中
[00:00:33.000 --> 00:00:35.000]  我相信我們大家都
[00:00:35.000 --> 00:00:37.000]  心情都很沉重
[00:00:37.000 --> 00:00:39.000]  也很難過
[00:00:39.000 --> 00:00:43.000]  那麼人生總有這樣的時刻
[00:00:43.000 --> 00:00:47.000]  有時你的個人的遭遇
[00:00:47.000 --> 00:00:50.000]  有時候是我們整個世界
[00:00:50.000 --> 00:00:53.000]  我們的城市裏面所帶來的痛苦
[00:00:53.000 --> 00:00:55.000]  我跟大家一樣
[00:00:55.000 --> 00:00:58.000]  那麼今天我想跟大家一起來
[00:00:58.000 --> 00:01:01.000]  剛纔我們所念的只有五節的聖經
[00:01:01.000 --> 00:01:02.000]  很短
[00:01:02.000 --> 00:01:05.000]  但是當中我向我們一起來
[00:01:05.000 --> 00:01:07.000]  思想一個這樣的題目
[00:01:07.000 --> 00:01:09.000]  就是我們怎麼樣去可以
[00:01:09.000 --> 00:01:13.000]  面對拒絕與危難
[00:01:13.000 --> 00:01:16.000]  那麼爲什麼有這個題目呢
[00:01:16.000 --> 00:01:18.000]  因爲我剛纔說
[00:01:18.000 --> 00:01:20.000]  我們今天特別覺得好難過
[00:01:20.000 --> 00:01:25.000]  我們特別覺得心情甚至憤怒
[00:01:25.000 --> 00:01:28.000]  但是人生我們說
[00:01:28.000 --> 00:01:32.000]  人生哪裏沒有這樣的日子呢
[00:01:32.000 --> 00:01:33.000]  我們在人生的路上
[00:01:33.000 --> 00:01:39.000]  我們都經歷過侮辱
[00:01:39.000 --> 00:01:44.000]  我們經歷過恐嚇
[00:01:44.000 --> 00:01:49.000]  我們也經歷過拒絕危險
[00:01:49.000 --> 00:01:51.000]  甚至陷害
[00:01:51.000 --> 00:01:54.000]  我們都有這樣的日子
[00:01:54.000 --> 00:01:58.000]  有這樣的日子的時候我們怎麼辦
