
[00:00:00.000 --> 00:00:03.400]  弟子每早晨很高興能夠再次在崇拜的時間
[00:00:03.400 --> 00:00:05.680]  和大家一起分享神的說話
[00:00:05.680 --> 00:00:08.560]  學習並且認識我們主愛的神
[00:00:08.560 --> 00:00:10.800]  我們再次在聆聽主道以先
[00:00:10.800 --> 00:00:13.280]  我們再次是透過禱告
[00:00:13.280 --> 00:00:16.560]  將我們的生命交在我們主愛的神的手上
[00:00:16.560 --> 00:00:18.000]  七日天父多謝祢
[00:00:18.000 --> 00:00:22.000]  讓我們能夠再次回到祢寶貴的說話的面前學習
[00:00:22.000 --> 00:00:23.520]  求祢的幫助
[00:00:23.520 --> 00:00:26.360]  讓我們能夠藉著祢的啟示
[00:00:26.360 --> 00:00:28.360]  能夠讓我們更認識祢
[00:00:28.360 --> 00:00:32.320]  並且學曉如何以謙卑與祢同行
[00:00:32.320 --> 00:00:37.200]  求祢也讓我們學曉如何尊敬祢是我們主愛的神
[00:00:37.200 --> 00:00:38.800]  我們同心的禱告
[00:00:38.800 --> 00:00:41.400]  奉靠主耶穌得生命之求
[00:00:41.400 --> 00:00:42.400]  阿們
[00:00:42.400 --> 00:00:45.240]  今天和大家一起分享的經文
[00:00:45.240 --> 00:00:48.240]  在《約爾書》的第二章
[00:00:48.240 --> 00:00:52.320]  從第28節到第32節
[00:00:52.320 --> 00:00:55.560]  在經文的經節上有些特色
[00:00:55.560 --> 00:00:58.160]  原來在希伯來文的聖經裡
[00:00:58.160 --> 00:01:02.320]  這一部分是編作為第三章第一至第五節
[00:01:02.320 --> 00:01:05.520]  所以有時大家弟兄姊妹去讀聖經的時候
[00:01:05.520 --> 00:01:08.480]  你會發現到英文版本的聖經上面
[00:01:08.480 --> 00:01:09.680]  在這段經文
[00:01:09.680 --> 00:01:12.080]  在第二章的第28節裡面
[00:01:12.080 --> 00:01:16.040]  也同時有括號寫著三章第一節
[00:01:16.040 --> 00:01:17.680]  希望大家留意
[00:01:17.680 --> 00:01:19.560]  在經節上有這樣的特色
[00:01:19.560 --> 00:01:21.280]  其實也反映出
[00:01:21.280 --> 00:01:23.840]  在經文上面可能有一些的
[00:01:23.840 --> 00:01:28.320]  流程是值得我們去留意的
[00:01:28.320 --> 00:01:33.320]  今天和大家一起分享的經文的講道主題就是
[00:01:33.320 --> 00:01:37.280]  「神的愚民被聖靈驍冠」
[00:01:37.280 --> 00:01:43.080]  Pouring God's people of remnant with the Holy Spirit
[00:01:43.080 --> 00:01:45.480]  在我們聆聽主導儀之間
[00:01:45.480 --> 00:01:47.920]  或者我們再一次讀一下這段聖經
[00:01:47.920 --> 00:01:50.400]  看看這段聖經說些什麼給我們知道
[00:01:50.400 --> 00:01:54.520]  然後讓我們能夠更準確知道這段聖經裡面的教導
[00:01:54.520 --> 00:01:58.800]  請大家一起打開約爾書的第二章
[00:01:58.800 --> 00:02:02.040]  第28至第32節
[00:02:02.040 --> 00:02:07.520]  「以後我要將我的靈驍冠凡有血氣的
[00:02:07.520 --> 00:02:10.160]  你們的兒女要說預言
[00:02:10.160 --> 00:02:13.560]  你們的老年人要做義務
[00:02:13.560 --> 00:02:16.240]  少年人要見異象
[00:02:16.240 --> 00:02:18.040]  在那些日子
[00:02:18.040 --> 00:02:23.560]  我要將我的靈驍冠我的僕人和侍女
[00:02:23.560 --> 00:02:25.560]  在天上地下
[00:02:25.560 --> 00:02:27.560]  我要顯出奇事
[00:02:27.560 --> 00:02:31.600]  有血有火有焉柱
[00:02:31.600 --> 00:02:33.600]  日頭要變為黑暗
[00:02:33.600 --> 00:02:35.800]  月亮要變為血
[00:02:35.800 --> 00:02:41.160]  且都在耶華大而可畏的日子未到以前
[00:02:41.160 --> 00:02:42.600]  到那時候
[00:02:42.600 --> 00:02:45.880]  凡求告耶華明的就必得救
