
[00:00:00.000 --> 00:00:01.860]  好,開始今天的講道
[00:00:01.860 --> 00:00:03.160]  那麼
[00:00:03.160 --> 00:00:05.220]  這個題目是不是很好呢?
[00:00:05.220 --> 00:00:08.340]  《天路百步》
[00:00:08.340 --> 00:00:12.080]  大家看過《畫學小說》都有一些聯想
[00:00:12.080 --> 00:00:13.080]  《天路百步》
[00:00:13.080 --> 00:00:14.600]  我叫做《天路百步》
[00:00:14.600 --> 00:00:17.920]  是一段很熟悉的經文
[00:00:17.920 --> 00:00:18.900]  那麼
[00:00:18.900 --> 00:00:21.020]  我也挺滿意改了這個名字
[00:00:21.020 --> 00:00:21.900]  《天路百步》
[00:00:21.900 --> 00:00:23.280]  讓大家記住
[00:00:23.280 --> 00:00:25.840]  就是這個很重要的聖經經文
[00:00:25.840 --> 00:00:27.540]  對我們非常有用
[00:00:28.180 --> 00:00:31.520]  是在《彼得後書》一章一至十一節
[00:00:31.520 --> 00:00:33.260]  那麼
[00:00:33.260 --> 00:00:34.560]  數字也很好記
[00:00:34.560 --> 00:00:36.220]  一章一至十一
[00:00:36.220 --> 00:00:39.100]  講什麼呢?
[00:00:39.100 --> 00:00:40.220]  這段經文
[00:00:40.220 --> 00:00:40.880]  那麼
[00:00:40.880 --> 00:00:44.180]  其實我想講的經文是很集中在其中幾節的
[00:00:44.180 --> 00:00:48.600]  不過因為它有前有後的一些關聯
[00:00:48.600 --> 00:00:54.200]  不讀完又好像顯不出那段經文的重要性
[00:00:54.200 --> 00:00:56.860]  所以我也從第一節開始讀
[00:00:58.660 --> 00:00:59.900]  大家一起讀吧
[00:01:29.180 --> 00:01:32.920]  「乃因我們見識那用自己榮耀
[00:01:32.920 --> 00:01:35.500]  共美德照我們的主
[00:01:35.500 --> 00:01:41.860]  因此他也將又寶貴又極大的英女賜給我們
[00:01:41.860 --> 00:01:46.580]  叫我們既決離世上從情欲來的敗壞
[00:01:46.580 --> 00:01:49.580]  則不與實的性情有關
[00:01:49.580 --> 00:01:51.380]  正因者而固
[00:01:51.380 --> 00:01:53.820]  你們要分內的恩函
[00:01:53.820 --> 00:01:57.060]  又要信心又要加上德行
[00:01:57.060 --> 00:02:00.180]  有了不幸又要加上知識
[00:02:00.180 --> 00:02:03.220]  有了知識又要加上節制
[00:02:03.220 --> 00:02:06.260]  有了節制又要加上忍耐
[00:02:06.260 --> 00:02:09.460]  有了忍耐又要加上潔淨
[00:02:09.460 --> 00:02:13.340]  有了潔淨又要加上愛弟兄的心
[00:02:13.340 --> 00:02:18.060]  有了愛弟兄的心又要加上愛眾人的心
[00:02:18.060 --> 00:02:21.740]  你們若匆匆足足地由這起揚
[00:02:21.740 --> 00:02:26.380]  就必使你們在認識我們的主耶穌基督上
[00:02:26.380 --> 00:02:29.900]  得至於閒晚不見果子了
