
[00:00:00.000 --> 00:00:02.540]  感謝主讓我有機會再次來到雅庚堂
[00:00:02.540 --> 00:00:04.540]  跟大家分享神的話語
[00:00:04.540 --> 00:00:08.880]  每一次來到都感受到大家很熱情的歡迎
[00:00:08.880 --> 00:00:11.460]  大家是一個很有活力的群體
[00:00:11.460 --> 00:00:14.800]  特別我們歡迎主耶穌基督進入我們的生命
[00:00:14.800 --> 00:00:16.800]  今天是一個特別的日子
[00:00:16.800 --> 00:00:20.020]  其實全世界有不同的地方的教會
[00:00:20.020 --> 00:00:23.680]  都在今天稱為「中樹主日」
[00:00:23.680 --> 00:00:26.880]  因為是進入受難周
[00:00:26.880 --> 00:00:28.880]  耶穌騎驢進城的日子
[00:00:28.880 --> 00:00:33.200]  然後就接連在耶路撒冷發生各樣的事情
[00:00:33.200 --> 00:00:36.420]  去到祂的受苦、受難
[00:00:36.420 --> 00:00:38.420]  並且進入墳墓
[00:00:38.420 --> 00:00:41.380]  然後下個主日就是復活主日
[00:00:41.380 --> 00:00:45.540]  所以今天讀這段經文是很貼心的
[00:00:45.540 --> 00:00:48.620]  是的 剛才梁牧師都帶我們去唱了
[00:00:48.620 --> 00:00:50.620]  榮耀君王的詩歌
[00:00:50.620 --> 00:00:53.900]  我們不可以只停在唱
[00:00:53.900 --> 00:00:55.900]  今天這個經文跟大家去想
[00:00:55.900 --> 00:01:00.960]  在「中樹主日」或者其他教會稱為「Palm Sunday」
[00:01:00.960 --> 00:01:03.900]  是耶穌一個很特別的時刻
[00:01:03.900 --> 00:01:07.460]  祂得榮耀的時刻
[00:01:07.460 --> 00:01:10.100]  這也是這個經文不斷問的問題
[00:01:10.100 --> 00:01:13.080]  對大家來說到底什麼是榮耀?
[00:01:13.080 --> 00:01:15.980]  會不會是一些很光彩、很光榮的事情?
[00:01:15.980 --> 00:01:18.380]  你家人很欣賞你
[00:01:18.380 --> 00:01:21.560]  終於對得起父母、光宗耀祖
[00:01:21.560 --> 00:01:23.560]  萬人擁戴
[00:01:23.560 --> 00:01:28.000]  現在是不用擁戴的 是百萬人follow
[00:01:28.000 --> 00:01:30.000]  然後「流芳百世」
[00:01:30.000 --> 00:01:32.820]  這些詞語你會想起這些就是榮耀
[00:01:32.820 --> 00:01:35.140]  這是世上的一個定義
[00:01:35.140 --> 00:01:37.140]  「用來荒第十二章」的經文
[00:01:37.140 --> 00:01:44.460]  似乎也在描述耶穌在祂世上最光輝、最受人擁戴、最被人follow的一刻
[00:01:44.460 --> 00:01:46.460]  剛才你讀的十二節那裡說
[00:01:46.460 --> 00:01:48.460]  「一大群上來過之的人
[00:01:48.460 --> 00:01:51.140]  聽見耶穌要來耶路撒冷」
[00:01:51.140 --> 00:01:55.180]  說到第二天就是有第一天了
[00:01:55.180 --> 00:01:57.680]  第一天是什麼?前一天發生什麼事?
[00:01:57.680 --> 00:02:01.860]  其實這一章的第九節就告訴了我們背景
[00:02:01.860 --> 00:02:06.380]  那時候有一大群猶太人知道耶穌在那裡就來了
[00:02:06.380 --> 00:02:08.180]  他們不單是來找耶穌
[00:02:08.180 --> 00:02:10.180]  還想看一個人
[00:02:10.180 --> 00:02:12.580]  後面你看到黃色的字那裡說
[00:02:12.580 --> 00:02:14.580]  「死裡復活的拉薩路」
[00:02:14.580 --> 00:02:15.140]  你讀
[00:02:15.140 --> 00:02:17.140]  有人說你很熟悉這一段記載的
[00:02:17.140 --> 00:02:21.380]  有一大群人找耶穌親眼想見識一下那個已經死了的拉薩路
[00:02:21.380 --> 00:02:23.380]  竟然復活這件事這麼奇怪
[00:02:23.380 --> 00:02:25.380]  死人有什麼好看的呢?
