
[00:00:00.000 --> 00:00:02.240]  我們一起來讀一段神的話
[00:00:02.240 --> 00:00:06.160]  哥林多前書十三章七到八節
[00:00:06.160 --> 00:00:07.660]  我們一起來讀
[00:00:07.660 --> 00:00:11.000]  凡事包容,凡事相信
[00:00:11.000 --> 00:00:14.140]  凡事盼望,凡事忍耐
[00:00:14.140 --> 00:00:17.520]  愛是永不止息
[00:00:17.520 --> 00:00:21.920]  當一個成熟的男人和一個成熟的女人
[00:00:21.920 --> 00:00:27.040]  他們彼此相愛也願意一生的偽生
[00:00:27.040 --> 00:00:32.160]  他們在神在人的面前立下神聖的婚約
[00:00:32.160 --> 00:00:38.040]  然後他們就歡喜快樂的進到他們的家庭婚姻裡面去
[00:00:38.040 --> 00:00:40.360]  他們心中總是期盼著
[00:00:40.360 --> 00:00:42.920]  他們的婚姻,他們的家庭
[00:00:42.920 --> 00:00:46.240]  可以永遠幸福美滿
[00:00:46.240 --> 00:00:51.100]  永浴愛河,白頭偕老
[00:00:51.100 --> 00:00:55.960]  可是當他們一旦進到真實的家庭婚姻裡面去的時候
[00:00:55.960 --> 00:01:00.320]  卻發現他們之間有很多的不一樣
[00:01:00.320 --> 00:01:02.880]  不管是在生活的習慣上
[00:01:02.880 --> 00:01:06.460]  思想、觀念或者價值觀上面
[00:01:06.460 --> 00:01:10.800]  都存在著或多或少的不一樣
[00:01:10.800 --> 00:01:12.600]  因此在他們生活當中
[00:01:12.600 --> 00:01:17.200]  難免就會產生一些衝突以及摩擦
[00:01:17.200 --> 00:01:20.540]  但是一旦發生衝突與摩擦的時候
[00:01:20.540 --> 00:01:24.120]  如果他們兩個可以用對的態度
[00:01:24.120 --> 00:01:28.220]  對的方法去面對、去處理的話
[00:01:28.220 --> 00:01:30.520]  這些衝突跟摩擦
[00:01:30.520 --> 00:01:33.340]  是可以很快的就被處理掉
[00:01:33.340 --> 00:01:34.880]  不但這樣子
[00:01:34.880 --> 00:01:37.680]  他們也可以藉由這樣的機會
[00:01:37.680 --> 00:01:40.760]  可以更加的來彼此了解
[00:01:40.760 --> 00:01:44.860]  這對他們的家庭婚姻是有幫助的
[00:01:44.860 --> 00:01:47.680]  可是我們也發現有一些夫婦
[00:01:47.680 --> 00:01:52.020]  當他們有衝突、摩擦發生的時候
[00:01:52.020 --> 00:01:54.840]  他們卻沒有用對的方法
[00:01:54.840 --> 00:01:58.160]  對的態度去面對跟處理
[00:01:58.160 --> 00:02:00.480]  有的是不溝通
[00:02:00.480 --> 00:02:04.060]  有的是有溝沒有通
[00:02:04.060 --> 00:02:06.880]  甚至有的在這個過程當中
[00:02:06.880 --> 00:02:10.960]  沒有好好的去管理他的情緒
[00:02:10.960 --> 00:02:13.780]  以致於惡言相向
[00:02:13.780 --> 00:02:16.600]  甚至是大打出手
[00:02:16.600 --> 00:02:23.520]  這些都會對他們的家庭婚姻產生很大的一個傷害
[00:02:23.520 --> 00:02:26.320]  盼望我們在座的每一位弟兄姊妹
[00:02:26.320 --> 00:02:29.140]  在建造你的家庭的時候
[00:02:29.140 --> 00:02:33.240]  一定要用對的態度跟對的方法
[00:02:33.240 --> 00:02:37.080]  去面對你們所產生的衝突與摩擦
[00:02:37.080 --> 00:02:39.120]  Amen
[00:02:39.120 --> 00:02:41.680]  是的,在家庭婚姻生活當中
[00:02:41.680 --> 00:02:46.800]  是難免有衝突有摩擦
[00:02:46.800 --> 00:02:50.900]  如果我們沒有好好妥善的去面對去處理的話
[00:02:50.900 --> 00:02:55.000]  都會對我們家庭婚姻產生一些不好的
[00:02:55.000 --> 00:02:57.560]  這樣的後果
[00:02:57.560 --> 00:02:59.860]  但是除了剛剛所講的那些之外
[00:02:59.860 --> 00:03:01.140]  我發現
