
[00:00:00.000 --> 00:00:05.300]  今天我們會來看大家很熟悉的一個事實
[00:00:05.300 --> 00:00:06.880]  就是參宣
[00:00:06.880 --> 00:00:11.180]  但是如果我們一直有看事實記錄的時候
[00:00:11.180 --> 00:00:16.580]  就知道每一個大事實中間都有些小事實
[00:00:16.580 --> 00:00:18.440]  即是很短的記載
[00:00:18.440 --> 00:00:19.840]  來到這間牆
[00:00:19.840 --> 00:00:22.520]  但這間牆其實是有作用的
[00:00:22.520 --> 00:00:25.080]  就是引伸到下一個事實
[00:00:25.080 --> 00:00:27.000]  爲他們鋪路
[00:00:27.000 --> 00:00:31.020]  在參宣和耶佛他的中間
[00:00:31.020 --> 00:00:33.680]  又出現了三個事實
[00:00:33.680 --> 00:00:40.120]  就是以彼乍、以林和厄頓
[00:00:40.120 --> 00:00:42.120]  我們來看一看
[00:00:42.120 --> 00:00:46.520]  事實記錄裏面最後一個事實就是參宣
[00:00:46.520 --> 00:00:49.520]  但是參宣的家庭
[00:00:49.520 --> 00:00:52.400]  其實是一個失職的家庭
[00:00:52.400 --> 00:00:54.480]  父母都沒有做得非常好
[00:00:54.480 --> 00:00:55.960]  所以引致參宣
[00:00:55.960 --> 00:00:57.840]  當然他自己要承擔很多責任
[00:00:57.840 --> 00:01:01.660]  但是因爲宗教教育的失敗
[00:01:01.660 --> 00:01:04.880]  都引致參宣犯了這個錯
[00:01:04.880 --> 00:01:07.440]  所以今天這一次的查經
[00:01:07.440 --> 00:01:08.720]  都讓我們反省
[00:01:08.720 --> 00:01:10.560]  究竟我們在家庭裏面
[00:01:10.560 --> 00:01:13.160]  有沒有產生神讓我們產生的作用呢?
[00:01:13.160 --> 00:01:14.980]  特別是做父親的
[00:01:14.980 --> 00:01:16.180]  這是很重要的
[00:01:16.180 --> 00:01:18.600]  這三個事實是哪三個呢?
[00:01:18.600 --> 00:01:20.140]  一段較長的經文
[00:01:20.140 --> 00:01:24.280]  第十二章第八到第十五節
[00:01:24.280 --> 00:01:25.680]  有三個事實
[00:01:25.680 --> 00:01:28.720]  我們就會很快地看這三個事實
[00:01:28.720 --> 00:01:30.460]  先請Yvonne給我們讀出來
[00:01:30.460 --> 00:01:30.960]  謝謝
[00:01:55.960 --> 00:01:58.280]  作以色列的史詩十年
[00:01:58.280 --> 00:02:00.240]  西部倫人爾倫死了
[00:02:00.240 --> 00:02:04.160]  葬在西部倫地的阿雅倫
[00:02:04.160 --> 00:02:05.560]  爾倫以後
[00:02:05.560 --> 00:02:08.800]  有比拉頓人希列的兒子厄頓
[00:02:08.800 --> 00:02:10.680]  作以色列的史詩
[00:02:10.680 --> 00:02:13.400]  他有四十個兒子三十個孫子
[00:02:13.400 --> 00:02:15.840]  騎着七十匹駱驅
[00:02:15.840 --> 00:02:18.680]  厄頓作以色列的史詩八年
[00:02:18.680 --> 00:02:21.640]  比拉頓人希列的兒子厄頓死了
[00:02:21.640 --> 00:02:24.160]  葬在以法連地的比拉頓
[00:02:24.160 --> 00:02:26.280]  在阿瑪利人的山地
[00:02:26.280 --> 00:02:30.040]  如果我們一直都有讀史詩記的時候
[00:02:30.040 --> 00:02:33.440]  你有沒有留意到這次記載這三個史詩呢?
[00:02:33.440 --> 00:02:36.040]  和過去的已經有少少不同了
[00:02:36.040 --> 00:02:37.480]  是什麼不同呢?
[00:02:37.480 --> 00:02:42.960]  以往一定是說他們就是對付哪些外敵
[00:02:42.960 --> 00:02:46.400]  解救了那些子民
[00:02:46.400 --> 00:02:48.880]  但是這三個史詩完全沒有提到
[00:02:48.880 --> 00:02:51.200]  他是對付什麼外敵而已
[00:02:51.200 --> 00:02:54.160]  反而描繪的是什麼呢?
[00:02:54.160 --> 00:02:56.720]  就是描繪他們的家庭
[00:02:56.720 --> 00:03:00.200]  你看到我說史詩記裏面是很着緊家庭的
[00:03:00.200 --> 00:03:04.600]  由基斂
[00:03:04.600 --> 00:03:07.000]  他怎樣失敗
[00:03:07.000 --> 00:03:09.880]  引致自己的兒子要立爲王
[00:03:09.880 --> 00:03:11.560]  然後殺自己的兄弟
[00:03:11.560 --> 00:03:14.880]  家庭的問題一直引伸下去
[00:03:14.880 --> 00:03:17.680]  我們上次看的史詩就是耶佛他
