
[00:00:00.000 --> 00:00:06.520]  今天我們來到零加油 新的系列 港島系列的第二堂
[00:00:06.520 --> 00:00:10.760]  你知道我們現在不是活在農耕的社會
[00:00:10.760 --> 00:00:15.560]  所以基本上很少人因為做工 身體會覺得很累
[00:00:15.560 --> 00:00:20.880]  我們很少 應該很少是所謂的physically tired
[00:00:20.880 --> 00:00:25.440]  通常我們覺得累 是因為我們的心覺得很累
[00:00:25.440 --> 00:00:30.040]  為什麼我們有這個系列呢 就是一起來零加油這個系列
[00:00:30.040 --> 00:00:32.920]  為我們的心去加加油
[00:00:32.920 --> 00:00:37.880]  到了今天第二堂 我們會講一個很特別的題目
[00:00:37.880 --> 00:00:39.480]  就叫做餓不了
[00:00:39.480 --> 00:00:47.960]  首先想跟大家分享的第一點 就是和停下來安息有關
[00:00:47.960 --> 00:00:52.840]  我們星期六晚 如果大家在三谷有時未必知道
[00:00:52.840 --> 00:00:58.080]  我們Millpeters的campus 星期六晚有一堂敬拜
[00:00:58.080 --> 00:01:01.040]  那一堂敬拜是國語的敬拜
[00:01:01.040 --> 00:01:07.720]  我們國語敬拜從上年開始 有一個很特別的名稱
[00:01:07.720 --> 00:01:10.640]  我們稱之為神奇的星期六
[00:01:10.640 --> 00:01:13.800]  什麼為之神奇的星期六呢
[00:01:13.800 --> 00:01:18.440]  不知道為什麼國語敬拜 當中有很多年輕人
[00:01:18.440 --> 00:01:24.520]  他們說在那一個星期 可能是工作 或者是上學 讀大學
[00:01:24.520 --> 00:01:27.200]  學業很累 很大壓力
[00:01:27.200 --> 00:01:32.200]  無論你有多大壓力也好 或者你在這個星期裏面
[00:01:32.200 --> 00:01:36.640]  你遇到一些不順心的事情 心情有一點點down
[00:01:36.640 --> 00:01:39.320]  但無論怎樣也好 不知道為什麼
[00:01:39.320 --> 00:01:43.520]  一來到星期六晚 人就會無緣無故興奮起來
[00:01:43.520 --> 00:01:45.520]  來到敬拜的時候
[00:01:45.520 --> 00:01:49.800]  所以星期六晚是一個充滿朝氣的星期六晚
[00:01:49.800 --> 00:01:51.800]  無論你多麼累 星期六晚來到
