
[00:00:00.000 --> 00:00:01.280]  各位弟兄姐妹,早晨!
[00:00:01.280 --> 00:00:06.680]  今天將大衛這個過程的一個題目叫做「親情」
[00:00:06.680 --> 00:00:10.080]  在這裡打錯了,「親情正情,人情冷暖」
[00:00:10.080 --> 00:00:17.360]  我們集中看撒姆爾紀的下十八至十九章
[00:00:17.360 --> 00:00:20.720]  我相信大家都未必會記得之前說了些甚麼
[00:00:20.720 --> 00:00:26.720]  簡單來說,當大衛成為了猶大和以色列國王之後
[00:00:26.720 --> 00:00:28.400]  亦遭遇了很多事
[00:00:28.400 --> 00:00:32.240]  而我的主線就是大衛其中一個最大的錯誤
[00:00:32.240 --> 00:00:34.240]  他當然做了很多好事
[00:00:34.240 --> 00:00:39.280]  好事大家應該在過去讀主修學或查經班都接觸過
[00:00:39.280 --> 00:00:45.760]  但另一個最大的錯誤就是他姦污了烏利亞的妻子別士巴
[00:00:45.760 --> 00:00:53.760]  以致令到他之後整個家族都因為這件事衍生的罪惡後果
[00:00:53.760 --> 00:00:56.960]  而做了很多問題和惡果出來
[00:00:56.960 --> 00:01:03.280]  其中一個就是他的三兒子阿沙隆謀朝,想散位
[00:01:03.280 --> 00:01:09.120]  更加逼走了大衛離開了皇宮,去到約旦河外逃難
[00:01:09.120 --> 00:01:13.360]  在八月一日就說到這裡,子散父位
[00:01:13.360 --> 00:01:21.600]  今天你將會聽到,我們過去看到在這個過程當中
[00:01:21.600 --> 00:01:25.520]  大衛是落難的,但他仍然對上帝一個依靠的心
[00:01:25.520 --> 00:01:30.240]  我們看到上帝是繼續恩待他,繼續保守他
[00:01:30.240 --> 00:01:34.080]  我們看到大衛有很多忠心的部下願意跟隨他
[00:01:34.080 --> 00:01:41.200]  甚至願意做臥底,回到阿沙隆幫他通風報信,破壞阿沙隆的計謀
[00:01:41.200 --> 00:01:46.160]  以致大衛能夠在今天我們看到他如何奪回皇位
[00:01:46.160 --> 00:01:49.920]  但重點我不是想說大衛如何奪回皇位
[00:01:49.920 --> 00:01:56.480]  而是在整個的過程當中,正情、親情、人情、冷戀
[00:01:56.480 --> 00:02:01.280]  大衛在當中激烈了很多,由高峰跌落低谷
[00:02:01.280 --> 00:02:08.080]  由低谷回到皇位裏面,更加能夠看見人性的真面目
[00:02:08.080 --> 00:02:12.960]  見峰洗礼,見低就拜,見高就踩
[00:02:12.960 --> 00:02:16.960]  其實這件事在我們人生活裏面都可能會經常遇到
[00:02:16.960 --> 00:02:21.440]  我很想我們所說的「道」不是停留在聖經的故事裏面
[00:02:21.440 --> 00:02:25.120]  而是在我們今天大衛的心平當中
[00:02:25.120 --> 00:02:30.240]  他今天的遭遇與你今天的遭遇有什麼關聯呢?
[00:02:30.240 --> 00:02:33.600]  我們先為我們自己聽到的心去祈禱
[00:02:33.600 --> 00:02:35.360]  四個方向,四個「H」
[00:02:35.360 --> 00:02:36.800]  第一個是「聽」
[00:02:36.800 --> 00:02:41.360]  就是你聽到我代上帝去宣講神的話語
[00:02:41.360 --> 00:02:45.680]  第二個是用你的腦去思想
[00:02:45.680 --> 00:02:49.680]  第三個是「心」,用你的心去領受
[00:02:49.680 --> 00:02:54.000]  而更重要的是我們用手、用腳、用你的身體、用你的行動
[00:02:54.000 --> 00:02:55.760]  去活出神的話語
[00:02:55.760 --> 00:03:01.520]  我們帶著撒姆爾的耳朵去聆聽神的話語,我們一起去祈禱
[00:03:01.520 --> 00:03:05.680]  親愛的天父,我們多謝你讓我們今天能夠回來教會
[00:03:05.680 --> 00:03:10.560]  雖然外面偶然間有微雨,亦偶然間有太陽
[00:03:10.560 --> 00:03:12.240]  人生就是這樣
[00:03:12.240 --> 00:03:17.840]  我們有平安喜樂的時候,風調雨順的時候
[00:03:17.840 --> 00:03:21.840]  亦都有大雨、遭難、低谷的時候
[00:03:21.840 --> 00:03:24.720]  就正如大衛,就算他做了皇帝
[00:03:24.720 --> 00:03:29.520]  他一樣面對著高風、面對著低谷、面對著困難
[00:03:29.520 --> 00:03:32.000]  但我們見到大衛依靠上帝的心
[00:03:32.000 --> 00:03:35.520]  願今日上帝透過孩子所宣講的神的話語
[00:03:35.520 --> 00:03:37.120]  都最後抵押到心裏面
[00:03:37.120 --> 00:03:38.960]  而我們透過大衛的生命
[00:03:38.960 --> 00:03:42.320]  我們仍然學習怎樣去依靠上帝
