
[00:00:00.000 --> 00:00:04.240]  好,大英姐妹,今天我們看到哥倫多前書第十六章
[00:00:04.240 --> 00:00:06.540]  是哥倫多前書最後一章
[00:00:06.540 --> 00:00:10.600]  事實上在哥倫多前書,我們一直看了十五章的時候
[00:00:10.600 --> 00:00:16.520]  我們就發覺哥倫多教會基本上是一個大都會的教會
[00:00:16.520 --> 00:00:20.760]  但是也是很多的問題,問題很多的
[00:00:20.760 --> 00:00:25.840]  有他們擁護領袖的問題
[00:00:25.840 --> 00:00:28.520]  有男女角色的問題
[00:00:28.520 --> 00:00:31.080]  有吃偶像之物的問題
[00:00:31.080 --> 00:00:35.440]  有他們甚至復活信仰都出問題
[00:00:35.440 --> 00:00:41.120]  你可以想像到是一個非常棘手,非常麻煩的教會
[00:00:41.120 --> 00:00:44.320]  但是雖然哥倫多教會有這麼多的問題
[00:00:44.320 --> 00:00:47.360]  但是保羅在最後一章的時候
[00:00:47.360 --> 00:00:50.480]  當然是有些瑣碎的事情要交代,要去吩咐
[00:00:50.480 --> 00:00:52.680]  但是其實最後一章
[00:00:52.680 --> 00:00:59.880]  基本上保羅都是提醒叫哥倫多人不要忘記他們的使命
[00:00:59.880 --> 00:01:03.240]  教會是永遠都有問題
[00:01:03.240 --> 00:01:05.440]  因為有人的地方就有問題
[00:01:05.440 --> 00:01:07.360]  越多人的地方就越多問題
[00:01:07.360 --> 00:01:11.000]  這個是很自然的現象
[00:01:11.000 --> 00:01:13.000]  但是教會的問題
[00:01:13.000 --> 00:01:15.920]  如果你要所有的問題都解決了
[00:01:15.920 --> 00:01:17.920]  才去實踐使命
[00:01:17.920 --> 00:01:24.640]  這個講不通,也是一個非常不聰明的做法
[00:01:24.640 --> 00:01:25.480]  為什麼呢?
[00:01:25.480 --> 00:01:30.600]  因為教會當我們去實踐使命的時候
[00:01:30.600 --> 00:01:35.520]  有些問題其實慢慢就會自然疏解
[00:01:35.520 --> 00:01:40.360]  當一群人只是自私自利去關顧著自己的時候
[00:01:40.360 --> 00:01:44.080]  就有很多問題,人與人之間就有很多的爭鬥
[00:01:44.080 --> 00:01:46.960]  但是當大家都有著共同的目標
[00:01:46.960 --> 00:01:50.880]  為著共同的目標去努力
[00:01:50.880 --> 00:01:54.360]  共同的理想而去付出的時候
[00:01:54.360 --> 00:01:57.440]  你自己那些少少的不舒服
[00:01:57.440 --> 00:01:58.880]  少少的不方便
[00:01:58.880 --> 00:02:05.600]  少少的自我為中心的私慾
[00:02:05.600 --> 00:02:08.160]  你就學會放下
[00:02:08.160 --> 00:02:11.840]  因為你是為更大的理想和目標而努力
[00:02:11.840 --> 00:02:16.320]  這個就是保羅最後一章提到哥倫多前書
[00:02:16.320 --> 00:02:18.320]  最後一章提到哥倫多人
[00:02:18.320 --> 00:02:20.320]  他們仍然都要不忘使命
[00:02:20.320 --> 00:02:25.240]  一開始的時候保羅提到信徒捐錢的問題
[00:02:25.240 --> 00:02:26.760]  信徒捐錢的問題是怎樣呢?
[00:02:26.760 --> 00:02:29.480]  他說:論到信徒捐錢
[00:02:29.480 --> 00:02:32.000]  我從前怎樣吩咐加拉太的宗教會
[00:02:32.000 --> 00:02:33.120]  你們也當怎樣行
[00:02:33.120 --> 00:02:34.440]  每逢七日的第一天
[00:02:34.440 --> 00:02:37.440]  各人要照自己的俊漢抽出來留著
[00:02:37.440 --> 00:02:39.440]  免得我來的時候獻臭
[00:02:39.440 --> 00:02:42.560]  及至我來到了你們寫信舉薦誰
[00:02:42.560 --> 00:02:46.080]  我就打發他們把你們的捐資送到耶路撒冷去
[00:02:46.080 --> 00:02:48.400]  我讓我有一哥去
[00:02:48.400 --> 00:02:50.400]  他們也可以和我同去
[00:02:50.400 --> 00:02:53.400]  這裡就提到保羅提到
[00:02:53.400 --> 00:02:58.400]  叫哥倫多人怎樣來籌錢捐給耶路撒冷的窮人
