
[00:00:00.000 --> 00:00:02.600]  不知大家有沒有看過這個廣告
[00:00:02.600 --> 00:00:04.600]  你的日子如何
[00:00:04.600 --> 00:00:07.280]  你的力量也必如何
[00:00:07.280 --> 00:00:09.280]  在2003年的時候
[00:00:09.280 --> 00:00:11.280]  西斯爆發的時期
[00:00:11.280 --> 00:00:13.280]  一個教育機構叫以勒基金
[00:00:13.280 --> 00:00:15.280]  他拍攝的宣傳短片
[00:00:15.280 --> 00:00:18.480]  目的就是以一隻叫開心舞
[00:00:18.480 --> 00:00:20.980]  來鼓勵香港人要熱愛生命
[00:00:20.980 --> 00:00:22.980]  因為當時很慘淡氣氛
[00:00:22.980 --> 00:00:24.480]  是很低落的
[00:00:24.480 --> 00:00:26.480]  廣告裡面一句
[00:00:26.480 --> 00:00:29.480]  令人聽了之後都會心微笑的說話
[00:00:29.480 --> 00:00:31.480]  我不怕黑
[00:00:31.480 --> 00:00:33.480]  但我和其他人一樣
[00:00:33.480 --> 00:00:35.480]  怕什麼?怕凍
[00:00:35.480 --> 00:00:37.480]  一個生命的人不怕黑
[00:00:37.480 --> 00:00:39.480]  因為他眼睛看不到
[00:00:39.480 --> 00:00:41.480]  常常都是黑漆漆
[00:00:41.480 --> 00:00:43.480]  但他怕凍
[00:00:43.480 --> 00:00:45.480]  廣告的人物其實
[00:00:45.480 --> 00:00:47.480]  是一個叫龍懷軒的女孩子
[00:00:47.480 --> 00:00:49.480]  她幾個月大
[00:00:49.480 --> 00:00:53.480]  就因為眼睛有病
[00:00:53.480 --> 00:00:55.480]  而看不到東西
[00:00:55.480 --> 00:00:57.480]  由於當時萬人學校
[00:00:57.480 --> 00:00:59.480]  不多在香港
[00:00:59.480 --> 00:01:01.480]  其實我讀社工的時候
[00:01:01.480 --> 00:01:03.480]  我都認識兩個
[00:01:03.480 --> 00:01:04.480]  一個弱視的人
[00:01:04.480 --> 00:01:06.480]  一個真是失明的人
[00:01:06.480 --> 00:01:08.480]  生活圈子很狹窄
[00:01:08.480 --> 00:01:10.480]  加上身邊的人總是會
[00:01:10.480 --> 00:01:12.480]  有特殊的眼光來看他
[00:01:12.480 --> 00:01:14.480]  所以他爸爸就想著
[00:01:14.480 --> 00:01:17.480]  不如帶他移民
[00:01:17.480 --> 00:01:19.480]  去美國
[00:01:19.480 --> 00:01:21.480]  移民去美國之後
[00:01:21.480 --> 00:01:23.480]  他的生活起初不容易
[00:01:23.480 --> 00:01:25.480]  因為當時他九歲
[00:01:25.480 --> 00:01:27.480]  移民去美國
[00:01:27.480 --> 00:01:29.480]  語言還沒有很通
[00:01:29.480 --> 00:01:31.480]  又加上看不到東西
[00:01:31.480 --> 00:01:33.480]  失明的人
[00:01:33.480 --> 00:01:35.480]  他們要學萬人特字
[00:01:35.480 --> 00:01:36.480]  點字
[00:01:36.480 --> 00:01:37.480]  當時我的同學都是
[00:01:37.480 --> 00:01:39.480]  我們嘗試幫他點點點
[00:01:39.480 --> 00:01:41.480]  他就要再用
[00:01:41.480 --> 00:01:43.480]  我們的字眼叫做翻譯
[00:01:43.480 --> 00:01:45.480]  去到都很不容易
[00:01:45.480 --> 00:01:47.480]  但經過半年的時間
