
[00:00:00.000 --> 00:00:00.920]  丁師妹 早安
[00:00:00.920 --> 00:00:03.740]  很高興又能夠再次在主日送禮的時間
[00:00:03.740 --> 00:00:06.320]  和大家一起分享神的說話
[00:00:06.320 --> 00:00:08.540]  讓我們開始聽神的道義先
[00:00:08.540 --> 00:00:11.080]  同心的禱告
[00:00:11.080 --> 00:00:12.080]  親愛的天父 多謝祢
[00:00:12.080 --> 00:00:13.880]  讓我們能夠再次回到祢
[00:00:13.880 --> 00:00:15.980]  去聆聽主祢的話語
[00:00:15.980 --> 00:00:17.800]  求祢的靈與我們同在
[00:00:17.800 --> 00:00:21.180]  教訓我們怎樣信服在上帝祢的當中
[00:00:21.180 --> 00:00:23.040]  要求聖靈幫助我們
[00:00:23.040 --> 00:00:26.280]  能夠準確掌握上帝祢的教導
[00:00:26.280 --> 00:00:28.120]  藉著祢的啟示
[00:00:28.120 --> 00:00:30.040]  使得我們能夠更清楚知道
[00:00:30.040 --> 00:00:31.960]  怎樣走人生路
[00:00:31.960 --> 00:00:33.540]  我們親愛的父神 感謝祢
[00:00:33.540 --> 00:00:34.940]  讓祢的話語再次
[00:00:34.940 --> 00:00:37.420]  讓我們在今天能夠打開
[00:00:37.420 --> 00:00:40.200]  一直以來透過聖靈的引導
[00:00:40.200 --> 00:00:42.580]  了解祢是怎樣一位主
[00:00:42.580 --> 00:00:43.800]  也讓我們曉得
[00:00:43.800 --> 00:00:47.140]  怎樣在平常的每一天的生活裡面
[00:00:47.140 --> 00:00:48.320]  與祢同行
[00:00:48.320 --> 00:00:50.160]  求祢的幫助
[00:00:50.160 --> 00:00:51.200]  我們的天父
[00:00:51.200 --> 00:00:53.880]  感謝祢讓我們有另一個機會
[00:00:53.880 --> 00:00:58.660]  回到祢的話語 學習祢的話語的意義
[00:00:58.660 --> 00:01:01.160]  同時也了解祢是誰
[00:01:01.160 --> 00:01:04.360]  讓我們學習如何成為
[00:01:04.360 --> 00:01:07.540]  一個神的民族
[00:01:07.540 --> 00:01:11.980]  以便我們能夠跟隨祢在我們面前的道路
[00:01:11.980 --> 00:01:14.120]  然後我們能夠與祢一起走下去
[00:01:14.120 --> 00:01:16.520]  我們在名義上向主耶穌基督祈禱
[00:01:16.520 --> 00:01:17.600]  我們同心的禱告
[00:01:17.600 --> 00:01:20.200]  奉靠主耶穌基督的特性的明智求
[00:01:20.200 --> 00:01:21.020]  阿們
[00:01:22.280 --> 00:01:24.700]  今天跟大家一起分享的經文
[00:01:24.700 --> 00:01:25.960]  仍然是《路德記》
[00:01:25.960 --> 00:01:29.360]  我們今天會看到《路德記》第四章
[00:01:29.360 --> 00:01:31.340]  第五節至第八節
[00:01:31.340 --> 00:01:33.180]  今天的講題叫做
[00:01:33.180 --> 00:01:36.400]  「神垂青的生命就是如此」
[00:01:36.400 --> 00:01:39.000]  在聽上帝的說話之前
[00:01:39.000 --> 00:01:41.700]  不如我們再次去讀讀這段經文
[00:01:41.700 --> 00:01:42.700]  不是太長
[00:01:42.700 --> 00:01:43.940]  只是幾節的經文
[00:01:43.940 --> 00:01:45.840]  但是讓我們能夠更加掌握
[00:01:45.840 --> 00:01:48.060]  這幾節經文裡面的啟示
[00:01:48.060 --> 00:01:51.660]  從而能夠更加了解上帝的教訓
[00:01:51.660 --> 00:01:53.320]  如果大家有聖經的話
[00:01:53.320 --> 00:01:56.200]  我先會為大家讀出和合本的版本
[00:01:56.200 --> 00:01:58.660]  然後再會以英文的版本
[00:01:58.660 --> 00:02:00.140]  NET Translation
[00:02:00.140 --> 00:02:04.460]  去與大家一起先了解經文的內容
[00:02:04.460 --> 00:02:05.320]  好
[00:02:05.320 --> 00:02:07.100]  有聖經的我們一起打開
[00:02:07.100 --> 00:02:10.920]  《路德記》第四章
[00:02:10.920 --> 00:02:12.700]  第五節至第八節
[00:02:12.700 --> 00:02:13.840]  「波亞斯說:
[00:02:13.840 --> 00:02:17.380]  你從拿訛米手中買這地的時候
[00:02:17.380 --> 00:02:21.340]  也當娶死人的妻摩雅女子路德
