
[00:00:00.000 --> 00:00:03.000]  今日和大家一齊來帶去思想的題目
[00:00:03.000 --> 00:00:05.300]  「歲守到年終蒙福之緣」
[00:00:05.300 --> 00:00:06.800]  好,我們在領受神的話語之前
[00:00:06.800 --> 00:00:08.300]  我們先低頭,我們祈禱
[00:00:08.300 --> 00:00:11.300]  親愛的天父,我們多謝你
[00:00:11.300 --> 00:00:14.300]  因為你從歲守到年終都保守我們
[00:00:14.300 --> 00:00:17.600]  讓我們知道今天我們得到福氣的原因
[00:00:17.600 --> 00:00:19.300]  是因為源於神利
[00:00:19.300 --> 00:00:20.800]  但我們自己都有責任
[00:00:20.800 --> 00:00:22.600]  求神利自己親自用你的話語
[00:00:22.600 --> 00:00:24.700]  成為我們的生命和幫助
[00:00:24.700 --> 00:00:26.000]  成為我們的提醒
[00:00:26.000 --> 00:00:28.500]  用你的靈來到高門孩子所講的信息
[00:00:28.500 --> 00:00:30.300]  成為我們眾人的幫助
[00:00:30.300 --> 00:00:32.000]  祈禱拉動主德聖的名
[00:00:32.000 --> 00:00:33.000]  Amen
[00:00:33.000 --> 00:00:35.800]  很多時候當我們在一年的終結
[00:00:35.800 --> 00:00:37.000]  或者新的一年開始
[00:00:37.000 --> 00:00:41.500]  我們就會收到一些人給我們一些的鼓勵
[00:00:41.500 --> 00:00:44.000]  特別他們很喜歡引用一段經文
[00:00:44.000 --> 00:00:46.800]  原來這段經文在聖經裡面只出現過一次
[00:00:46.800 --> 00:00:48.500]  怎樣描繪我們的神呢?
[00:00:48.500 --> 00:00:51.800]  他說我們的神是從歲守到年終
[00:00:51.800 --> 00:00:54.300]  年頭到年尾都來祝福我們的
[00:00:54.300 --> 00:00:55.500]  我們一齊來帶去讀
[00:00:55.500 --> 00:00:57.000]  《新命紀》十一章第十二節
[00:00:57.000 --> 00:00:58.500]  我們一齊來讀出
[00:00:58.500 --> 00:01:01.500]  是耶和華你神所眷顧的
[00:01:01.500 --> 00:01:03.500]  從歲守到年終
[00:01:03.500 --> 00:01:06.000]  耶和華你神的眼目
[00:01:06.000 --> 00:01:08.000]  時常看顧那地
[00:01:08.000 --> 00:01:11.500]  我想大家可能你在年終或者新年的年頭
[00:01:11.500 --> 00:01:13.500]  無論是新曆年或者農曆新年都好
[00:01:13.500 --> 00:01:16.000]  你都會收到一些基督徒
[00:01:16.000 --> 00:01:18.000]  將這句經文傳遞給你的
[00:01:18.000 --> 00:01:20.000]  下面那幾張的powerpoint
[00:01:20.000 --> 00:01:21.500]  就是在我的手機裡面
[00:01:21.500 --> 00:01:23.000]  在新年的時候
[00:01:23.000 --> 00:01:26.500]  可以來帶去恆常的來帶去收到的
[00:01:26.500 --> 00:01:28.000]  雖然很漂亮的畫面
[00:01:28.000 --> 00:01:30.000]  但都是引用這句經文
[00:01:30.000 --> 00:01:32.500]  從歲守到年終
