
[00:00:00.000 --> 00:00:02.280]  祈求您的愛 您十字架的大愛
[00:00:02.280 --> 00:00:04.280]  在整個會場裡面湧流
[00:00:04.280 --> 00:00:07.480]  在褲堂有一群弟兄姊妹和親朋友
[00:00:07.480 --> 00:00:09.640]  求您的愛都充滿了他們的心
[00:00:09.640 --> 00:00:11.880]  讓您的話語成為我們的幫助
[00:00:11.880 --> 00:00:14.080]  成為我們的盼望 成為我們的力量
[00:00:14.080 --> 00:00:15.440]  成為我們的安慰
[00:00:15.440 --> 00:00:17.840]  祈禱給我們鳳主耶穌基督的名
[00:00:17.840 --> 00:00:18.640]  Amen
[00:00:18.640 --> 00:00:21.480]  今天題目應該大家會很熟的
[00:00:21.480 --> 00:00:23.680]  因為是金庸小說的名句
[00:00:23.680 --> 00:00:25.880]  「問世間情事何物」
[00:00:25.880 --> 00:00:27.880]  近代有人回答這個問題
[00:00:27.880 --> 00:00:33.200]  他說「問世間情事何物 歸根究底原來是一物字一物」
[00:00:33.200 --> 00:00:36.200]  你發覺你們和你太太就是這樣
[00:00:36.200 --> 00:00:39.600]  其實昨天是情人節的正日
[00:00:39.600 --> 00:00:41.600]  我收到WhatsApp是很殘忍的
[00:00:41.600 --> 00:00:44.800]  他說「情人節和清明節的性質都是一樣的」
[00:00:44.800 --> 00:00:49.800]  「情人節是燒真銀紙 說一大堆鬼話給人聽」
[00:00:49.800 --> 00:00:54.400]  「清明節是燒假銀紙 說一大堆人話給鬼聽」
[00:00:54.400 --> 00:00:58.400]  我們覺得是很殘酷的
[00:00:58.400 --> 00:01:03.400]  事實上我們很粗略的分辨
[00:01:03.400 --> 00:01:05.400]  不是很學術的
[00:01:05.400 --> 00:01:08.400]  在全球現在你發覺40歲或以上的男士
[00:01:08.400 --> 00:01:10.400]  和40歲或以下的男士
[00:01:10.400 --> 00:01:13.400]  各是兩個年代很不一樣的人
[00:01:13.400 --> 00:01:16.400]  我是說很粗略的分辨 不是很學術的分辨
[00:01:16.400 --> 00:01:18.400]  你發覺40歲以上的
