
[00:00:00.000 --> 00:00:02.000]  在我們的生活當中
[00:00:02.000 --> 00:00:06.400]  有很多事都需要做預備
[00:00:06.400 --> 00:00:12.400]  讀書是需要預備的
[00:00:12.400 --> 00:00:17.600]  預備就是由我們讀幼稚園開始
[00:00:17.600 --> 00:00:18.800]  預備是什麼呢?
[00:00:18.800 --> 00:00:21.600]  就是我們要學習守規則
[00:00:21.600 --> 00:00:24.000]  由排隊開始
[00:00:24.000 --> 00:00:27.000]  排隊去玩玩具
[00:00:27.000 --> 00:00:29.000]  排隊去洗手間
[00:00:30.000 --> 00:00:33.000]  接著要學習如何拿筆
[00:00:33.000 --> 00:00:37.000]  接著又要學習如何與人相處
[00:00:37.000 --> 00:00:39.000]  如何學習有責任
[00:00:39.000 --> 00:00:42.000]  其實這些都是一個準備
[00:00:42.000 --> 00:00:44.000]  因為到了今天
[00:00:44.000 --> 00:00:47.000]  小學、中學甚至大學
[00:00:47.000 --> 00:00:49.000]  都在學習守規矩
[00:00:49.000 --> 00:00:52.000]  可能有些人未必是拿筆
[00:00:52.000 --> 00:00:54.000]  不過有些人讀到大學
[00:00:54.000 --> 00:00:56.000]  可能拿筆都是拿錯的
[00:00:56.000 --> 00:01:01.000]  與人相處、責任
[00:01:01.000 --> 00:01:02.000]  大家想一想
[00:01:02.000 --> 00:01:04.000]  到了今天
[00:01:04.000 --> 00:01:05.000]  你可能還在讀書
[00:01:05.000 --> 00:01:07.000]  其實你仍然在學習
[00:01:07.000 --> 00:01:11.000]  當你有這個準備
[00:01:11.000 --> 00:01:14.000]  你在整個過程中可能會不同
[00:01:14.000 --> 00:01:17.000]  除了讀書有這些準備
[00:01:17.000 --> 00:01:19.000]  譬如老師要備課
[00:01:19.000 --> 00:01:22.000]  教務和工要預備講章
[00:01:22.000 --> 00:01:24.000]  敬拜隊都要練習
[00:01:24.000 --> 00:01:27.000]  當然你用多少時間
[00:01:27.000 --> 00:01:29.000]  可能都是一個問題
[00:01:29.000 --> 00:01:32.000]  還有大家看看
[00:01:32.000 --> 00:01:34.000]  聖壇上的花
[00:01:34.000 --> 00:01:35.000]  大家知不知道
[00:01:35.000 --> 00:01:37.000]  花了多長時間去插
[00:01:37.000 --> 00:01:41.000]  大家看看是誰插花
[00:01:41.000 --> 00:01:45.000]  花了整個上午很多
[00:01:45.000 --> 00:01:48.000]  到我開完會
[00:01:48.000 --> 00:01:50.000]  好像吃完東西再回來
[00:01:50.000 --> 00:01:52.000]  都差不多接近兩點鐘
[00:01:52.000 --> 00:01:54.000]  才插完
[00:01:54.000 --> 00:01:58.000]  但在我開會之前已經在插
[00:01:58.000 --> 00:02:00.000]  這些預備
[00:02:00.000 --> 00:02:03.000]  真的花了很多時間
[00:02:03.000 --> 00:02:05.000]  如果預備得好
[00:02:05.000 --> 00:02:07.000]  當然有一個好的效果
[00:02:07.000 --> 00:02:08.000]  預備得不好
[00:02:08.000 --> 00:02:11.000]  問題自然都會多
[00:02:11.000 --> 00:02:14.000]  信仰其實都是一樣
[00:02:14.000 --> 00:02:17.000]  如果我們有這些預備
