
[00:00:00.000 --> 00:00:02.960]  如果你看《約翰福音》的時候
[00:00:02.960 --> 00:00:08.240]  你會看到《約翰福音》其實是一本很特別的一本書
[00:00:08.240 --> 00:00:12.640]  它整本《約翰福音》
[00:00:12.640 --> 00:00:18.160]  它只不過是有八次很特別的記載
[00:00:18.160 --> 00:00:21.960]  耶穌做的、行的神蹟
[00:00:21.960 --> 00:00:23.360]  就是八次
[00:00:23.360 --> 00:00:28.800]  這八次每一次其實它都用不同的主題
[00:00:28.800 --> 00:00:30.160]  不同的目的
[00:00:30.160 --> 00:00:31.920]  講些不同的東西
[00:00:31.920 --> 00:00:36.240]  不過它有一個最終的核心的東西
[00:00:36.240 --> 00:00:37.880]  就是在《約翰福音》
[00:00:37.880 --> 00:00:39.160]  如果你有聖經
[00:00:39.160 --> 00:00:40.480]  和我一起打開
[00:00:40.480 --> 00:00:43.680]  《約翰福音》第20章第3節
[00:00:54.960 --> 00:00:59.960]  就請旁邊的人幫下手
[00:00:59.960 --> 00:01:00.560]  好不好
[00:01:00.560 --> 00:01:07.040]  《約翰福音》第20章第31節
[00:01:07.040 --> 00:01:11.240]  20章
[00:01:11.240 --> 00:01:13.080]  如果你聽不明白廣東話
[00:01:13.080 --> 00:01:18.680]  就請旁邊的人幫手分譯一下
[00:01:18.680 --> 00:01:19.400]  好
[00:01:19.400 --> 00:01:20.560]  我們一起來讀
[00:01:20.560 --> 00:01:21.720]  請
[00:01:21.720 --> 00:01:27.200]  但記者些時要記你們信耶穌是基督
[00:01:27.200 --> 00:01:29.400]  是上帝的兒子
[00:01:29.400 --> 00:01:32.160]  並且叫你們信了他
[00:01:32.160 --> 00:01:35.400]  就可以因他的名得生命
[00:01:35.400 --> 00:01:36.240]  好
[00:01:36.240 --> 00:01:38.560]  這一段經文帶出《約翰福音》
[00:01:38.560 --> 00:01:40.240]  最終的目的是叫我們
[00:01:40.240 --> 00:01:43.800]  可以信耶穌是誰
[00:01:43.800 --> 00:01:45.400]  神的兒子
[00:01:45.400 --> 00:01:46.200]  神的兒子
[00:01:46.200 --> 00:01:47.520]  在猶太人來說
[00:01:47.520 --> 00:01:50.400]  這個兒子的意思就是神的意思
[00:01:50.400 --> 00:01:51.520]  我們再看
[00:01:51.520 --> 00:01:54.320]  《約翰福音》第1章第1節
[00:01:54.320 --> 00:02:00.000]  應該懂得背了吧
[00:02:00.000 --> 00:02:00.360]  好
[00:02:00.360 --> 00:02:02.760]  一章一節我們一起來請
[00:02:02.760 --> 00:02:04.480]  在初有道
[00:02:04.480 --> 00:02:06.480]  道以神同在
[00:02:06.480 --> 00:02:08.040]  道就是神
[00:02:08.040 --> 00:02:09.960]  道就是誰啊
[00:02:09.960 --> 00:02:10.800]  神
[00:02:10.800 --> 00:02:11.440]  好
[00:02:11.440 --> 00:02:14.280]  所以當我們看這些神蹟的時候
[00:02:14.280 --> 00:02:16.120]  都是要讓我們
[00:02:16.120 --> 00:02:20.040]  能夠明白到我們到底信哪一個
[00:02:20.040 --> 00:02:25.400]  這是約翰福音三宗最大的意念
[00:02:25.400 --> 00:02:28.600]  他最願意介紹給我們每一個人
[00:02:28.600 --> 00:02:30.120]  今天你來到這裏
[00:02:30.120 --> 00:02:31.440]  你想認識的
[00:02:31.440 --> 00:02:33.240]  你來教會做什麼
[00:02:33.240 --> 00:02:35.800]  不是一個社交的活動
[00:02:35.800 --> 00:02:37.040]  因爲你需要坐在這裏
[00:02:37.040 --> 00:02:38.560]  最少你坐定定
[00:02:38.560 --> 00:02:41.160]  15到20分鐘聽我講
[00:02:41.160 --> 00:02:43.880]  講耶穌
[00:02:43.880 --> 00:02:46.680]  你來就是因爲你要信
