
[00:00:00.000 --> 00:00:05.520]  各位親愛的岩關團契的所有團友
[00:00:05.520 --> 00:00:08.640]  已經很久沒有見到大家
[00:00:08.640 --> 00:00:11.800]  我們在這個疫情
[00:00:11.800 --> 00:00:18.000]  在世界其他國地仍然是很嚴峻的考驗期間
[00:00:18.000 --> 00:00:20.880]  雖然香港現在的疫情稍為舒緩
[00:00:20.880 --> 00:00:23.320]  我們仍然是期待
[00:00:23.320 --> 00:00:29.600]  也看看政府將會頒布的其他限制令的措施
[00:00:29.600 --> 00:00:31.840]  會不會鬆綁
[00:00:31.840 --> 00:00:36.320]  期望教會能夠早一天
[00:00:36.320 --> 00:00:41.160]  我們再開實體崇拜和團契
[00:00:41.160 --> 00:00:45.040]  很多姐妹都問我何時可以開
[00:00:45.040 --> 00:00:47.320]  我自己真的很難回答你們
[00:00:47.320 --> 00:00:53.960]  因為我們知道我們需要考慮公共衛生和安全
[00:00:53.960 --> 00:00:56.600]  所以在這個期間我都鼓勵
[00:00:56.600 --> 00:01:03.360]  無論在家或者和家人一起相處的時候
[00:01:03.360 --> 00:01:05.960]  我們要學習一件事
[00:01:05.960 --> 00:01:12.080]  在這個疫情我們如何能夠保持我們的心境能夠健康
[00:01:12.080 --> 00:01:19.360]  保持我們的靈性有這份真正的所謂屬靈的免疫力
[00:01:19.360 --> 00:01:23.480]  今天這個題目我希望能夠幫助大家
[00:01:23.480 --> 00:01:28.160]  在瘟疫底下究竟我們有沒有免疫力
[00:01:28.160 --> 00:01:31.760]  我們先來看一看一件事
[00:01:31.760 --> 00:01:34.920]  免疫力我們多方面去了解一下
[00:01:34.920 --> 00:01:39.440]  免疫力其實是包括可以有五方面的
[00:01:39.440 --> 00:01:42.840]  有人說你身體是不是有免疫力
[00:01:42.840 --> 00:01:46.960]  如果一到流感季節是不是很容易你就會中招
[00:01:46.960 --> 00:01:50.640]  很容易你就會身體不適
[00:01:50.640 --> 00:01:55.640]  如果是的時候可能你身體的免疫系統不夠強壯
[00:01:55.640 --> 00:01:59.680]  需要吃一些藥物去補充
[00:01:59.680 --> 00:02:05.560]  同樣有些人可能財務的免疫力是很強的
[00:02:05.560 --> 00:02:10.160]  同樣的可能一個城市被封城隔離
[00:02:10.160 --> 00:02:12.840]  有人一年吃喝無憂
[00:02:12.840 --> 00:02:18.320]  但亦都有人可能一個星期就會財困很拮据
[00:02:18.320 --> 00:02:22.920]  這個是說我們平時有沒有儲蓄的習慣
[00:02:22.920 --> 00:02:31.160]  我們有沒有在財務管理上作妥善的安排
[00:02:31.160 --> 00:02:35.320]  同樣心靈的免疫力提及到
[00:02:35.320 --> 00:02:38.440]  如果我們今天面對同一樣的災難
[00:02:38.440 --> 00:02:41.920]  有人很積極的繼續生活
[00:02:41.920 --> 00:02:44.280]  但有人就會怨天尤人
[00:02:44.280 --> 00:02:46.120]  甚至是守視別人
[00:02:46.120 --> 00:02:51.560]  這個就是他心靈的免疫力不夠健康
[00:02:51.560 --> 00:02:54.000]  我們都看看什麼為之
[00:02:54.000 --> 00:02:58.360]  第四方面就是價值的一個免疫力
[00:02:58.360 --> 00:03:04.280]  當我們現在每一個人都不可以去到一些
[00:03:04.280 --> 00:03:06.240]  譬如說餐館
[00:03:06.240 --> 00:03:10.680]  早前限制只能夠四個人一桌
[00:03:10.680 --> 00:03:13.640]  而且相隔之間大家起碼1.5米
[00:03:13.640 --> 00:03:15.200]  桌與桌之間
[00:03:15.200 --> 00:03:17.440]  現在稍為放寬
[00:03:17.440 --> 00:03:20.040]  但還是一張桌最多8個人
[00:03:20.040 --> 00:03:26.040]  我們很多時候如果沒有必要
[00:03:26.040 --> 00:03:29.200]  都會勸大家留在家中
[00:03:29.200 --> 00:03:30.880]  其實留在家中的時候
[00:03:30.880 --> 00:03:32.880]  究竟我們可以做些什麼呢
[00:03:32.880 --> 00:03:36.280]  原來我們可以看書
[00:03:36.280 --> 00:03:38.240]  或者現在很多時候上網
[00:03:38.240 --> 00:03:42.280]  你可以去參考很多的網站
[00:03:42.280 --> 00:03:46.480]  或者甚至大學提供一些免費的課程
[00:03:46.480 --> 00:03:48.880]  我們可以學習這些不同的
[00:03:48.880 --> 00:03:52.520]  對我們自己有興趣的課程之餘
[00:03:52.520 --> 00:03:54.400]  我們還可以做運動
[00:03:54.400 --> 00:03:57.240]  我們可以參與一些視像的會議
[00:03:57.240 --> 00:03:58.800]  我們仍然很積極的
[00:03:58.800 --> 00:04:01.200]  可以在這個疫情下
[00:04:01.200 --> 00:04:05.520]  我們做平時可能你忽略了
[00:04:05.520 --> 00:04:08.160]  沒有什麼去做運動
[00:04:08.160 --> 00:04:11.560]  在家中你就算沒有跑步機
[00:04:11.560 --> 00:04:12.840]  好像我和我太太
[00:04:12.840 --> 00:04:18.240]  我們盡量每晚可以做一些緩步
[00:04:18.240 --> 00:04:19.240]  急步
[00:04:19.240 --> 00:04:22.360]  原地跑一些這樣的運動
[00:04:22.360 --> 00:04:24.000]  這些都是重要的
[00:04:24.000 --> 00:04:28.200]  但如果有些人只是覺得到處都不能去
[00:04:28.200 --> 00:04:29.880]  日又睡夜又睡
[00:04:29.880 --> 00:04:33.520]  我們整個人就會變得很懶散
[00:04:33.520 --> 00:04:36.400]  或者只是中日在看電視
[00:04:36.400 --> 00:04:38.280]  或者是看劇集的話
[00:04:38.280 --> 00:04:46.480]  你就會發覺整個人都會很沮喪
[00:04:46.480 --> 00:04:49.600]  這個是關乎到我們價值的免疫力
[00:04:49.600 --> 00:04:53.320]  我們能否看到原來我們的生活
[00:04:53.320 --> 00:04:55.040]  不是只是為了生存
[00:04:55.040 --> 00:04:58.320]  我們的生活是可以多姿多彩地
[00:04:58.320 --> 00:05:00.000]  就算在環境上
[00:05:00.000 --> 00:05:04.000]  可能規範了我們有很多地方不能去
[00:05:04.000 --> 00:05:06.720]  我們需要或者在家居
[00:05:06.720 --> 00:05:11.960]  我們很多時候或者是回到辦公室
[00:05:11.960 --> 00:05:14.600]  你都仍然要戴著口罩
[00:05:14.600 --> 00:05:16.760]  其實這一切都是提醒我們
[00:05:16.760 --> 00:05:18.600]  就在這個疫情底下
[00:05:18.600 --> 00:05:22.880]  原來是沒有人可以倖免的
[00:05:22.880 --> 00:05:24.560]  那些瘟疫那些病毒
[00:05:24.560 --> 00:05:27.120]  它不會看你有多高學識
[00:05:27.120 --> 00:05:30.080]  或者你是貧窮還是富有
[00:05:30.080 --> 00:05:31.760]  一視同仁的
[00:05:31.760 --> 00:05:33.480]  如果我們沒有做好
[00:05:33.480 --> 00:05:37.040]  這些保護和抗疫的措施
[00:05:37.040 --> 00:05:41.200]  我們是有一個可能性
[00:05:41.200 --> 00:05:43.480]  有一個機會可能就掉下去
[00:05:43.480 --> 00:05:46.840]  這種被感染的風險當中
[00:05:46.840 --> 00:05:48.720]  所以我們今天來看
[00:05:48.720 --> 00:05:52.120]  還有第五種就是屬靈的免疫力
[00:05:52.120 --> 00:05:55.120]  我們面對這些病毒的時候
[00:05:55.120 --> 00:05:59.760]  究竟我們內心是否只是充滿著很多無奈
[00:05:59.760 --> 00:06:03.960]  或者是埋怨或者是恐懼
[00:06:03.960 --> 00:06:09.800]  我們逐一透過一些從今日的經文來看
