
[00:00:00.000 --> 00:00:08.000]  大家早晨,很開心可以來到傳音堂分享神的訊息
[00:00:08.000 --> 00:00:14.000]  上個月我們去了日本仙台訪孫
[00:00:14.000 --> 00:00:19.000]  之後跟Viva去了東京,大家都認識Viva吧
[00:00:19.000 --> 00:00:23.000]  我是Viva的先生,她是我老婆
[00:00:24.000 --> 00:00:30.000]  一年應該來三四次,先去了仙台做一些社區的服務
[00:00:30.000 --> 00:00:35.000]  之後去了東京,因為都知道傳音堂有一個DNA
[00:00:35.000 --> 00:00:40.000]  有一個很強的mission mind,所以都想講一點這方面
[00:00:40.000 --> 00:00:45.000]  因為當時聽到一些呼聲,什麼呼聲呢?
[00:00:45.000 --> 00:00:52.000]  就是在日本,很想舉辦廣東話崇拜的呼聲
[00:00:53.000 --> 00:00:57.000]  這段經文剛才讀了,都是回答一個問題
[00:00:57.000 --> 00:01:01.000]  人生是不是可以重來呢?
[00:01:01.000 --> 00:01:06.000]  如果轉跑道會發生什麼事呢?
[00:01:06.000 --> 00:01:11.000]  像我這樣的人,這句說話不知道大家想到什麼
[00:01:11.000 --> 00:01:15.000]  像我這樣的人,尼熙米自己都這樣說
[00:01:15.000 --> 00:01:19.000]  像我這樣的人,我還可不可以有第二個人生呢?
[00:01:19.000 --> 00:01:22.000]  可不可以轉一轉跑道呢?
[00:01:23.000 --> 00:01:26.000]  可以是怎樣走,何去何從呢?
[00:01:26.000 --> 00:01:33.000]  當時都和一位在香港移居到日本的一個很熱心的信徒去聊天
[00:01:33.000 --> 00:01:36.000]  另外都有一位宣教士去聊天
[00:01:36.000 --> 00:01:44.000]  他們都說到一些地方,因為他們很想有一個廣東話的崇拜
[00:01:44.000 --> 00:01:49.000]  但在日本其實沒有什麼正式的廣東話崇拜
[00:01:50.000 --> 00:01:53.000]  所以當他們自己很熱心的去籌劃的時候
[00:01:53.000 --> 00:01:58.000]  因為始終社運移民潮,雖然大部份去了英國
[00:01:58.000 --> 00:02:03.000]  但日本都是有的,估計可能一至三萬人
[00:02:03.000 --> 00:02:09.000]  當中有一些信徒,當然他們可以學日文,學英文
[00:02:09.000 --> 00:02:12.000]  參與當地教會,都可以成長的
[00:02:12.000 --> 00:02:18.000]  但大家如果說到廣東話,就有一種廣東話的情意結
[00:02:19.000 --> 00:02:20.000]  有一種不同的味道
[00:02:20.000 --> 00:02:25.000]  當他們有一次能夠用廣東話去唱詩歌的時候
[00:02:25.000 --> 00:02:31.000]  其中有一位長者,因為他已經移居到日本超過三十年
[00:02:31.000 --> 00:02:35.000]  不同的年期,可能九七年的時候他移居到日本
[00:02:35.000 --> 00:02:38.000]  但他都是一個信徒,竟然在三十年後
[00:02:38.000 --> 00:02:42.000]  他發現很感動,竟然可以一起有廣東話的敬拜
[00:02:43.000 --> 00:02:49.000]  我們可能是習以為常,但到了外地,有時見到同聲同氣的人
[00:02:49.000 --> 00:02:52.000]  就有一種不同的感覺
[00:02:52.000 --> 00:02:59.000]  昔日他們在尼禧米裏面,他們都很想去重建
[00:02:59.000 --> 00:03:02.000]  來到今天,我們都有一些東西想去重建
[00:03:02.000 --> 00:03:06.000]  因為有些東西破碎了,需要去重建
[00:03:06.000 --> 00:03:11.000]  正如剛才主席說,我們讀出了內經文
[00:03:12.000 --> 00:03:17.000]  告訴我們,去重建的時候,面對很多困難重重的
[00:03:17.000 --> 00:03:23.000]  問題有時不是那麼順利,亦會遇到很多阻礙
[00:03:23.000 --> 00:03:29.000]  而其中一個最明顯的阻礙,就是恐懼,害怕
[00:03:29.000 --> 00:03:32.000]  害怕很多時候是控制了很多人
[00:03:32.000 --> 00:03:41.000]  所以為何十多年前的電片,網片,收到電話電郵之類
[00:03:42.000 --> 00:03:47.000]  很難沒有收過,因為現在香港這個城市在全世界的眼中
[00:03:47.000 --> 00:03:53.000]  都是一個肥豬肉,很多人都覺得香港人很有錢
[00:03:53.000 --> 00:03:58.000]  經常都出很多這些新聞,已經押了幾十億都好
[00:03:58.000 --> 00:04:03.000]  仍然都有人去受騙,為何會受騙?
[00:04:03.000 --> 00:04:09.000]  其中一個就是害怕,譬如有些新香港人來香港讀書
[00:04:10.000 --> 00:04:13.000]  交流生,大學生,他們都一樣
[00:04:13.000 --> 00:04:20.000]  聽到你爸爸媽媽出了事故,諸如此類,哪裡打來的時候
[00:04:20.000 --> 00:04:25.000]  如果他不懂得接,他會害怕,然後又罰了多少錢
[00:04:25.000 --> 00:04:30.000]  正如在暑假,我們都要為青少去守望
[00:04:30.000 --> 00:04:35.000]  在暑假的時候,很多不法的人都一樣會做這些網片的事
[00:04:36.000 --> 00:04:40.000]  例如他們聊天,年輕人可能不懂事的時候
[00:04:40.000 --> 00:04:45.000]  又覺得叔叔姨姨哥哥姐姐很接納我,很明白我
[00:04:45.000 --> 00:04:50.000]  有些新聞都會出,可能有些姓莫碩的事件
[00:04:50.000 --> 00:04:55.000]  或者裸聊,拿了他的相片,然後怎樣?
[00:04:55.000 --> 00:05:00.000]  要脅他給錢,一次給五千,一次給五千,一次給五萬
[00:05:01.000 --> 00:05:06.000]  給不起,給不起就揚了出來跟父母求助
[00:05:06.000 --> 00:05:10.000]  這些我們看到在街上都有的一些警方
[00:05:10.000 --> 00:05:13.000]  所以在這一篇,他回答一個很重要的問題
[00:05:13.000 --> 00:05:18.000]  當我們特別去作神的功的時候,我們怎樣去靠著神
[00:05:18.000 --> 00:05:23.000]  能夠不要手軟呢?敵人想我們手軟,第一
[00:05:23.000 --> 00:05:27.000]  第二,敵人有很多詭計想欺騙我們
[00:05:28.000 --> 00:05:32.000]  第三,當真是員工的時候,我們應該有什麼態度呢?
[00:05:32.000 --> 00:05:36.000]  我們都想一起有個祈禱,請大家低頭一起去祈禱
[00:05:36.000 --> 00:05:45.000]  親愛的父神,我們多謝祢,祢是生命的源頭
[00:05:45.000 --> 00:05:49.000]  我們能夠活在世上,是恩典
[00:05:49.000 --> 00:05:54.000]  有家人去愛我們,照顧我們,育育我們,都是恩典
[00:05:55.000 --> 00:05:58.000]  大家可以蒙祢的恩典去認識祢
[00:05:58.000 --> 00:06:03.000]  得著永生,進入神的家,在當中去成長
[00:06:03.000 --> 00:06:09.000]  並且能夠去回應祢,這個都是重重的恩典
[00:06:09.000 --> 00:06:12.000]  我們為了祢給我們這一切,我們多謝祢
[00:06:12.000 --> 00:06:15.000]  亦都求祢開我們心靈眼睛
[00:06:15.000 --> 00:06:20.000]  讓我們看祢的說話跟我們的生命有什麼關係
[00:06:20.000 --> 00:06:24.000]  好叫我們存著信心來回應祢
[00:06:25.000 --> 00:06:28.000]  我們同心禱告,奉主明求,阿門
[00:06:55.000 --> 00:06:59.000]  第一個是參巴拉,第二個是多比亞,第三個是基善
[00:06:59.000 --> 00:07:04.000]  參巴拉是和倫人,即不是猶太人
[00:07:04.000 --> 00:07:09.000]  多比亞也是,他們不是猶太人,基善也是
