
[00:00:00.000 --> 00:00:05.700]  今天我們繼續說剛纔主席提到的
[00:00:05.700 --> 00:00:08.220]  上個月我們看到經文
[00:00:08.220 --> 00:00:10.040]  提摩泰後書二章三節
[00:00:10.040 --> 00:00:14.660]  保羅來勸勉提摩泰要做耶穌基督的正病
[00:00:14.660 --> 00:00:21.080]  其實無論你警覺也好
[00:00:21.080 --> 00:00:22.040]  不警覺也好
[00:00:22.040 --> 00:00:26.700]  我們每一天都好像在一場爭戰當中
[00:00:26.700 --> 00:00:30.240]  這是聖經將這個真理顯示給我們看
[00:00:30.240 --> 00:00:33.680]  因爲我們在一場屬靈的爭戰當中
[00:00:33.680 --> 00:00:38.760]  其實每一天都有很多不同的挑戰
[00:00:38.760 --> 00:00:40.160]  有很多不同的
[00:00:40.160 --> 00:00:42.060]  來自外面也好
[00:00:42.060 --> 00:00:45.580]  來自我們心靈也好的一些挑戰
[00:00:45.580 --> 00:00:49.920]  我們如果來到選擇站在神那邊
[00:00:49.920 --> 00:00:51.960]  神就帶領我們來得勝
[00:00:51.960 --> 00:00:54.600]  有時我們可能會軟弱
[00:00:54.600 --> 00:00:58.320]  走錯路或者做錯一些決定
[00:00:58.320 --> 00:01:01.460]  可能我們就會跌落魔鬼的一些陷阱
[00:01:01.460 --> 00:01:03.680]  或者在我們軟弱的當中
[00:01:03.680 --> 00:01:07.980]  所以其實每一刻時常都需要警醒
[00:01:07.980 --> 00:01:11.500]  知道我們在屬靈的爭戰當中
[00:01:11.500 --> 00:01:17.160]  保羅他是一位基督的勇士
[00:01:17.160 --> 00:01:21.260]  他走過人生到離世之前
[00:01:21.260 --> 00:01:25.520]  他說:那美好的將我打過了
[00:01:25.520 --> 00:01:28.760]  他形容自己是一位戰士
[00:01:28.760 --> 00:01:30.100]  其實這不僅是他
[00:01:30.100 --> 00:01:32.600]  他也祝福提摩太
[00:01:32.600 --> 00:01:37.900]  又叫他向其他的信徒提醒
[00:01:37.900 --> 00:01:41.680]  我們需要做耶穌基督的徵兵
[00:01:41.680 --> 00:01:42.540]  換句話說
[00:01:42.540 --> 00:01:46.900]  我們需要成爲主的戰士
[00:01:46.900 --> 00:01:48.780]  成爲天國的士兵
[00:01:48.780 --> 00:01:51.360]  來爲神打那美好的仗
[00:01:51.360 --> 00:01:54.500]  在我們人生當中來做一個得勝者
[00:01:54.500 --> 00:01:56.580]  做一個得勝的基督徒
[00:01:56.580 --> 00:01:57.940]  這是神的安然
[00:01:57.940 --> 00:02:02.160]  祂不要我們軟弱跌倒失敗
[00:02:02.160 --> 00:02:04.200]  因爲祂本來拯救我們的目的
[00:02:04.200 --> 00:02:07.560]  就是叫我們做一個得勝的基督徒
[00:02:07.560 --> 00:02:11.180]  能夠勝過魔鬼和罪惡的試探
[00:02:11.180 --> 00:02:18.500]  在世上能夠勝過自己的情慾的敗壞和肉體的私慾
[00:02:18.500 --> 00:02:21.160]  在這個充滿着苦難的人生裏
[00:02:21.160 --> 00:02:23.500]  耶穌說我已經勝過這個世界
[00:02:23.500 --> 00:02:26.900]  所以我能夠賜給你們真正的平安
[00:02:26.900 --> 00:02:32.120]  勝過地上、世上一切的苦難
[00:02:32.120 --> 00:02:34.700]  這裏主告訴我們
[00:02:34.700 --> 00:02:38.660]  是祂的心意讓我們能夠分享祂的榮耀
[00:02:38.660 --> 00:02:41.620]  和祂自己的勝利
[00:02:41.620 --> 00:02:44.820]  我們如何能夠做一個天國的士兵呢?
[00:02:44.820 --> 00:02:46.980]  在上一個月跟大家分享過
