
[00:00:00.000 --> 00:00:05.000]  主因點我們今天能夠健康、能夠平安
[00:00:05.000 --> 00:00:07.000]  似乎是很如常的
[00:00:07.000 --> 00:00:09.000]  按自己的心意
[00:00:09.000 --> 00:00:12.000]  回到教會見頂姊妹
[00:00:12.000 --> 00:00:14.000]  一同詩歌、一同禱告
[00:00:14.000 --> 00:00:18.000]  一同領受上帝的說話
[00:00:18.000 --> 00:00:21.000]  背後有上帝一些似乎很平凡的
[00:00:21.000 --> 00:00:28.000]  默默的奇妙看顧和保護
[00:00:28.000 --> 00:00:31.000]  剛才我們讀一段經文
[00:00:31.000 --> 00:00:34.000]  是一些很熱門的經文
[00:00:34.000 --> 00:00:37.000]  很可能你在教會內的話
[00:00:37.000 --> 00:00:39.000]  隔一年就會聽一次
[00:00:39.000 --> 00:00:42.000]  甚至每年都有機會聽
[00:00:42.000 --> 00:00:47.000]  二賽書第六章頭幾節
[00:00:47.000 --> 00:00:49.000]  大家今年是八十週年
[00:00:49.000 --> 00:00:51.000]  見大家的主題
[00:00:51.000 --> 00:00:55.000]  夢照和使命可能都有機會講一下
[00:00:55.000 --> 00:00:57.000]  不過你一讀下去的時候
[00:00:57.000 --> 00:00:59.000]  會發覺好像還沒讀完
[00:00:59.000 --> 00:01:01.000]  讀到第四節
[00:01:01.000 --> 00:01:06.000]  下面才是二賽的夢照
[00:01:06.000 --> 00:01:10.000]  這四節我們通常比較少留意
[00:01:10.000 --> 00:01:13.000]  不過正正就是夢照和使命
[00:01:13.000 --> 00:01:17.000]  前面當時的社會處境
[00:01:17.000 --> 00:01:20.000]  我們在這個社會處境之中
[00:01:20.000 --> 00:01:23.000]  去探索它了解多一點
[00:01:23.000 --> 00:01:26.000]  其實它給我們一個很重要的訊息
[00:01:26.000 --> 00:01:28.000]  正正是一個基礎
[00:01:28.000 --> 00:01:30.000]  讓我們好好的定位
[00:01:30.000 --> 00:01:33.000]  去踏上前面走上第八一年
[00:01:33.000 --> 00:01:37.000]  第八二年去夢照的使命
[00:01:37.000 --> 00:01:42.000]  見證主的任務
[00:01:42.000 --> 00:01:44.000]  我們在香港
[00:01:44.000 --> 00:01:48.000]  或者我們在現在這個世界生活的年代
[00:01:48.000 --> 00:01:51.000]  有時我們叫做大時代
[00:01:51.000 --> 00:01:54.000]  其實時代沒有什麼大小
[00:01:54.000 --> 00:01:58.000]  不過在我們的語文的習慣上
[00:01:58.000 --> 00:02:00.000]  有些翻天動地的改變
[00:02:00.000 --> 00:02:03.000]  革命諸如此類
[00:02:03.000 --> 00:02:06.000]  我們就叫做大時代
[00:02:06.000 --> 00:02:09.000]  所以在過去三十年
[00:02:09.000 --> 00:02:11.000]  香港經歷回歸
[00:02:11.000 --> 00:02:13.000]  有時我們會說
[00:02:13.000 --> 00:02:15.000]  我們生活在一個大時代
[00:02:15.000 --> 00:02:18.000]  大時代刺激挑戰
[00:02:18.000 --> 00:02:20.000]  不過充滿不安
[00:02:20.000 --> 00:02:22.000]  充滿焦慮
[00:02:22.000 --> 00:02:25.000]  也充滿很多
[00:02:25.000 --> 00:02:27.000]  我們近年流行的撕裂
[00:02:27.000 --> 00:02:30.000]  人有不同的想法
[00:02:30.000 --> 00:02:34.000]  今天是選舉
[00:02:34.000 --> 00:02:36.000]  叫做補選
[00:02:36.000 --> 00:02:40.000]  背後你就知道很多事的發生
[00:02:40.000 --> 00:02:42.000]  由我們香港社會
[00:02:42.000 --> 00:02:44.000]  以至中國
[00:02:44.000 --> 00:02:49.000]  過去三十年打了幾個關斗的變化
[00:02:49.000 --> 00:02:52.000]  整個世界也隨著我們的科技
[00:02:52.000 --> 00:02:55.000]  數碼科技 通訊科技
[00:02:55.000 --> 00:02:58.000]  整個世界幾乎反轉了
[00:02:58.000 --> 00:02:59.000]  所以我們說
[00:02:59.000 --> 00:03:02.000]  我們生活在一個大時代
[00:03:02.000 --> 00:03:04.000]  大概也不會誇張
[00:03:04.000 --> 00:03:08.000]  或者自己拿自己的東西來說
[00:03:08.000 --> 00:03:11.000]  不過正正是在這些時代
[00:03:11.000 --> 00:03:14.000]  既有危也有忌
[00:03:14.000 --> 00:03:19.000]  不過我相信我們這些軟弱的人
[00:03:19.000 --> 00:03:22.000]  也是充滿憂慮不安
[00:03:22.000 --> 00:03:25.000]  比較多一點
[00:03:25.000 --> 00:03:27.000]  我們特別生活在香港
[00:03:27.000 --> 00:03:33.000]  每天都不知道爆單甚麼出來
[00:03:33.000 --> 00:03:36.000]  所以我們要看看我們今天的經文
[00:03:36.000 --> 00:03:40.000]  特別是這個夢召和使命
[00:03:40.000 --> 00:03:43.000]  當時的處境是怎樣
[00:03:43.000 --> 00:03:46.000]  聖經記載這個處境本身
[00:03:46.000 --> 00:03:49.000]  已經透露一個秘訣
[00:03:49.000 --> 00:03:50.000]  一個出路
[00:03:50.000 --> 00:03:54.000]  一個很重要的屬靈原則給我們
[00:03:54.000 --> 00:03:55.000]  經文第一句
[00:03:55.000 --> 00:03:59.000]  第六章 二賽書的第一節
[00:03:59.000 --> 00:04:02.000]  當烏西亞王崩的那年
[00:04:02.000 --> 00:04:07.000]  我見主坐在高高的寶座上
[00:04:07.000 --> 00:04:10.000]  這些我們很熟 聽慣
[00:04:10.000 --> 00:04:13.000]  有時比較少去留意
[00:04:13.000 --> 00:04:17.000]  這兩句話本身就很強烈的對比
[00:04:17.000 --> 00:04:20.000]  很強烈很強烈的對比
[00:04:20.000 --> 00:04:22.000]  皇上駕崩
[00:04:22.000 --> 00:04:24.000]  我們的講題
[00:04:24.000 --> 00:04:27.000]  主的榮光
[00:04:27.000 --> 00:04:30.000]  人離開世界就叫做死
[00:04:30.000 --> 00:04:32.000]  我和你都叫做離世
[00:04:32.000 --> 00:04:34.000]  我們信主叫做安息
[00:04:34.000 --> 00:04:36.000]  叫做息怒
[00:04:36.000 --> 00:04:38.000]  皇帝死就叫做崩
[00:04:38.000 --> 00:04:40.000]  我們中文是這樣講的
[00:04:40.000 --> 00:04:43.000]  崩就是大件事了
[00:04:43.000 --> 00:04:45.000]  決堤了 倒塌了
[00:04:45.000 --> 00:04:47.000]  社會不行了
