
[00:00:00.000 --> 00:00:04.200]  我們希望我們的信仰不只是在頭腦上
[00:00:04.200 --> 00:00:07.200]  這個信仰不只是我們一些教義
[00:00:07.200 --> 00:00:11.600]  耶穌的受苦是祂真真實實行走在地上
[00:00:11.600 --> 00:00:14.800]  祂經歷人一生的苦痛
[00:00:14.800 --> 00:00:17.000]  祂背負我們的重擔
[00:00:17.000 --> 00:00:21.400]  最後釘死在受苦的十字架上
[00:00:21.400 --> 00:00:26.200]  讓我們多花一點時間沉澱在神的面前
[00:00:26.200 --> 00:00:31.400]  我們再仰望祂寶貴的十字架
[00:00:31.400 --> 00:00:32.600]  主啊 我仰望祢
[00:00:32.600 --> 00:00:34.200]  我們願意真的我們的心
[00:00:34.200 --> 00:00:38.000]  可以靠近多一點十字架
[00:00:38.000 --> 00:00:39.600]  主啊 我們仰望祢
[00:00:39.600 --> 00:00:41.800]  讓我們的心有多一點空間
[00:00:41.800 --> 00:00:47.600]  去盛裝神祢自己的苦難
[00:00:47.600 --> 00:00:51.800]  主啊 這個苦難不是單在我們頭腦上
[00:00:51.800 --> 00:00:53.600]  不是單一個教義
[00:00:53.600 --> 00:00:58.000]  而是真的祢昔日走過足留地
[00:00:58.000 --> 00:01:02.600]  祢昔日走過人世最深最苦的痛
[00:01:02.600 --> 00:01:07.600]  主也每樣人生最困難的光景
[00:01:07.600 --> 00:01:09.200]  祢已經尚盡
[00:01:09.200 --> 00:01:12.000]  以致祢的釘死
[00:01:12.000 --> 00:01:14.400]  完成了父神的心意
[00:01:14.400 --> 00:01:16.400]  代替了我們
[00:01:16.400 --> 00:01:19.800]  本應釘在十字架上的是我們
[00:01:19.800 --> 00:01:23.600]  主啊 願我們今天真的再一次來到祢的根前
[00:01:23.600 --> 00:01:25.400]  有一個聆聽的耳朵
[00:01:25.400 --> 00:01:29.200]  再一次聽祢十字架上對我們所說的話
[00:01:29.200 --> 00:01:33.200]  祷告奉基督耶穌聖名 阿門
[00:01:33.200 --> 00:01:38.800]  今天是來到受苦期最後的禮拜
[00:01:38.800 --> 00:01:43.000]  即是禮拜六的下午
[00:01:43.000 --> 00:01:45.000]  經過四十天
[00:01:45.000 --> 00:01:46.600]  即是如果由聖灰日
[00:01:46.600 --> 00:01:48.200]  如果大家有些印象
[00:01:48.200 --> 00:01:50.400]  我們說由聖灰日一直數
[00:01:50.400 --> 00:01:51.600]  不計主日
[00:01:51.600 --> 00:01:54.200]  一共有四十天的時間
[00:01:54.200 --> 00:01:59.600]  有沒有想過為什麼要這麼長的時間去受苦
[00:01:59.600 --> 00:02:02.200]  苦我們人都是很怕去受
[00:02:02.200 --> 00:02:06.600]  我們都是希望盡量避免痛苦
[00:02:06.600 --> 00:02:08.600]  但我們卻看到在我們的信仰裏面
[00:02:08.600 --> 00:02:11.600]  很多關於受苦的信息
[00:02:11.600 --> 00:02:14.000]  彼得在彼得前書裏面
[00:02:14.000 --> 00:02:17.200]  講了很多關於受苦的信息
[00:02:17.200 --> 00:02:21.400]  彼得前書二章二十至二十一節告訴我們
[00:02:21.400 --> 00:02:26.400]  我們要忍耐那些因為行善而要受的苦
[00:02:26.400 --> 00:02:28.400]  並且我們的蒙恩
[00:02:28.400 --> 00:02:29.600]  我們的蒙召
[00:02:29.600 --> 00:02:33.800]  原是為此
[00:02:33.800 --> 00:02:38.400]  為什麼我們的蒙召竟然是為了要受苦呢
[00:02:38.400 --> 00:02:39.200]  很多人會問
[00:02:39.200 --> 00:02:42.000]  如果蒙召竟然是為了受苦
[00:02:42.000 --> 00:02:46.600]  那我信耶穌來做什麼
[00:02:46.600 --> 00:02:49.000]  甚至我們看彼得
[00:02:49.000 --> 00:02:50.200]  他也是這麼說
[00:02:50.200 --> 00:02:54.400]  他說你蒙恩不但得以信服基督
[00:02:54.400 --> 00:02:56.400]  我們看保羅
[00:02:56.400 --> 00:02:59.200]  他說你蒙恩不但得以信服基督
[00:02:59.200 --> 00:03:01.000]  並且要為他受苦
[00:03:01.000 --> 00:03:03.600]  在菲律賓書一章二十九節
[00:03:03.600 --> 00:03:06.800]  蒙召蒙恩
[00:03:06.800 --> 00:03:10.400]  原來竟然是為了受苦
[00:03:10.400 --> 00:03:13.400]  不是為了贏取更多的福氣嗎
[00:03:13.400 --> 00:03:17.600]  反而是要分擔基督的苦楚
[00:03:17.600 --> 00:03:19.000]  你不如早點告訴我
[00:03:19.000 --> 00:03:22.400]  不用我在這裡坐這麼久
[00:03:22.400 --> 00:03:24.000]  如果你想想
[00:03:24.000 --> 00:03:25.400]  你結婚的時候
[00:03:25.400 --> 00:03:27.600]  你的伴侶說她一生一世愛你
