
[00:00:00.000 --> 00:00:05.060]  人類經常會問一個問題,究竟這個世界有沒有神的存在呢?
[00:00:05.060 --> 00:00:06.400]  神是否存在?
[00:00:06.400 --> 00:00:10.160]  有些人說,當然存在啦,有些人說,沒有,這個世界沒有神的
[00:00:10.160 --> 00:00:12.000]  有些人說,我不知道
[00:00:12.000 --> 00:00:15.400]  有些人就說,有,不過已經死了
[00:00:15.400 --> 00:00:20.360]  我相信今天我們身處在一個後現代的世界裏面,可能會多一種說法
[00:00:20.360 --> 00:00:24.020]  就是,我不在乎,我不在乎關我甚麼事
[00:00:24.020 --> 00:00:27.360]  對於一些覺得這個世界有神存在的人
[00:00:27.360 --> 00:00:30.260]  有些人覺得這個世界只有一個神
[00:00:30.260 --> 00:00:33.160]  有些人就滿天神佛
[00:00:33.160 --> 00:00:41.660]  而作為基督徒,我們相信這個世界只有一個又真又活的神
[00:00:41.660 --> 00:00:49.860]  而這個神呢,我們相信只有一個神的原因並不是因為我們一廂情願覺得這個世界是這樣
[00:00:49.860 --> 00:00:57.600]  而是這個真神通過啟示,告訴這個世界只有這個神
[00:00:57.600 --> 00:01:02.160]  除他以外,別無其他的神
[00:01:02.160 --> 00:01:10.500]  而我們都相信這個真神,也是不喜悅我們去敬拜
[00:01:10.500 --> 00:01:16.000]  或者是相信另一個人手所造的假神
[00:01:16.000 --> 00:01:26.000]  在我們今天所讀的故事裏面,這三個年輕人,他只是相信這個世界只有一個神
[00:01:26.000 --> 00:01:37.000]  但是他們身處的國家的皇帝,卻是要求他們跪拜一個武器式,是人手所造出來的偶像
[00:01:37.000 --> 00:01:43.900]  而這個皇所下的命令不單是一個很簡單的信心測試
[00:01:43.900 --> 00:01:49.100]  而是一個關乎生與死的終極試驗
[00:01:49.100 --> 00:01:55.100]  讓我們通過今天的故事,一同學一些功課
[00:01:55.100 --> 00:02:03.500]  在這個故事一開始的時候,尼布格尼撒王做了一個很大的金像,我們在聖經裏面看到
[00:02:03.500 --> 00:02:07.700]  而根據聖經的描述,這個金像大家估計有多高
[00:02:07.700 --> 00:02:14.100]  應該有人計算過,應該有今天的十層樓那麼高,大家可以想像一下,十層樓有多高
[00:02:14.100 --> 00:02:18.100]  兼且是用金去鑄造的,當然我相信不是實金
[00:02:18.100 --> 00:02:23.900]  但是大家可以想像到,如果用金去做這個金像,十層樓那麼高
[00:02:23.900 --> 00:02:32.500]  太陽照射下來的時候,都閃閃生輝,相當的一個挺吸引的一個場面
[00:02:32.500 --> 00:02:41.000]  兼且十層樓那麼高,為什麼是十層樓那麼高,是不是金太多了
[00:02:41.000 --> 00:02:49.900]  我相信十層樓那麼高,做一個那麼高那麼大的像的原因,除了顯示他們巴布倫國的國力
[00:02:49.900 --> 00:02:54.600]  而且我相信另一個很重要的原因,要讓所有的人都看到
[00:02:54.600 --> 00:03:01.100]  無論你在哪裡,在多遠,十層樓那麼高,你多遠都看得到這樣的一個像
[00:03:01.100 --> 00:03:11.000]  以致,因為聖經說的,這個王要求就是當音樂奏起的時候,那些人就要對著這個像去跪拜
[00:03:11.000 --> 00:03:16.100]  對於一個國家有這麼多的偶像,這麼多的神像
[00:03:16.100 --> 00:03:23.400]  我相信這個皇帝對國民的要求其實都合理的,為什麼
[00:03:23.400 --> 00:03:34.100]  因為我相信大部分的巴比倫人,對於這個王所做的這麼大的金像,我相信他們都很引以為驕傲的
[00:03:34.100 --> 00:03:41.700]  為什麼,很簡單,因為這些金像我相信大概比其他鄰國的偶像都要高,都要大,都要貴,是不是
[00:03:41.700 --> 00:03:52.500]  這個像很明顯就是代表著他們的國家,比其他鄰近的國家都要強盛,都要富有
[00:03:52.500 --> 00:03:57.600]  所以我相信這個金像也帶來當時國民一種很大的優越感
[00:03:57.600 --> 00:04:04.200]  不過,對於相信這個世界只有一個獨一真神的猶太人來說
[00:04:04.200 --> 00:04:14.200]  這個無論多大多宏偉的一個金像,都只不過是武器式,沒有生命的人手所雕造的偶像
[00:04:14.200 --> 00:04:27.200]  而在這個故事裏面,還有三個競拳,年輕的猶太人,雖然他們是當時被巴比倫國俘虜的一個猶太人
[00:04:27.200 --> 00:04:37.700]  但是聖經說告訴我們,這個尼布格利薩王卻是委派這幾個年輕人,來管理當時的事務,國家事務的
[00:04:37.700 --> 00:04:49.700]  大家可以想像一下,如果你是巴比倫王的人,即是巴比倫人民,卻是這三個外邦猶太人的,可能說是年輕人
[00:04:49.700 --> 00:04:56.400]  在他們的管治底下,他們是你的工作單位的公頭的時候,你猜你的心態是怎樣
