
[00:00:00.000 --> 00:00:02.080]  我們一起來祈禱告告
[00:00:02.080 --> 00:00:06.500]  現在祖我們在今天早上來到你面前來
[00:00:06.500 --> 00:00:09.320]  敬拜 祖謝謝你恩帶我們
[00:00:09.320 --> 00:00:12.020]  讓我們自己來敬拜 也有一群
[00:00:12.020 --> 00:00:14.220]  弟兄姊妹跟我們一起來敬拜
[00:00:14.220 --> 00:00:16.820]  祖求你繼續把愛
[00:00:16.820 --> 00:00:20.120]  放在我們當中 讓我們可以彼此相愛
[00:00:20.120 --> 00:00:22.360]  我們也特別求你恩帶我們的心
[00:00:22.360 --> 00:00:25.280]  為你的話語渴慕 求你四人智慧
[00:00:25.280 --> 00:00:28.720]  啟示靈開我們的心 幫助我們來認識你
[00:00:28.720 --> 00:00:31.220]  讓我們了個你 律法中的奧妙
[00:00:31.220 --> 00:00:32.860]  讓我們明白你的旨意
[00:00:32.860 --> 00:00:35.420]  祖我們謝謝你 求你繼續恩帶我們
[00:00:35.420 --> 00:00:37.620]  讓我們成為一個順命的兒女
[00:00:37.620 --> 00:00:40.560]  奉耶穌基督的名禱告 阿們
[00:00:40.560 --> 00:00:44.620]  這一段經文我們看見是保羅
[00:00:44.620 --> 00:00:48.340]  他在跟各人各教會所述說的一段話
[00:00:48.340 --> 00:00:52.500]  而這段話裡面其實他有幾個字是重複的
[00:00:52.500 --> 00:00:54.000]  幫助我們來明白
[00:00:54.000 --> 00:00:57.860]  就是在整個過程當中有一些事情發生
[00:00:57.860 --> 00:01:01.640]  幫助我們可以成為末世的見解
[00:01:01.640 --> 00:01:04.380]  讓我們可以知道我們不應該這樣回應
[00:01:04.380 --> 00:01:06.140]  我們也不可以這樣行
[00:01:06.140 --> 00:01:11.140]  可是後面他就轉結論到一個試探的字眼上面
[00:01:11.140 --> 00:01:13.820]  所以其實試探講的是什麼呢
[00:01:13.820 --> 00:01:17.900]  試探其實在講的是我們生活遭遇當中的一些艱難
[00:01:17.900 --> 00:01:23.180]  這些艱難會讓我們的心跳動
[00:01:23.180 --> 00:01:26.900]  讓我們的情感起伏
[00:01:26.900 --> 00:01:29.180]  這些試探會讓我們覺得沮喪
[00:01:29.180 --> 00:01:31.020]  或讓我們覺得過不去
[00:01:31.020 --> 00:01:33.580]  或者是試探會讓我們發怒生氣
[00:01:33.580 --> 00:01:35.180]  或讓我們覺得不舒服
[00:01:35.180 --> 00:01:39.060]  這些都是在我們末世的時候我們會回應的一件事
[00:01:39.060 --> 00:01:40.980]  其實不一定是很大的事情
[00:01:40.980 --> 00:01:44.140]  但是總是在你生命當中你覺得過不去
[00:01:44.140 --> 00:01:45.340]  這叫做試探
[00:01:45.340 --> 00:01:47.820]  但是神好像告訴我們不應該是如此
[00:01:47.820 --> 00:01:53.580]  因為聖經裡面保羅用了一段歷史來告訴我們這件事
[00:01:53.580 --> 00:01:57.060]  哪一段歷史呢 出埃及的歷史
[00:01:57.060 --> 00:01:59.940]  所以這群百姓他們是被神所拯救
[00:01:59.940 --> 00:02:03.420]  從埃及出來脫離生命當中的罪
[00:02:03.420 --> 00:02:06.020]  脫離法老王的瑕疵
[00:02:06.020 --> 00:02:08.340]  但是他們這群人應該要進到哪裡
[00:02:08.340 --> 00:02:09.660]  進到江南地的
[00:02:09.660 --> 00:02:11.780]  去到江南可以過豐盛的生命
[00:02:11.780 --> 00:02:14.740]  有永安與民之地 有那些應許
[00:02:14.740 --> 00:02:16.740]  但是當你讀這段經文的時候
[00:02:16.740 --> 00:02:19.620]  你發現他好像在描述有一群人
[00:02:19.620 --> 00:02:22.300]  這群人門上有一個恩典脫離了埃及
[00:02:22.300 --> 00:02:25.300]  但這群人卻成為上帝不喜歡的人
[00:02:25.300 --> 00:02:27.580]  他們倒閉在什麼 曠野
[00:02:27.580 --> 00:02:29.580]  其實對我個人而言呢
[00:02:29.580 --> 00:02:30.860]  在講一件什麼事
[00:02:30.860 --> 00:02:33.980]  原來神在我們生命當中有命運有計畫
[00:02:33.980 --> 00:02:36.260]  神幫我們脫離那黑暗的權勢
