
[00:00:00.000 --> 00:00:06.180]  蜀靈的分辨跟彼此相愛,結合在一起。
[00:00:06.180 --> 00:00:20.440]  約翰在《約翰一書》就提到,在主回來的日子以前,信徒要在蜀靈的根基上,要能夠站立得穩。
[00:00:20.440 --> 00:00:35.020]  一方面是因為有假教師,就是傳講錯誤教訓的這些人的活動,另一方面也是外面的逼迫。
[00:00:35.020 --> 00:00:52.620]  自從主徒伙升天,教會建立以後,一直到後來,越來的話,教會越是受到外面的逼迫,而且還有一些假先知的迷惑。
[00:00:52.620 --> 00:01:18.780]  什麼地方有真理的話,什麼地方就有假的教訓出來,什麼地方有神的僕人在工作的話,什麼地方就有假先知、假教師在那邊活動,因為這個是背後假教師的活動是受到撒旦的利用,用來破壞神的真理。
[00:01:18.780 --> 00:01:46.100]  所以在《約翰一書》特別提出來以前,主也提到,在他回來以前有一個症狀,就是人的愛心會漸漸地冷淡了,這個愛就指的是人中間的愛,也指的是信徒對神的愛。
[00:01:46.100 --> 00:02:07.000]  所以這個是約翰要跟我們提到的,所以在約翰的這一卷書裡頭,就是要勸勉信徒在真道上能夠造就自己,所以他從第一章開始就講了很多方面的內容。
[00:02:07.000 --> 00:02:34.380]  他講過要住在主裡面,接下來他也說到要跟神相交,神就是光,你要行在光中,就與神同行,又說要認識基督,知道自己是神的兒女,又說到我們要活在真理跟愛的中間。
[00:02:34.380 --> 00:02:52.940]  而且要叫我們能夠持定神給我們的永生,就是永遠的生命,所以他會從各方面講到信徒會遇到的危險,也告訴我們怎樣能夠來防備這些危險。
[00:02:52.940 --> 00:03:16.900]  所以這一講就是從第一節一直到十一節,我們要來看到屬靈的分辨。所以在第一節裡面就特別提到,親愛的弟兄啊,一切的靈你們不可都信,總要試驗那些靈是注意神的,不是要試驗。
[00:03:16.900 --> 00:03:45.600]  所以靈的話,不可以盲目地接受,一聽見靈,就覺得靈比一切都要高,就把它接受過來,因為這裡面,仇敵往往利用這方面來迷惑神的兒女,教盟所接受的不是出於神的,是人或者撒旦利用人的錯誤所提出來的。
[00:03:45.600 --> 00:03:54.580]  所以要看看這個靈,祂所講的,祂所主張的,是出於神的,還是不是出於神的。
[00:03:54.580 --> 00:04:10.600]  所以這一段經文呢,我們把它分成兩段,一段就是屬靈的分辨,從第一節到第六節,第二段呢,是講到彼此相愛,七節到十一節。
[00:04:10.600 --> 00:04:25.000]  這兩個題目從表面看起來好像是關係不太大一樣的,你先講到屬靈的分辨,為什麼又要講到彼此相愛呢?因為這兩個是結合在一起的。
[00:04:25.000 --> 00:04:47.300]  屬靈的分辨,看哪些靈是出於神的不是,到底它這個靈是出於撒旦的,還是出於神的,那是對外面的仇敵,對外面的錯誤,我們應該有的態度,要分辨,不要稀裡糊塗,一聽到以後,馬上就接受過來。
[00:04:47.300 --> 00:05:10.300]  那麼,另外一方面呢,彼此相愛呢,是對教會內部,所以對教會外部呢,我們要有屬靈的分辨,在教會內部呢,我們就要彼此相愛,不是說應若有屬靈的分辨,就把這個神的兒女弟兄姊妹排擠在外頭。
[00:05:10.300 --> 00:05:39.800]  為什麼要有屬靈的分辨呢?因為這裡說,因為世上有好多假先知出來的,就是說你們的一系列的靈,你們不可都信,有的要信,有的不可以信,不可都信,就不是說每一個說到靈,就覺得都是對的,都要接受。
[00:05:39.800 --> 00:05:59.800]  他說,總要試驗,那些靈是出於神的不適,要區分開,要區分什麼是真理的靈,什麼是錯誤、謬妄的靈,那是要分辨的,不能一聽見靈,那我就全部都接受。
[00:05:59.800 --> 00:06:29.300]  在神的兒女中間,常常會因有這些問題,使得信徒走錯了路,那個信徒信主以後,很好的他的追求,有時候就碰到一些錯誤的教導,結果就追求到另外方向了,偏離了正路,去走錯誤的道路,這樣的話,對他的靈性就很大的虧損。
[00:06:29.300 --> 00:06:31.300]  這個是很危險的。
[00:06:31.300 --> 00:06:47.300]  那這個謬妄的靈呢,就是宣傳錯誤的靈,宣傳的不是真理,而是宣傳一些錯誤的。
[00:06:47.300 --> 00:07:14.300]  所以就是,不要一聽見這個事情很神奇,你就接受了。這個我們幾乎比較天真一點,好像我們懷疑的心不太多的,就覺得這很好,他這個一禱告的話,這個病就好了,他一禱告的話,就能夠一切都很順利,他覺得很好奇。
[00:07:14.300 --> 00:07:18.300]  所以就很容易受到這些的迷惑了。
[00:07:18.300 --> 00:07:47.300]  在教會當中的話,常常會有這些錯誤的靈進到教會裡頭來,來迷惑、來信徒,有些就會提倡說謊言,有些就會提倡醫病,這些呢,容易把人引到虛假的教會裡頭。
[00:07:47.300 --> 00:07:53.300]  叫人放棄追求生命的路,而去追求這些錯誤的路。
[00:07:53.300 --> 00:08:15.300]  所以特別是在末世的話,這個是很多很多,真理只有一個,正確的事情只有一個,可是錯誤的話,真正形形色色,不管是在中國或者是在別的國家,在哪個地方,都有這些事情出現。
[00:08:15.300 --> 00:08:26.300]  就是在北美的話,這些錯誤的靈也是不少的,所以也是需要我們警惕。
[00:08:26.300 --> 00:08:46.300]  為什麼這些錯誤的東西能夠被信徒接受呢?被有些人,看見很熱心的人接受呢?可以說是,接受這樣的教訓的信徒,很多是很熱心的。
[00:08:46.300 --> 00:08:59.300]  因為很冷淡的,他對什麼事情都不管的,不太容易受這些迷惑,但是對一些熱心的信徒呢,很容易受到這些錯誤迷惑的東西的影響。
[00:08:59.300 --> 00:09:14.300]  因為這些錯誤呢,是迎合人表面上的需要,迎合表面的好處而來的。
[00:09:14.300 --> 00:09:43.300]  有些是成功復英,你要怎麼信才能夠在世上成功,你怎麼能夠得到財富,神不是叫我們做一個貧窮的基督徒,神把一切的豐富都賜給我們,那你就要追求怎麼得到地上的豐富,這些都是迎合人的好處。
[00:09:43.300 --> 00:10:12.300]  為什麼有些東西很盛行呢?因為它迎合人對身體的需要,很多人去運動,去做瑜伽,這些呢,因為對他身體有好處,但是呢,他就不知道,有些東西的話,背後有錯誤的靈,有錯誤的靈在背後操縱著。
[00:10:12.300 --> 00:10:19.300]  開始你不覺得,慢慢走進去,走得越久,走得越深,就會受到他的影響。
[00:10:19.300 --> 00:10:35.300]  所以呢,他說不可都信,不管這個聽起來多麼好聽,你總要分辨看是不是出於神的,是不是神要他們這樣說的,是不是他們這樣說是合乎神的真理嗎?
[00:10:35.300 --> 00:10:45.300]  如果是不合乎神的真理,那你就要抵擋,就不要盲目的接受,怎麼樣分辨呢?
