
[00:00:00.000 --> 00:00:01.600]  上星期沒有母親節
[00:00:01.600 --> 00:00:04.600]  我們有母親節的訊息
[00:00:04.600 --> 00:00:06.800]  再上星期聖餐主
[00:00:06.800 --> 00:00:11.000]  跟大家講到「新角度新著眾」
[00:00:11.000 --> 00:00:13.000]  上次講了「常」
[00:00:13.000 --> 00:00:15.400]  主要是關乎
[00:00:15.400 --> 00:00:18.400]  《盧伽福音》第六章的經文
[00:00:18.400 --> 00:00:20.600]  主耶穌親自來到這個世界
[00:00:20.600 --> 00:00:22.000]  成為肉身
[00:00:22.000 --> 00:00:24.200]  祂要帶給這個世界上的
[00:00:24.200 --> 00:00:26.400]  就是一個新的角度
[00:00:26.400 --> 00:00:28.200]  一群新的子民
[00:00:28.200 --> 00:00:30.800]  實現神的旨意在地上
[00:00:30.800 --> 00:00:33.200]  正如我們剛才的主通文一樣
[00:00:33.200 --> 00:00:36.600]  我們求父的國
[00:00:36.600 --> 00:00:38.800]  降臨
[00:00:38.800 --> 00:00:41.600]  求父的旨意
[00:00:41.600 --> 00:00:44.400]  行受在地同在天上
[00:00:44.400 --> 00:00:45.400]  所以我們
[00:00:45.400 --> 00:00:47.400]  將上帝的旨意行在地上
[00:00:47.400 --> 00:00:48.800]  這就是我們的祈禱
[00:00:48.800 --> 00:00:51.800]  是耶穌教導我們的渴慕
[00:00:51.800 --> 00:00:54.400]  神的旨意和祂的角度成就
[00:00:54.400 --> 00:00:55.200]  在地上
[00:00:55.200 --> 00:00:58.200]  讓人能夠有機會進入上帝的國
[00:00:58.200 --> 00:01:00.400]  的一個應許
[00:01:00.400 --> 00:01:03.400]  所以我們看到主耶穌
[00:01:03.400 --> 00:01:04.600]  特別是《盧伽福音》記載
[00:01:04.600 --> 00:01:09.200]  祂經過受洗
[00:01:09.200 --> 00:01:11.800]  確定祂是神的愛子的身份
[00:01:11.800 --> 00:01:15.000]  經過曠野受試探
[00:01:15.000 --> 00:01:16.000]  聖個魔鬼
[00:01:16.000 --> 00:01:19.000]  證明祂是那位德性的救主
[00:01:19.000 --> 00:01:22.800]  祂就宣告祂的使命宣言
[00:01:22.800 --> 00:01:26.600]  來將神的欺憐帶進人間
[00:01:26.600 --> 00:01:28.600]  接著我們看到第六章
[00:01:28.600 --> 00:01:30.800]  記載的事蹟
