
[00:00:00.000 --> 00:00:04.220]  現在我們來默想四場神的話語
[00:00:04.220 --> 00:00:08.180]  請我們打開剛纔我們所念的那一陣聖經
[00:00:08.180 --> 00:00:16.380]  是提摩太後書的第三章的第一到十七節
[00:00:16.380 --> 00:00:19.500]  如果你是用我們的唐用聖經的話
[00:00:19.500 --> 00:00:26.900]  我們唐用聖經是1799面
[00:00:29.060 --> 00:00:39.060]  提摩太後書第三章我們一起打開這一章的聖經
[00:00:39.060 --> 00:00:42.500]  相信我們剛纔唸的時候你心裏面已經有很多的共鳴
[00:00:42.500 --> 00:00:48.220]  尤其是這段聖經頭九節講到保羅說
[00:00:48.220 --> 00:00:55.100]  你們應該知道幕後的日子必有艱難的時刻來到
[00:00:55.100 --> 00:00:59.940]  那個時候是怎樣的呢?就繼續下去的九節的聖經
[00:00:59.940 --> 00:01:04.300]  一直告訴我們數了很多那樣的情況
[00:01:04.300 --> 00:01:09.900]  首先我們都沒時間可以每一個每一個現象
[00:01:09.900 --> 00:01:13.540]  我們都可以慢慢地念慢慢地來研究
[00:01:13.540 --> 00:01:16.020]  不過我相信你跟我一樣
[00:01:16.020 --> 00:01:20.460]  當我們一起念這些一個一個的現象的時候
[00:01:20.460 --> 00:01:24.300]  我們很多的共鳴可能在你的心中
[00:01:24.300 --> 00:01:28.060]  或者在唸的時候你已經想起了某個人
[00:01:28.060 --> 00:01:35.540]  或者想起了我們電視機的那個新聞
[00:01:35.540 --> 00:01:39.060]  我們所看見的畫面都是這樣
[00:01:39.060 --> 00:01:43.700]  對的幕後的日子就是這樣的日子
[00:01:43.700 --> 00:01:49.020]  那麼如果我們做一點綜合的理解的話
[00:01:49.020 --> 00:01:55.100]  你們看着那個所列出來好多好多不同的情況的時候
[00:01:55.100 --> 00:01:59.100]  最主要是在哪裏?問題是在哪裏?
[00:01:59.100 --> 00:02:03.740]  我看我們的祖我們的聖經很清楚的
[00:02:03.740 --> 00:02:06.380]  一開始的時候第一個就講
[00:02:06.380 --> 00:02:10.380]  人會專愛自己
[00:02:10.380 --> 00:02:12.180]  愛自己
[00:02:12.180 --> 00:02:13.740]  專愛自己
[00:02:13.740 --> 00:02:17.420]  人爲了自己愛自己的時候
[00:02:17.420 --> 00:02:20.620]  就開始產生這樣一大串的問題
[00:02:20.620 --> 00:02:22.900]  你看看講下去人愛自己
[00:02:22.900 --> 00:02:25.780]  專愛自己的時候就自高了
[00:02:25.780 --> 00:02:27.900]  高傲了自誇了
[00:02:27.900 --> 00:02:29.540]  而且不能自律了
[00:02:29.540 --> 00:02:32.980]  你看一級下去的時候就不愛良善的時候
[00:02:32.980 --> 00:02:37.300]  開始人家對他有所批評有所不贊成的時候
[00:02:37.300 --> 00:02:38.380]  他就攻擊人了
[00:02:38.380 --> 00:02:43.180]  你看繼續從愛自己就對其他人的一些
[00:02:43.180 --> 00:02:48.420]  叛逆攻擊無情無義貪愛錢財對不對
[00:02:48.420 --> 00:02:51.220]  然後就虛僞了騙詐
[00:02:51.220 --> 00:02:54.580]  這樣的情況就是一級下去
[00:02:54.580 --> 00:02:58.740]  自我是我們一切罪的核心
[00:02:58.740 --> 00:03:03.420]  從我們人類的亞當夏娃第一次犯罪就是這個問題
[00:03:03.420 --> 00:03:08.740]  亞當夏娃的罪就是不想跟隨神用自己的意思
