
[00:00:00.000 --> 00:00:02.720]  當一個宣教士去到一個新的工場
[00:00:02.720 --> 00:00:03.960]  其實都是一個冒險
[00:00:03.960 --> 00:00:06.280]  有時可能是冒著生命的危險
[00:00:06.280 --> 00:00:12.720]  有一本書叫做《種一棵宣教樹》
[00:00:12.720 --> 00:00:14.680]  種一棵宣教樹
[00:00:14.680 --> 00:00:18.000]  講到很多猜拳裏面的宣教士
[00:00:18.000 --> 00:00:19.840]  去到有甚麼預備等等
[00:00:19.840 --> 00:00:21.480]  他提到一樣東西
[00:00:21.480 --> 00:00:24.800]  他說其實有個統計的數字
[00:00:24.800 --> 00:00:28.600]  在二十世紀的殉道者
[00:00:29.320 --> 00:00:33.640]  是遠比之前的十九個世紀加起來的總和
[00:00:33.640 --> 00:00:35.320]  換言之
[00:00:35.320 --> 00:00:38.760]  殉道者在現今的社會裏面
[00:00:38.760 --> 00:00:43.200]  我們不要以為是很昌明等等
[00:00:43.200 --> 00:00:45.080]  其實很多地方都是
[00:00:45.080 --> 00:00:47.520]  逼迫基督徒有些是殉道
[00:00:47.520 --> 00:00:50.000]  所以有些的猜會
[00:00:50.000 --> 00:00:52.400]  如果要猜派一些宣教士去
[00:00:52.400 --> 00:00:55.240]  有些要求他寫定一些遺囑
[00:00:57.200 --> 00:01:03.120]  一方面表示他們很有決心
[00:01:03.120 --> 00:01:05.760]  甚至乎有生命犧牲
[00:01:05.760 --> 00:01:06.960]  他們都願意去
[00:01:06.960 --> 00:01:08.560]  另一方面亦都預備
[00:01:08.560 --> 00:01:10.840]  如果有甚麼不測的時候
[00:01:10.840 --> 00:01:14.920]  家人、警察會、教會都有些交代
[00:01:14.920 --> 00:01:18.800]  在台灣有一位牧者
[00:01:18.800 --> 00:01:20.760]  叫做李秀全牧師
[00:01:20.760 --> 00:01:22.400]  不知道大家有沒有聽過
[00:01:22.400 --> 00:01:25.560]  他領會頗多的時候
[00:01:25.560 --> 00:01:27.800]  他在一九九四年
[00:01:27.800 --> 00:01:32.160]  他決定去泰國宣教做這個工作
[00:01:32.160 --> 00:01:36.480]  他離開了牧會十八年的教會
[00:01:36.480 --> 00:01:40.920]  在他最後一篇講道的時候
[00:01:40.920 --> 00:01:42.880]  就勸勉他們
[00:01:42.880 --> 00:01:46.680]  一齊起立唱一首詩歌
[00:01:46.680 --> 00:01:47.880]  主必快來
[00:01:47.880 --> 00:01:50.480]  講到看到神的角度
[00:01:50.480 --> 00:01:52.160]  他跟會友說
[00:01:52.160 --> 00:01:53.720]  如果我們不在地上見
[00:01:53.720 --> 00:01:55.720]  我們就會在天上見
[00:01:55.720 --> 00:01:57.520]  總是會相見
[00:01:57.520 --> 00:02:00.080]  他做了一件很嚴肅的事
[00:02:00.080 --> 00:02:03.840]  就像剛才那些宣教機構說要寫遺囑
[00:02:03.840 --> 00:02:05.200]  散了會之後
[00:02:05.200 --> 00:02:08.080]  幾位掌執教會的領袖
[00:02:08.080 --> 00:02:12.240]  在辦公室裏面寫下遺囑
[00:02:12.240 --> 00:02:16.240]  雖然將來我們沒有人知道
[00:02:16.240 --> 00:02:20.480]  但起碼李牧師已經準備好
[00:02:20.480 --> 00:02:22.720]  就算甚麼事情發生都準備好
[00:02:22.720 --> 00:02:25.600]  其實宣教工作是一個冒險
[00:02:25.600 --> 00:02:27.240]  其實我們做基督徒
[00:02:27.240 --> 00:02:31.560]  當我們跟別人很有直言
[00:02:31.560 --> 00:02:32.960]  將我們的福音去講
[00:02:32.960 --> 00:02:35.320]  將我們基督徒的身份去跟別人講明
[00:02:35.320 --> 00:02:37.760]  其實都有些挑戰
[00:02:37.760 --> 00:02:40.080]  有些人會不接納我們
[00:02:40.080 --> 00:02:40.840]  拒絕我們
[00:02:40.840 --> 00:02:43.000]  甚至挑戰我們的信仰
[00:02:43.000 --> 00:02:44.720]  我們會不會有些懼怕
[00:02:44.720 --> 00:02:49.520]  將我們基督徒的身份埋藏著呢
[00:02:49.520 --> 00:02:57.600]  今天我們看一段經文是《馬大福音》第十章二十四節到三十三節
[00:02:57.600 --> 00:03:04.360]  這段經文是主耶穌教導我們不要怕
[00:03:04.360 --> 00:03:06.160]  我們儘管去傳
[00:03:06.160 --> 00:03:08.440]  我們看看前文就說到
[00:03:08.440 --> 00:03:11.520]  主耶穌在第十章就說到
[00:03:11.520 --> 00:03:14.560]  是差派門徒去傳福音
[00:03:14.560 --> 00:03:16.520]  然後就跟著告訴他們
[00:03:16.520 --> 00:03:18.560]  必定會遇到苦難
[00:03:18.560 --> 00:03:20.960]  必定會受到迫害
[00:03:20.960 --> 00:03:22.600]  而在這一段經文
[00:03:22.600 --> 00:03:25.000]  就是我們今天一起來看
[00:03:25.000 --> 00:03:27.840]  第十四節到三十三節
[00:03:27.840 --> 00:03:29.760]  就講到耶穌基督鼓勵我們
[00:03:29.760 --> 00:03:31.640]  就算有這個迫害
