
[00:00:00.000 --> 00:00:06.000]  上天保佑我們善一同低頭祈禱
[00:00:06.000 --> 00:00:09.000]  上天保佑我們感謝贊美你自己的恩典
[00:00:09.000 --> 00:00:12.000]  讓我們可以在主一的清晨一同來敬拜你
[00:00:12.000 --> 00:00:16.000]  從你自己的話語當中學習了解明白
[00:00:16.000 --> 00:00:20.000]  你自己的旨意和你對世界的旨意
[00:00:20.000 --> 00:00:24.000]  今日的經文會讓我們明白苦難的源頭
[00:00:24.000 --> 00:00:27.000]  主下我們求你幫助我們
[00:00:27.000 --> 00:00:30.000]  即使我們面對苦難的時候
[00:00:30.000 --> 00:00:33.000]  都會至死忠心跟隨主耶穌基督
[00:00:33.000 --> 00:00:36.000]  奉主耶穌基督的名祈禱
[00:00:36.000 --> 00:00:41.000]  三個星期前我放假了
[00:00:41.000 --> 00:00:46.000]  請了鍾牧師來開始講啟示錄
[00:00:46.000 --> 00:00:51.000]  他提到這本書是很難明白的
[00:00:51.000 --> 00:00:54.000]  即使他去神學院上過課
[00:00:54.000 --> 00:00:58.000]  又聽過讀過其他牧師的講解
[00:00:58.000 --> 00:01:01.000]  他都仍然覺得混亂
[00:01:01.000 --> 00:01:05.000]  所以他就決定忘記其他人講的東西
[00:01:05.000 --> 00:01:08.000]  自己來讀啟示錄
[00:01:08.000 --> 00:01:12.000]  讀了幾次之後他就得到一個結論
[00:01:12.000 --> 00:01:17.000]  就是這本書是教導信徒要警醒
[00:01:17.000 --> 00:01:20.000]  因為主是一定會再來的
[00:01:20.000 --> 00:01:24.000]  這是一個簡單的結論
[00:01:24.000 --> 00:01:30.000]  如果有人想記得這本書一個簡單的訊息的話
[00:01:30.000 --> 00:01:36.000]  警醒也是一個很好的主題
[00:01:36.000 --> 00:01:38.000]  你記得就好了
[00:01:38.000 --> 00:01:45.000]  我也想再介紹一下這本書的背景和特點
[00:01:45.000 --> 00:01:52.000]  希望幫助一些喜愛自己研讀聖經的弟兄姊妹
[00:01:52.000 --> 00:01:58.000]  不會容易信錯一些所謂學者專家的意見
[00:01:58.000 --> 00:02:00.000]  包括我自己
[00:02:00.000 --> 00:02:03.000]  大家不需要完全相信我的解釋
[00:02:03.000 --> 00:02:05.000]  對聖經的解釋
