
[00:00:00.000 --> 00:00:03.680]  我們今天要一起來看十篇四十六篇
[00:00:03.680 --> 00:00:12.280]  好 這段聖經裡面講到一個什麼情況呢
[00:00:12.280 --> 00:00:15.000]  在第二節第三節他這裡提到說
[00:00:15.000 --> 00:00:19.140]  他說 地雖改變 山雖搖動到海心
[00:00:19.140 --> 00:00:20.980]  水雖怎麼樣
[00:00:20.980 --> 00:00:24.520]  噴噴翻騰
[00:00:24.520 --> 00:00:27.440]  山雖因海戰而顫抖
[00:00:27.680 --> 00:00:30.100]  哇 你可以想像這一個圖畫
[00:00:30.100 --> 00:00:32.320]  好像是地震來了 有沒有
[00:00:32.320 --> 00:00:34.920]  八級的地震來了 L.A.了
[00:00:34.920 --> 00:00:37.580]  你們沒感覺
[00:00:37.580 --> 00:00:40.080]  海嘯來了
[00:00:40.080 --> 00:00:44.560]  我們靠海喔
[00:00:44.560 --> 00:00:46.560]  會不會有海嘯
[00:00:46.560 --> 00:00:50.360]  我還記得那個日本大地震的時候帶的那個海嘯
[00:00:50.360 --> 00:00:52.680]  有人把那個視頻播出來
[00:00:52.680 --> 00:00:55.800]  在遠遠 很遠的地方喔
[00:00:55.800 --> 00:00:58.960]  其實那個很遠的地方就看到那個海嘯
[00:00:58.960 --> 00:01:00.600]  然後那海嘯一來的時候
[00:01:00.600 --> 00:01:03.560]  他照照照照照照照 咦 沒有多久
[00:01:03.560 --> 00:01:05.560]  啪 他就沒了
[00:01:05.560 --> 00:01:08.480]  我想他帶個照的時候也沒有辦法想像
[00:01:08.480 --> 00:01:10.760]  這個海嘯會這麼樣子的快速
[00:01:10.760 --> 00:01:13.240]  一生當中從來沒有經歷過這種事情
[00:01:13.240 --> 00:01:15.080]  你有經歷過海嘯嗎
[00:01:15.080 --> 00:01:18.480]  沒有 如果有經歷過大概也不在這了
[00:01:18.480 --> 00:01:21.800]  丟這杯人生當中
[00:01:21.800 --> 00:01:25.120]  其實就像這個地震一樣 就像海嘯一樣
[00:01:25.120 --> 00:01:28.480]  真的是 好像我們的生命裡面
[00:01:28.480 --> 00:01:31.640]  有許多這樣子的一些問題
[00:01:31.640 --> 00:01:36.360]  這裡好像形容是一個大自然的災害 是不是
