
[00:00:00.000 --> 00:00:04.400]  跟風不一定是一件不好的事
[00:00:04.400 --> 00:00:07.600]  視乎我們跟甚麼風
[00:00:07.600 --> 00:00:09.600]  凌風一吹
[00:00:09.600 --> 00:00:11.600]  願我們頂姊妹
[00:00:11.600 --> 00:00:14.800]  知道要去跟從我們的上帝
[00:00:14.800 --> 00:00:18.200]  歪風一起
[00:00:18.200 --> 00:00:19.800]  願我們知道
[00:00:19.800 --> 00:00:22.200]  這是出於撒旦魔鬼
[00:00:22.200 --> 00:00:24.800]  我們盡快的遠離
[00:00:24.800 --> 00:00:28.800]  最近很流行一個名詞
[00:00:28.800 --> 00:00:31.200]  叫洗腦
[00:00:31.200 --> 00:00:35.600]  不是電腦那種洗腦
[00:00:35.600 --> 00:00:39.000]  而是指到人通過不同的手段
[00:00:39.000 --> 00:00:43.600]  向其他人灌輸一些思想
[00:00:43.600 --> 00:00:46.000]  他希望透過這些思想
[00:00:46.000 --> 00:00:52.000]  來作為一種操控別人的手段
[00:00:52.000 --> 00:00:54.600]  通常這些洗腦
[00:00:54.600 --> 00:01:01.600]  用在政治、宗教、商業當中
[00:01:01.600 --> 00:01:05.400]  這種洗腦很強調那種強制性
[00:01:05.400 --> 00:01:07.000]  你一定要聽
[00:01:07.000 --> 00:01:11.800]  而且一次又一次的來灌輸
[00:01:11.800 --> 00:01:14.200]  甚至帶有批判性
[00:01:14.200 --> 00:01:15.400]  他告訴你
[00:01:15.400 --> 00:01:17.400]  我所講的東西
[00:01:17.400 --> 00:01:19.800]  是絕對的真理
[00:01:19.800 --> 00:01:21.000]  是正確的
[00:01:21.000 --> 00:01:22.600]  或者反過來
[00:01:22.600 --> 00:01:25.200]  我現在所講的東西是不對的
[00:01:25.200 --> 00:01:27.800]  你不可以跟從
[00:01:27.800 --> 00:01:30.400]  所以洗腦有時給我們的感覺
[00:01:30.400 --> 00:01:33.600]  是很負面
[00:01:33.600 --> 00:01:35.800]  一個很實在的例子
[00:01:35.800 --> 00:01:37.600]  1941年12月
[00:01:37.600 --> 00:01:38.800]  大家都知道
[00:01:38.800 --> 00:01:43.000]  日本偷襲珍珠港
[00:01:43.000 --> 00:01:44.400]  日本的年青機師
[00:01:44.400 --> 00:01:49.200]  將飛機炸落美軍戰艦裡面
[00:01:49.200 --> 00:01:52.000]  死了二千多個美軍
[00:01:52.000 --> 00:01:54.400]  傷了一千多個美軍
[00:01:54.400 --> 00:01:57.600]  而日本的戰機隊員
[00:01:57.600 --> 00:01:59.600]  死了很多
[00:01:59.600 --> 00:02:01.600]  差不多全部死了
[00:02:01.600 --> 00:02:03.800]  因為他們出發之前
[00:02:03.800 --> 00:02:06.600]  接受了一個很重要的洗腦
[00:02:06.600 --> 00:02:11.200]  就是你們不可以平安回來
[00:02:11.200 --> 00:02:14.000]  你一去就不回頭
[00:02:14.000 --> 00:02:17.600]  你必須要為國捐軀
[00:02:17.600 --> 00:02:19.800]  那你才是一個真正的戰士
[00:02:19.800 --> 00:02:22.000]  才是一個勇敢的戰士
[00:02:22.000 --> 00:02:24.200]  所以無論你想不想
[00:02:24.200 --> 00:02:26.800]  那班死士一去珍珠港
[00:02:26.800 --> 00:02:30.200]  就沒辦法回日本
[00:02:30.200 --> 00:02:34.400]  日本為了歌頌這班死士
[00:02:34.400 --> 00:02:37.200]  在2007年推出了一套電影
[00:02:37.200 --> 00:02:40.400]  叫做《我為你犧牲生命》
[00:02:40.400 --> 00:02:42.600]  就是要向日本國民
[00:02:42.600 --> 00:02:44.600]  去洗腦宣揚
[00:02:44.600 --> 00:02:47.200]  這班死士這樣做
[00:02:47.200 --> 00:02:50.800]  是愛國是一件值得讚揚的事
[00:02:50.800 --> 00:02:53.000]  不要評論對與錯
[00:02:53.000 --> 00:02:56.400]  總之這班死士是應該值得供奉的
[00:02:56.400 --> 00:03:00.400]  值得去歌頌的
[00:03:00.400 --> 00:03:05.600]  其實我們自小已經被洗腦了
[00:03:05.600 --> 00:03:08.800]  我們很出色的爸爸媽媽自小告訴你
[00:03:08.800 --> 00:03:10.200]  你不勤力讀書就沒出路了
[00:03:10.200 --> 00:03:12.200]  做乞丐的了
[00:03:12.200 --> 00:03:15.800]  你不聽我的話你就沒前途了
[00:03:15.800 --> 00:03:17.800]  到長大的時候
[00:03:17.800 --> 00:03:22.200]  我們的朋輩所說的每句話
[00:03:22.200 --> 00:03:25.600]  我們眼前的愛人所說的每句話
[00:03:25.600 --> 00:03:27.600]  都像真理一樣
[00:03:27.600 --> 00:03:28.800]  他說月亮是方的
[00:03:28.800 --> 00:03:30.600]  我都信以為真
[00:03:30.600 --> 00:03:35.000]  我真的信他會將月亮拿給我作為禮物
[00:03:35.000 --> 00:03:39.600]  我甚至很渴望我們的偶像所唱的歌
[00:03:39.600 --> 00:03:41.800]  成為人生的方向
[00:03:41.800 --> 00:03:43.400]  甚至有一個歌星死的時候
[00:03:43.400 --> 00:03:44.600]  他的歌迷竟然說
[00:03:44.600 --> 00:03:50.000]  他死了我人生還有什麼意義呢
[00:03:50.000 --> 00:03:53.600]  洗腦好像無可避免
[00:03:53.600 --> 00:03:54.800]  我都覺得
[00:03:54.800 --> 00:03:57.600]  撇開負面的觀念
[00:03:57.600 --> 00:03:59.400]  洗腦是無可避免
[00:03:59.400 --> 00:04:04.400]  甚至可以說有時候是需要的
[00:04:04.400 --> 00:04:05.200]  問題
[00:04:05.200 --> 00:04:08.800]  我給什麼去洗我的腦
[00:04:08.800 --> 00:04:11.000]  給什麼進入我生命裡面
[00:04:11.000 --> 00:04:14.800]  成為我人生的指標
[00:04:14.800 --> 00:04:19.000]  還有洗腦一定要快
[00:04:19.000 --> 00:04:20.400]  好像釣魚台一樣
[00:04:20.400 --> 00:04:22.200]  我有兵在那裡
[00:04:22.200 --> 00:04:23.400]  我不管是誰
[00:04:23.400 --> 00:04:26.400]  這個就是我的地方
[00:04:26.400 --> 00:04:29.000]  以色列人有一句很重要的宣告
[00:04:29.000 --> 00:04:31.200]  我們叫Shema
[00:04:31.200 --> 00:04:33.200]  Shema這個字一開始的時候就說
[00:04:33.200 --> 00:04:34.600]  聽啊
[00:04:34.600 --> 00:04:36.800]  《生命紀律》第六章四字九字說
[00:04:36.800 --> 00:04:39.000]  以色列人你們要聽
[00:04:39.000 --> 00:04:42.200]  又說上帝是獨一的主
[00:04:42.200 --> 00:04:44.400]  你要盡心盡性盡力
[00:04:44.400 --> 00:04:46.400]  愛耶和你的神
[00:04:46.400 --> 00:04:48.600]  還有很多很多
[00:04:48.600 --> 00:04:52.000]  每個以色列人每天早上每天晚上都會讀
[00:04:52.000 --> 00:04:53.400]  聽著
[00:04:53.400 --> 00:04:55.800]  又說上帝是我們獨一的真神
[00:04:55.800 --> 00:04:58.400]  我們每一個子民都要盡心盡性盡力
[00:04:58.400 --> 00:04:59.400]  愛我們的神
[00:04:59.400 --> 00:05:03.200]  像不像洗腦
[00:05:03.200 --> 00:05:04.600]  有些像
[00:05:04.600 --> 00:05:06.800]  不過絕對正確
[00:05:06.800 --> 00:05:08.200]  因為這裡所說的話
[00:05:08.200 --> 00:05:12.200]  我們的上帝的確是獨一的真神
