
[00:00:00.000 --> 00:00:02.000]  (主席)各位弟兄姊妹平安
[00:00:02.000 --> 00:00:06.000]  感謝主的恩典
[00:00:06.000 --> 00:00:08.000]  讓我在今天的早上
[00:00:08.000 --> 00:00:11.000]  和大家一起來分享主的話語
[00:00:11.000 --> 00:00:14.000]  讓我們再次同心祈禱
[00:00:14.000 --> 00:00:21.000]  願僕人口中的言語
[00:00:21.000 --> 00:00:24.000]  弟兄姊妹的心思意念
[00:00:24.000 --> 00:00:27.000]  蒙聖靈的啟迪
[00:00:27.000 --> 00:00:29.000]  蒙主的月立
[00:00:29.000 --> 00:00:32.000]  禱告直主耶穌基督聖名而求
[00:00:32.000 --> 00:00:34.000]  阿們
[00:00:59.000 --> 00:01:01.000]  有新的洞見
[00:01:01.000 --> 00:01:03.000]  總括來說
[00:01:03.000 --> 00:01:05.000]  這些都是做學問
[00:01:05.000 --> 00:01:07.000]  不能夠缺少的元素
[00:01:07.000 --> 00:01:10.000]  懂得提問
[00:01:10.000 --> 00:01:12.000]  懂得提問
[00:01:12.000 --> 00:01:15.000]  是增進知識的關鍵
[00:01:15.000 --> 00:01:19.000]  故此最有意思的教育方式
[00:01:19.000 --> 00:01:21.000]  就不是令到學生
[00:01:21.000 --> 00:01:23.000]  懂得去答題目
[00:01:23.000 --> 00:01:25.000]  而是曉得發問
[00:01:25.000 --> 00:01:27.000]  我們是學問
[00:01:27.000 --> 00:01:29.000]  而不是學答
[00:01:29.000 --> 00:01:33.000]  胡適先生有一句座右銘
[00:01:33.000 --> 00:01:35.000]  很多人喜歡引用
[00:01:35.000 --> 00:01:37.000]  他說做學問
[00:01:37.000 --> 00:01:40.000]  是要在不宜之處有宜
[00:01:40.000 --> 00:01:44.000]  待人要在有宜之處不宜
[00:01:44.000 --> 00:01:46.000]  這是宜或的宜
[00:01:46.000 --> 00:01:50.000]  這樣的思想不單止
[00:01:50.000 --> 00:01:52.000]  對一般的教育有幫助
[00:01:52.000 --> 00:01:54.000]  對於信仰的培育
[00:01:54.000 --> 00:01:57.000]  都是有很大的幫助
[00:01:57.000 --> 00:01:59.000]  雖然今天的中小學
[00:01:59.000 --> 00:02:01.000]  已經脫離了
[00:02:01.000 --> 00:02:03.000]  用背誦的方式
[00:02:03.000 --> 00:02:05.000]  去做教學的方法
[00:02:05.000 --> 00:02:07.000]  但是為了幫助學生
[00:02:07.000 --> 00:02:09.000]  去應付考試
[00:02:09.000 --> 00:02:11.000]  熟讀標準的答案
[00:02:11.000 --> 00:02:13.000]  和懂得答題的技巧
[00:02:13.000 --> 00:02:15.000]  取得分數
[00:02:15.000 --> 00:02:18.000]  仍然是主導了學生的學習
[00:02:18.000 --> 00:02:21.000]  同樣不少華人的教會
[00:02:21.000 --> 00:02:24.000]  都是很熱衷去鼓勵信徒
[00:02:24.000 --> 00:02:26.000]  背誦金句
[00:02:26.000 --> 00:02:27.000]  在座當中
[00:02:27.000 --> 00:02:29.000]  我相信有不少弟兄姊妹
[00:02:29.000 --> 00:02:31.000]  如果你從小就上教會
[00:02:31.000 --> 00:02:33.000]  有很多的金句
[00:02:33.000 --> 00:02:35.000]  你都是從小背到大的
[00:02:35.000 --> 00:02:38.000]  彷彿背誦金句有多少
[00:02:38.000 --> 00:02:42.000]  就代表著我們的靈命有多高
[00:02:42.000 --> 00:02:45.000]  我們很羨慕有些人
[00:02:45.000 --> 00:02:48.000]  出口就可以贈你幾句金句
[00:02:48.000 --> 00:02:52.000]  自己就覺得好像不是很多
[00:02:52.000 --> 00:02:54.000]  放在腦裡
[00:02:54.000 --> 00:02:56.000]  殊不知有些時候
[00:02:56.000 --> 00:02:59.000]  我們金句可以背得朗朗上口
[00:02:59.000 --> 00:03:03.000]  但卻不一定明白當中的意思
[00:03:03.000 --> 00:03:06.000]  更加可惜的是
[00:03:06.000 --> 00:03:09.000]  因為只記憶了一兩節的金句
[00:03:09.000 --> 00:03:13.000]  而忽略了整段經文的上文下理
[00:03:13.000 --> 00:03:15.000]  結果我們懂得背
[00:03:15.000 --> 00:03:20.000]  但有時候是曲解了當中的意思
[00:03:20.000 --> 00:03:22.000]  其實初期教會
[00:03:22.000 --> 00:03:24.000]  一早已經做了一個示範
[00:03:24.000 --> 00:03:27.000]  怎樣去領人歸主
[00:03:27.000 --> 00:03:29.000]  怎樣去建立門徒
[00:03:29.000 --> 00:03:34.000]  其實一切都可以用提問作為開始
[00:03:34.000 --> 00:03:38.000]  當然有問亦需要有答
[00:03:38.000 --> 00:03:42.000]  在答問之間就會引發更多的思考
[00:03:42.000 --> 00:03:44.000]  甚至有新的發現
[00:03:44.000 --> 00:03:49.000]  而不是只得到一個標準既定的答案
[00:03:49.000 --> 00:03:52.000]  在今天的經課當中
[00:03:52.000 --> 00:03:53.000]  特別是新約的經文
[00:03:53.000 --> 00:03:59.000]  史羅行傳第八章二十六至第四十節
[00:03:59.000 --> 00:04:02.000]  正好給我們一個特別的例子
[00:04:02.000 --> 00:04:05.000]  來說明我剛才所說的
[00:04:05.000 --> 00:04:09.000]  領人歸主去建立門徒
[00:04:09.000 --> 00:04:12.000]  是可以透過提問
[00:04:12.000 --> 00:04:15.000]  而不是去提供答案
[00:04:15.000 --> 00:04:18.000]  讓我們先從這段記載當中
[00:04:18.000 --> 00:04:20.000]  兩位的主角
[00:04:20.000 --> 00:04:24.000]  就是肥利和伊索匹亞
[00:04:24.000 --> 00:04:27.000]  在現在的和合本修訂版裡
[00:04:27.000 --> 00:04:31.000]  是譯作埃塞俄比亞
[00:04:31.000 --> 00:04:33.000]  在那個地方的一位太監
[00:04:33.000 --> 00:04:38.000]  我們就由這兩個主角開始說起
[00:04:38.000 --> 00:04:41.000]  第一個主角肥利
[00:04:41.000 --> 00:04:46.000]  可以稱他為傳道者肥利執事
[00:04:46.000 --> 00:04:50.000]  經文是承接著在前面的講述
[00:04:50.000 --> 00:04:53.000]  肥利在薩瑪利亞的地方
[00:04:53.000 --> 00:04:56.000]  展開了傳道的工作
[00:04:56.000 --> 00:04:59.000]  在史羅行傳的第八章第五節
[00:04:59.000 --> 00:05:02.000]  即是我們今天這段經文的前一些部分
[00:05:02.000 --> 00:05:06.000]  去提出他在薩瑪利亞這些地方
[00:05:06.000 --> 00:05:09.000]  來做傳道的功夫
[00:05:09.000 --> 00:05:12.000]  故此去到第二十六節
[00:05:12.000 --> 00:05:16.000]  就繼續記載肥利遇上什麼樣的人
[00:05:16.000 --> 00:05:19.000]  和做了什麼事
[00:05:19.000 --> 00:05:24.000]  剛才我說我們可以稱肥利為傳道者肥利執事
[00:05:24.000 --> 00:05:26.000]  為什麼呢?
[00:05:26.000 --> 00:05:31.000]  按照著史羅行傳的第六章一至七節
[00:05:31.000 --> 00:05:33.000]  記載到當時的教會
