
[00:00:00.000 --> 00:00:04.000]  今天和大家繼續來到思想菲律賓書
[00:00:04.000 --> 00:00:08.000]  這本寶貴的聖經第二章
[00:00:08.000 --> 00:00:12.000]  第二章我們上次和大家看到
[00:00:12.000 --> 00:00:18.000]  就是第一節至到第五節的地方是說到
[00:00:18.000 --> 00:00:22.000]  我們在這個世界上過生活
[00:00:22.000 --> 00:00:25.000]  要跟隨主耶穌基督的時候
[00:00:25.000 --> 00:00:29.000]  我們必須懂得如何效法主耶穌基督
[00:00:29.000 --> 00:00:33.000]  所以效法主耶穌基督是我們作門徒、作信徒
[00:00:33.000 --> 00:00:36.000]  我們每個人都必須有的
[00:00:36.000 --> 00:00:41.000]  如果我們不懂得如何效法主耶穌基督的時候
[00:00:41.000 --> 00:00:46.000]  我們真的不配稱為信徒、稱為耶穌基督的門徒
[00:00:46.000 --> 00:00:52.000]  所以我們今天繼續和大家來看第五節至到第十三節
[00:00:52.000 --> 00:00:56.000]  請聽我讀這段經文
[00:00:56.000 --> 00:01:00.000]  「你們當以基督耶穌的心為心
[00:01:00.000 --> 00:01:02.000]  祂本有神的形象
[00:01:02.000 --> 00:01:05.000]  不以自己與神同等為強奪的
[00:01:05.000 --> 00:01:10.000]  反倒虛己取了奴目的形象成為人的樣式
[00:01:10.000 --> 00:01:13.000]  既有人的樣子就自己卑微
[00:01:13.000 --> 00:01:16.000]  存心信服以至於死
[00:01:16.000 --> 00:01:19.000]  且死在十字架上
[00:01:19.000 --> 00:01:22.000]  所以神將祂升為至高
[00:01:22.000 --> 00:01:26.000]  又賜給祂超乎萬名之上的名
[00:01:26.000 --> 00:01:30.000]  叫一切在天上的、地上的和地底下的
[00:01:30.000 --> 00:01:34.000]  因耶穌的名無不屈實
[00:01:34.000 --> 00:01:39.000]  無不口稱耶穌基督為主使榮耀歸於父神
[00:01:39.000 --> 00:01:42.000]  這樣看來我們親愛的弟兄
[00:01:42.000 --> 00:01:45.000]  你們既是常信服的
[00:01:45.000 --> 00:01:48.000]  不但我在你們那裡
[00:01:48.000 --> 00:01:51.000]  就是我如今不在你們那裡
[00:01:51.000 --> 00:01:53.000]  更是信服的
[00:01:53.000 --> 00:01:55.000]  就當恐懼戰驚
[00:01:55.000 --> 00:01:59.000]  作成你們得救的功夫
[00:01:59.000 --> 00:02:02.000]  因為你們立志行事
[00:02:02.000 --> 00:02:05.000]  都是神在你們心裡運行
[00:02:05.000 --> 00:02:09.000]  為要成就祂的美意」
[00:02:09.000 --> 00:02:12.000]  這段寶貴的經文是講到我們
[00:02:12.000 --> 00:02:15.000]  耶穌基督來到世界上
[00:02:15.000 --> 00:02:19.000]  給我們一個謙卑的榜樣
[00:02:19.000 --> 00:02:23.000]  我們怎樣學習做一個謙卑的人
[00:02:23.000 --> 00:02:28.000]  我們說這段經文有四方面
[00:02:28.000 --> 00:02:30.000]  本來要我們學習的
[00:02:30.000 --> 00:02:33.000]  第一就是放下權益
[00:02:33.000 --> 00:02:38.000]  耶穌基督是天上的神
[00:02:38.000 --> 00:02:41.000]  祂是創造萬物的主宰
[00:02:41.000 --> 00:02:43.000]  但祂來到世界的時候
[00:02:43.000 --> 00:02:47.000]  祂是放下祂的權益
[00:02:47.000 --> 00:02:49.000]  來到世界的時候
[00:02:49.000 --> 00:02:54.000]  很多人認不出祂是神
[00:02:54.000 --> 00:02:56.000]  祂放下祂的權益
[00:02:56.000 --> 00:02:57.000]  不單止是這樣
[00:02:57.000 --> 00:03:03.000]  第二我們看到祂是徹底的付出
