
[00:00:00.000 --> 00:00:03.360]  他們的服裝是本地性的服裝
[00:00:03.360 --> 00:00:05.360]  我也是,我代表美國而已
[00:00:05.360 --> 00:00:07.720]  這裏沒有美國旗,不知爲何
[00:00:07.720 --> 00:00:09.720]  其實最需要福音的就是美國
[00:00:09.720 --> 00:00:16.600]  美國是"張彭羅伊,曼曼爾去索多瑪,摩摩拉"
[00:00:16.600 --> 00:00:21.000]  我每個星期爲美國祈禱
[00:00:21.000 --> 00:00:24.840]  我昨天晚上跟大家說
[00:00:24.840 --> 00:00:26.840]  旅行的後裔
[00:00:26.840 --> 00:00:29.560]  耶穌是誰的第八集,旅行的後裔
[00:00:29.560 --> 00:00:34.680]  但是說完旅行的後裔,就要說蛇後裔的出現
[00:00:34.680 --> 00:00:38.040]  神何時設立救恩
[00:00:38.040 --> 00:00:40.600]  我上一次,六個月前來教會說
[00:00:40.600 --> 00:00:45.000]  基督的奧祕神在創造宇宙萬物之先
[00:00:45.000 --> 00:00:47.000]  就定下了救恩
[00:00:47.000 --> 00:00:49.000]  祂讓一個無罪的人
[00:00:49.000 --> 00:00:53.080]  代替有罪的人們罪的懲罰
[00:00:53.080 --> 00:00:54.080]  就是死亡
[00:00:54.080 --> 00:00:57.280]  這個位置就叫基督
[00:00:57.280 --> 00:01:03.160]  這個宣佈,神不會在人犯罪之後就說不算不算
[00:01:03.160 --> 00:01:04.560]  沒有的
[00:01:04.560 --> 00:01:07.040]  因爲魔鬼就會挑戰
[00:01:07.040 --> 00:01:09.040]  你爲人設立救恩,我們呢
[00:01:09.040 --> 00:01:11.920]  我和三分一,墮落的天使
[00:01:11.920 --> 00:01:13.440]  我們沒有救恩
[00:01:13.440 --> 00:01:14.960]  會影響神的公義
[00:01:14.960 --> 00:01:17.360]  神很早就定了,因爲神的全知
[00:01:17.360 --> 00:01:20.480]  祂知道人呢,如果是做一個機械人
[00:01:20.480 --> 00:01:23.720]  沒意思的,每個人都同意,每個人都是這樣
[00:01:23.720 --> 00:01:26.600]  如果這樣,每個人都同意,何必開會呢
[00:01:26.600 --> 00:01:28.600]  就是不同意見的人
[00:01:28.600 --> 00:01:34.320]  將這些意見集合,然後做出最好的決策
[00:01:34.320 --> 00:01:36.920]  神在伊甸園裏面
[00:01:36.920 --> 00:01:40.560]  亞當夏娃犯罪之後,神向他們做了懲罰
[00:01:40.560 --> 00:01:42.400]  又向蛇做懲罰
[00:01:42.400 --> 00:01:46.640]  然後神在亞當夏娃未出伊甸園之先
[00:01:46.640 --> 00:01:48.640]  還留在伊甸園裏面
[00:01:48.640 --> 00:01:52.560]  神就在創世紀第三章第十五節宣佈救恩
[00:01:52.560 --> 00:01:56.000]  蛇的後裔和女人的後裔要彼此爲仇
[00:01:56.000 --> 00:01:58.000]  蛇的後裔要傷女人後裔的腳筋
[00:01:58.000 --> 00:02:00.480]  而女人後裔要傷蛇後裔的頭
[00:02:00.480 --> 00:02:02.480]  亞當夏娃是沒有反應
[00:02:02.480 --> 00:02:04.960]  因爲他們擔心神的懲罰
[00:02:04.960 --> 00:02:06.960]  他們被趕出伊甸園之後
[00:02:06.960 --> 00:02:08.960]  要怎麼樣呢
[00:02:08.960 --> 00:02:12.760]  亞當也是,從來不用流汗
[00:02:12.760 --> 00:02:14.760]  睜大眼睛就有東西喫了
[00:02:14.760 --> 00:02:17.440]  隨地都有東西喫的,不會中毒的
[00:02:17.440 --> 00:02:20.080]  樹上的果子都可以喫
[00:02:20.080 --> 00:02:22.080]  他們對神宣佈救恩沒有反應
[00:02:22.080 --> 00:02:24.800]  但是撒旦呢,就想辦法了
[00:02:24.800 --> 00:02:28.360]  昨天晚上講女人的後裔
[00:02:28.360 --> 00:02:33.600]  神在創世紀第四章講蛇後裔祖先的開支散業
[00:02:33.600 --> 00:02:39.320]  在第五章講女人後裔的祖先開支散業
[00:02:39.320 --> 00:02:44.320]  而那個不是阿伯,因爲阿伯已經被那個人殺了
[00:02:44.320 --> 00:02:46.320]  那個是亞當一百三十歲
[00:02:46.320 --> 00:02:49.360]  生了另一個兒子叫塞德
