
[00:00:00.000 --> 00:00:03.960]  復活節正如我們師班指揮所說
[00:00:03.960 --> 00:00:05.520]  復活節快到了
[00:00:05.520 --> 00:00:07.840]  3月27日已經說了好幾次
[00:00:07.840 --> 00:00:09.840]  所以從今天開始
[00:00:09.840 --> 00:00:12.360]  我們會一年有幾個星期
[00:00:12.360 --> 00:00:14.680]  說復活節的信息
[00:00:14.680 --> 00:00:16.160]  當我們看聖經的時候
[00:00:16.160 --> 00:00:19.280]  我們發覺耶穌是很刻意地
[00:00:19.280 --> 00:00:21.640]  知道要去耶路撒冷做什麼的
[00:00:21.640 --> 00:00:23.160]  就是要上十字架
[00:00:23.160 --> 00:00:24.800]  為我們的罪的遠古力
[00:00:24.800 --> 00:00:27.240]  被釘死在十字架的上面
[00:00:27.240 --> 00:00:34.640]  但就算在耶穌上去面對死亡陰影的旅途當中
[00:00:34.640 --> 00:00:37.040]  我們發覺其實耶穌基督沿途
[00:00:37.040 --> 00:00:39.880]  繼續不停地為神做功
[00:00:39.880 --> 00:00:42.040]  沒有因為很慘要受死
[00:00:42.040 --> 00:00:43.080]  這個杯子太苦了
[00:00:43.080 --> 00:00:45.960]  拿走就拿走
[00:00:45.960 --> 00:00:48.880]  在他往耶路撒冷的路上
[00:00:48.880 --> 00:00:50.720]  他遇到很多不同的人
[00:00:50.720 --> 00:00:53.720]  這些人當他們和耶穌的機會見面之後
[00:00:53.720 --> 00:00:55.840]  我們發覺他們的生命
[00:00:55.840 --> 00:00:58.600]  都起了一個不再一樣
[00:00:58.600 --> 00:01:00.600]  完全的改變
[00:01:00.600 --> 00:01:01.960]  所以從今天開始
[00:01:01.960 --> 00:01:03.920]  我們會看有幾類不同的人物
[00:01:03.920 --> 00:01:08.600]  在耶穌上耶路撒冷受苦受死的路上
[00:01:08.600 --> 00:01:11.000]  和耶穌相遇的人
[00:01:11.000 --> 00:01:13.720]  今天我們首先第一個要看的
[00:01:13.720 --> 00:01:16.640]  就是一個盲人
[00:01:16.640 --> 00:01:20.840]  或者我們首先看看耶穌傳裡面的一個片段
[00:01:20.840 --> 00:01:22.120]  不用我讀聖經了
[00:01:22.120 --> 00:01:23.240]  大家看就明白
[00:01:23.240 --> 00:01:26.760]  到底這個盲人所經歷的
[00:01:26.760 --> 00:01:28.640]  到底是什麼一回事
[00:01:28.640 --> 00:01:32.440]  我們先看一個耶穌傳裡面的片段
[00:01:53.240 --> 00:02:01.920]  阿彌陀佛
[00:02:01.920 --> 00:02:02.640]  What's happening?
[00:02:02.640 --> 00:02:03.440]  What's going on?
[00:02:03.440 --> 00:02:04.880]  He says of Nazareth
[00:02:04.880 --> 00:02:05.800]  He's passing by
[00:02:05.800 --> 00:02:06.560]  What?
[00:02:06.560 --> 00:02:13.200]  Jesus
[00:02:13.200 --> 00:02:17.640]  Jesus
[00:02:17.640 --> 00:02:22.000]  Son of David
[00:02:22.000 --> 00:02:31.640]  Have mercy on me
[00:02:31.640 --> 00:02:33.240]  What do you want me to do for you?
[00:02:33.240 --> 00:02:41.680]  I want to see again
[00:02:41.680 --> 00:02:44.000]  Then see
[00:02:44.000 --> 00:02:46.760]  Your faith has made you well
[00:02:46.760 --> 00:02:50.720]  I can't see
[00:02:50.720 --> 00:02:54.560]  I can't see
