
[00:00:00.000 --> 00:00:03.100]  好 各位親愛的弟兄姊妹 大家祝福平安
[00:00:03.100 --> 00:00:11.000]  今天我跟大家一同來分享的經文是《路加福音》的第22章
[00:00:11.000 --> 00:00:14.000]  就是主耶穌被抓之後的那段經文
[00:00:14.000 --> 00:00:17.400]  主耶穌預言了彼得三次不認主
[00:00:17.400 --> 00:00:23.700]  為了讓大家了解這兩節經文前面一點點的情節
[00:00:23.700 --> 00:00:26.000]  我要把前面的經文也讀給大家
[00:00:26.000 --> 00:00:27.600]  請大家聆聽
[00:00:29.400 --> 00:00:33.600]  他們拿住耶穌 把他帶到大祭司的宅裡
[00:00:33.600 --> 00:00:35.600]  彼得遠遠的跟著
[00:00:35.600 --> 00:00:38.900]  他們在院子裡生了火 一同坐著
[00:00:38.900 --> 00:00:41.500]  彼得也坐在他們中間
[00:00:41.500 --> 00:00:45.700]  有一個使女看見彼得坐在火光裡
[00:00:45.700 --> 00:00:50.900]  就定睛看他 說這個人素來也是同那人一夥的
[00:00:50.900 --> 00:00:54.800]  彼得卻不承認 說 女子 我不認得他
[00:00:54.800 --> 00:00:58.300]  過了不多的時候 又有一個人看見他說
[00:00:58.300 --> 00:01:00.700]  你也是他們一黨的
[00:01:00.700 --> 00:01:03.900]  彼得說 你這個人 我不是
[00:01:03.900 --> 00:01:08.200]  約過了一小時 又有一個人極力的說
[00:01:08.200 --> 00:01:10.600]  他實在是同那人一夥的
[00:01:10.600 --> 00:01:13.800]  因為他也是加利利人
[00:01:13.800 --> 00:01:18.100]  彼得說 你這個人 我不曉得你說的是什麼
[00:01:18.100 --> 00:01:21.600]  正說話之間雞就叫了
[00:01:21.600 --> 00:01:25.600]  後面的兩節是今天我們要分享的經文
[00:01:25.600 --> 00:01:30.800]  六十一節 諸轉過身來看彼得
[00:01:30.800 --> 00:01:33.700]  彼得便想起主對他所說的話
[00:01:33.700 --> 00:01:38.300]  今日雞叫已先 你要三次不認我
