
[00:00:00.000 --> 00:00:02.300]  你們相不相信有鬼呀?
[00:00:02.300 --> 00:00:04.500]  你們相不相信有鬼呢?
[00:00:04.500 --> 00:00:07.300]  很多人好像很惶惑
[00:00:07.300 --> 00:00:09.700]  很多人好像很迷惑似的
[00:00:09.700 --> 00:00:11.700]  相信有鬼的舉手
[00:00:11.700 --> 00:00:13.700]  相信有鬼的舉手
[00:00:13.700 --> 00:00:15.700]  即是有些人不信啦
[00:00:15.700 --> 00:00:17.700]  就是有些人不相信
[00:00:17.700 --> 00:00:19.700]  因為你沒見過鬼嘛
[00:00:19.700 --> 00:00:20.700]  因為你沒見過鬼
[00:00:20.700 --> 00:00:22.700]  你沒見過鬼當然不信啦
[00:00:22.700 --> 00:00:24.700]  你沒見過鬼當然不信啦
[00:00:24.700 --> 00:00:28.700]  但主耶穌曾經見過被鬼附的人
[00:00:28.700 --> 00:00:31.700]  但主耶穌曾經見過被鬼附的人
[00:00:31.700 --> 00:00:33.700]  他見的是一個人
[00:00:33.700 --> 00:00:34.700]  他見了一個人
[00:00:34.700 --> 00:00:35.700]  但裏面有鬼
[00:00:35.700 --> 00:00:37.700]  但裏面有鬼
[00:00:37.700 --> 00:00:43.700]  今日我們的經文是馬可福音裏面第四次的趕鬼的記錄
[00:00:43.700 --> 00:00:47.700]  我們今天馬可福音裏面第四次耶穌趕鬼的記錄
[00:00:47.700 --> 00:00:51.700]  亦都是馬可福音裏面最後一次的記錄
[00:00:51.700 --> 00:00:54.700]  都是馬可福音裏面最後的一次記錄
[00:00:54.700 --> 00:00:58.700]  從這件事讓我們認識到耶穌是何等的有能力
[00:00:58.700 --> 00:01:02.700]  從這件事我們看見主耶穌是何等的有能力
[00:01:02.700 --> 00:01:07.700]  當時耶穌剛剛上到山上去變相
[00:01:07.700 --> 00:01:11.700]  當時耶穌剛剛去了山上去變相
[00:01:11.700 --> 00:01:13.700]  得到很大的榮譽
[00:01:13.700 --> 00:01:14.700]  得到很大的榮耀
[00:01:14.700 --> 00:01:17.700]  接著祂在山上下來
[00:01:17.700 --> 00:01:18.700]  祂從山上下來
[00:01:18.700 --> 00:01:22.700]  祂見到他們的門徒和很多人聚集在一起
[00:01:22.700 --> 00:01:25.700]  祂見到他們的門徒和很多人聚集在一起
[00:01:25.700 --> 00:01:28.700]  彼此為一件事情議論起來
[00:01:28.700 --> 00:01:31.700]  彼此為一件事情議論起來
[00:01:31.700 --> 00:01:33.700]  至於主耶穌就問他們
[00:01:33.700 --> 00:01:36.700]  主耶穌就問他們到底什麼事呢
[00:01:36.700 --> 00:01:38.700]  經文就告訴我們
[00:01:38.700 --> 00:01:39.700]  經文就跟我們說
[00:01:39.700 --> 00:01:42.700]  眾人中間有一個人回答說
[00:01:42.700 --> 00:01:45.700]  眾人中間有一個人回答說
[00:01:45.700 --> 00:01:48.700]  夫子就是老師
[00:01:48.700 --> 00:01:53.700]  我帶了我的兒子到你這裡來
[00:01:53.700 --> 00:01:57.700]  他被啞巴鬼附著
[00:01:57.700 --> 00:02:02.700]  無論在哪裡鬼捉弄他
[00:02:02.700 --> 00:02:05.700]  把他摔倒
[00:02:05.700 --> 00:02:09.700]  他就口中流沫
[00:02:09.700 --> 00:02:12.700]  咬牙切齒
[00:02:12.700 --> 00:02:14.700]  身體枯乾
[00:02:14.700 --> 00:02:21.700]  我請過你的門徒把鬼趕出去
[00:02:21.700 --> 00:02:25.700]  他們卻是不能
[00:02:25.700 --> 00:02:32.700]  這個父親是向主耶穌申訴
[00:02:32.700 --> 00:02:39.700]  說他的兒子被一隻啞巴鬼附著
[00:02:39.700 --> 00:02:47.700]  這個污鬼讓他的兒子被折磨得很厲害
[00:02:47.700 --> 00:02:49.700]  很痛苦
[00:02:49.700 --> 00:02:54.700]  後來他有機會接觸到主耶穌
