
[00:00:00.000 --> 00:00:03.720]  謝謝主席 各位「頂姐妹」早安
[00:00:03.720 --> 00:00:09.860]  今天本來我一心想著可以來上去全英堂
[00:00:09.860 --> 00:00:15.540]  和大家見面 不過疫情確實非常嚴峻
[00:00:15.540 --> 00:00:18.960]  但是感謝主 今天願神都幫助你
[00:00:18.960 --> 00:00:22.580]  透過這個Zoom 今天繼續研究一下
[00:00:22.580 --> 00:00:27.020]  剛才我們一起好好敬拜我們神的李學華宇
[00:00:27.020 --> 00:00:28.720]  現在我們可以透過信息
[00:00:28.720 --> 00:00:31.020]  來繼續親近我們的主
[00:00:31.020 --> 00:00:34.060]  「頂姐妹」我想近這幾年
[00:00:34.060 --> 00:00:37.580]  我們都經歷了很多的巨浪
[00:00:37.580 --> 00:00:41.640]  很多的轉變 無論在這個世界上
[00:00:41.640 --> 00:00:45.180]  我們自己身處的社會、環境
[00:00:45.180 --> 00:00:49.000]  甚至我們的家庭都出現了很多的變化
[00:00:49.000 --> 00:00:53.300]  讓我們都是意想不到很多的事情
[00:00:53.300 --> 00:01:00.020]  我想就這個超過了兩年的疫情
[00:01:00.020 --> 00:01:02.260]  現在本來我們想著好一點
[00:01:02.260 --> 00:01:06.340]  竟然是更加讓我們反而變了進入一個
[00:01:06.340 --> 00:01:09.600]  都挺困難、挺艱難的逆境當中
[00:01:09.600 --> 00:01:12.220]  「頂姐妹」我想問一下
[00:01:12.220 --> 00:01:15.940]  你覺得你的抗疫能力有多高呢?
[00:01:15.940 --> 00:01:22.020]  比如我一至十分 你自己衡量一下
[00:01:22.020 --> 00:01:25.420]  抗疫能力有多高 我所說的抗疫能力
[00:01:25.420 --> 00:01:28.820]  不僅僅是抗疫情的疫
[00:01:28.820 --> 00:01:32.080]  疫情有些人說我們打針
[00:01:32.080 --> 00:01:35.540]  你打多一點 打幾針 你的抗疫能力
[00:01:35.540 --> 00:01:38.160]  你身體裡面的抗體會高一些
[00:01:38.160 --> 00:01:39.880]  那就會抗疫能力高一些
[00:01:39.880 --> 00:01:44.720]  我所說的是一個對抗疫境、抗疫的能力
[00:01:44.720 --> 00:01:47.260]  所以我們想一下
[00:01:47.260 --> 00:01:51.100]  我們的抗疫能力其實有多高
[00:01:51.100 --> 00:01:53.820]  根據你自己的心情 面對現在的環境
[00:01:53.820 --> 00:01:56.460]  你是怎麼去處理的呢?
[00:01:56.460 --> 00:02:02.700]  我想每一個人處理疫情的方法都不一樣
[00:02:02.700 --> 00:02:05.520]  不知道你正在用什麼方法
[00:02:05.520 --> 00:02:10.080]  基督徒最多我們當然是聽到就是祈禱
[00:02:10.080 --> 00:02:12.580]  我們會將我們一切的事情
[00:02:12.580 --> 00:02:15.960]  我們說透過禱告 我們向神交代
[00:02:15.960 --> 00:02:17.340]  我們來到向神去祈禱
[00:02:17.340 --> 00:02:19.800]  我絕對都相信祈禱的力量
[00:02:19.800 --> 00:02:23.540]  是因為我們的主是一個聽祈禱的上帝
[00:02:23.540 --> 00:02:27.140]  但是今天我想和大家分享一件事
[00:02:27.140 --> 00:02:29.980]  就是我覺得在這個疫情當中
[00:02:29.980 --> 00:02:33.100]  我們都應該更加需要去做的
[00:02:33.100 --> 00:02:36.840]  除了禱告之外 就是來到我們更多的
[00:02:36.840 --> 00:02:39.240]  是來到去讚美我們的主
[00:02:39.240 --> 00:02:42.100]  可能很多人就會覺得有沒有搞錯
[00:02:42.100 --> 00:02:45.820]  就是在苦難、在困難的當中
[00:02:45.820 --> 00:02:48.440]  你還和我說要去開心的讚美
[00:02:48.440 --> 00:02:52.160]  其實都是挺難的 好像強人所難
[00:02:52.160 --> 00:02:55.360]  事情已經好像狂風舉浪那樣
[00:02:55.360 --> 00:02:59.000]  衝過來我們的身上
[00:02:59.000 --> 00:03:00.720]  可能無論不是今天的疫情
[00:03:00.720 --> 00:03:03.460]  平時可能我們很多時候在家裡、家庭
[00:03:03.460 --> 00:03:06.340]  我們自己的思想上有很多事情
[00:03:06.340 --> 00:03:09.060]  我們說我們只是要去處理這些事情
[00:03:09.060 --> 00:03:12.600]  都令我們疲於奔命 我們哪裡還有時間
[00:03:12.600 --> 00:03:17.080]  我們哪裡還有心思來去讚美神
[00:03:17.080 --> 00:03:19.080]  甚至乎有時候你去教會
[00:03:19.080 --> 00:03:22.500]  都是已經放不下時間
