
[00:00:00.000 --> 00:00:04.000]  主通文是我們很熟悉的一個祈禱
[00:00:04.000 --> 00:00:08.000]  很多人 我想你未曾信耶穌之前
[00:00:08.000 --> 00:00:10.000]  你都會背的
[00:00:10.000 --> 00:00:12.000]  我想看看我們中間有哪個人
[00:00:12.000 --> 00:00:14.000]  你在讀小學的時候
[00:00:14.000 --> 00:00:16.000]  你已經會背主通文的
[00:00:16.000 --> 00:00:20.000]  比起昨晚多一點
[00:00:20.000 --> 00:00:22.000]  我們那個年代
[00:00:22.000 --> 00:00:24.000]  我們都是在基督教學校讀書
[00:00:24.000 --> 00:00:26.000]  分套長大的
[00:00:26.000 --> 00:00:31.000]  可能你那個時候對信仰還沒有認真認識
[00:00:31.000 --> 00:00:34.000]  但可能每個禮拜 甚至每個早上
[00:00:34.000 --> 00:00:36.000]  你回學校都會背一次
[00:00:36.000 --> 00:00:38.000]  這個都是我們那種
[00:00:38.000 --> 00:00:40.000]  可以說是一種
[00:00:40.000 --> 00:00:42.000]  在上學或宗教上
[00:00:42.000 --> 00:00:43.000]  我們這樣說
[00:00:43.000 --> 00:00:45.000]  是一種常做的禱告
[00:00:45.000 --> 00:00:47.000]  但不知道你有沒有留意
[00:00:47.000 --> 00:00:49.000]  在四福音裡面
[00:00:49.000 --> 00:00:51.000]  耶穌有很多教導
[00:00:51.000 --> 00:00:53.000]  但你說到祈禱
[00:00:53.000 --> 00:00:55.000]  特別教我們 教門徒
[00:00:55.000 --> 00:00:57.000]  祈禱的經文
[00:00:57.000 --> 00:00:59.000]  其實不是很多
[00:00:59.000 --> 00:01:01.000]  其中
[00:01:01.000 --> 00:01:03.000]  我差不多數完
[00:01:03.000 --> 00:01:05.000]  其實唯一的一段
[00:01:05.000 --> 00:01:07.000]  就是這一段
[00:01:07.000 --> 00:01:09.000]  就是這一段教門徒
[00:01:09.000 --> 00:01:11.000]  怎樣去祈禱 就是這一段的禱文
[00:01:11.000 --> 00:01:13.000]  所以我想
[00:01:13.000 --> 00:01:15.000]  這個發現是很重要的
[00:01:15.000 --> 00:01:18.000]  就是禱告是我們信仰生活裡面
[00:01:18.000 --> 00:01:20.000]  一個很重要的一環
[00:01:20.000 --> 00:01:23.000]  耶穌在祂在世的時候
[00:01:23.000 --> 00:01:26.000]  祂跟門徒有很多的教導
[00:01:26.000 --> 00:01:28.000]  真是說怎樣祈禱
[00:01:28.000 --> 00:01:30.000]  祈什麼禱
[00:01:30.000 --> 00:01:32.000]  我找遍了四卷福音書
[00:01:32.000 --> 00:01:34.000]  是這裡的教
[00:01:34.000 --> 00:01:36.000]  就是這樣教
[00:01:36.000 --> 00:01:38.000]  雖然我們很熟
[00:01:38.000 --> 00:01:39.000]  我自己在看的時候
[00:01:39.000 --> 00:01:40.000]  有很多新的發現
[00:01:40.000 --> 00:01:42.000]  跟大家分享一下
[00:01:42.000 --> 00:01:44.000]  這個耶穌教我們的禱文
[00:01:44.000 --> 00:01:46.000]  特別說和我們的神
[00:01:46.000 --> 00:01:48.000]  一個親密關係裡面
[00:01:48.000 --> 00:01:50.000]  有什麼重要的提醒
[00:01:50.000 --> 00:01:52.000]  我想大家一起去看一段經文
[00:01:52.000 --> 00:01:54.000]  馬太福音
[00:01:54.000 --> 00:01:56.000]  六章五至十五節
[00:01:56.000 --> 00:01:58.000]  OK
[00:01:58.000 --> 00:02:00.000]  它那個禱文
[00:02:00.000 --> 00:02:02.000]  其實前前後後都有一些東西
[00:02:02.000 --> 00:02:04.000]  我想連在一起看
[00:02:04.000 --> 00:02:06.000]  這樣才可以看到整幅圖畫
[00:02:06.000 --> 00:02:08.000]  其實這段經文
[00:02:08.000 --> 00:02:10.000]  它是在耶穌的登山部分
[00:02:10.000 --> 00:02:12.000]  裡面的其中一段
[00:02:12.000 --> 00:02:14.000]  論到禱告這段經文
[00:02:14.000 --> 00:02:16.000]  其實是有三段的
[00:02:16.000 --> 00:02:18.000]  就是說前面有一段
[00:02:18.000 --> 00:02:20.000]  接著論禱告
[00:02:20.000 --> 00:02:22.000]  接著再後面有一段
[00:02:22.000 --> 00:02:24.000]  三段的中間論到禱告
[00:02:24.000 --> 00:02:26.000]  在這三段裡面
[00:02:26.000 --> 00:02:28.000]  第六章的第一節
[00:02:28.000 --> 00:02:30.000]  有一個我們叫introduction
[00:02:30.000 --> 00:02:32.000]  的一個介紹
[00:02:32.000 --> 00:02:34.000]  我們先看看那一節怎麼說
[00:02:34.000 --> 00:02:36.000]  六章的第一節
[00:02:36.000 --> 00:02:38.000]  我們讀一讀那一節聖經
[00:02:38.000 --> 00:02:40.000]  請
[00:02:40.000 --> 00:02:42.000]  這個
[00:02:42.000 --> 00:02:44.000]  耶穌這樣說
[00:02:44.000 --> 00:02:46.000]  是告訴門徒
[00:02:46.000 --> 00:02:48.000]  或者周圍的群眾
[00:02:48.000 --> 00:02:50.000]  不要把你們的善事
[00:02:50.000 --> 00:02:52.000]  在別人面前故意讓他們看到
[00:02:52.000 --> 00:02:54.000]  這樣就得不到你們天父的賞賜
[00:02:54.000 --> 00:02:56.000]  說完這個之後
[00:02:56.000 --> 00:02:58.000]  他開始說第一個
[00:02:58.000 --> 00:03:00.000]  就是說施捨
[00:03:00.000 --> 00:03:02.000]  他就是說當你們施捨的時候
[00:03:02.000 --> 00:03:04.000]  不要故意在別人面前做給別人看
[00:03:04.000 --> 00:03:06.000]  不要吹哨
[00:03:06.000 --> 00:03:08.000]  告訴別人我現在施捨了
[00:03:08.000 --> 00:03:10.000]  我現在施捨了
[00:03:10.000 --> 00:03:12.000]  這樣做得不到天父的賞賜
[00:03:12.000 --> 00:03:14.000]  接著說禱告
[00:03:14.000 --> 00:03:16.000]  第三段說完禱告之後
[00:03:16.000 --> 00:03:18.000]  就說禁食
[00:03:18.000 --> 00:03:20.000]  說你們禁食的時候要怎樣
[00:03:20.000 --> 00:03:22.000]  不要把自己弄得
[00:03:22.000 --> 00:03:24.000]  像逢頭救命那樣
[00:03:24.000 --> 00:03:26.000]  難看自己的樣子
[00:03:26.000 --> 00:03:28.000]  故意不洗澡不洗臉
[00:03:28.000 --> 00:03:30.000]  告訴別人你看我的樣子多難看
[00:03:30.000 --> 00:03:32.000]  現在我正在禁食你們知道嗎
[00:03:32.000 --> 00:03:34.000]  這樣的話你們得不到天父的賞賜
[00:03:34.000 --> 00:03:36.000]  應該把自己弄得很醜
[00:03:36.000 --> 00:03:38.000]  然後告訴別人
[00:03:38.000 --> 00:03:40.000]  別人看不出來就好了
[00:03:40.000 --> 00:03:42.000]  這樣三段去說
[00:03:42.000 --> 00:03:44.000]  你會發覺其實耶穌
[00:03:44.000 --> 00:03:46.000]  是用同一個原則
[00:03:46.000 --> 00:03:48.000]  開始然後介紹
[00:03:48.000 --> 00:03:50.000]  這三種的事情
[00:03:50.000 --> 00:03:52.000]  特別他說善事
[00:03:52.000 --> 00:03:54.000]  他說你不要將善事
[00:03:54.000 --> 00:03:56.000]  行在人的面前
[00:03:56.000 --> 00:03:58.000]  善事這個字很特別
[00:03:58.000 --> 00:04:00.000]  我今天看似乎是在說一些行善的東西
[00:04:00.000 --> 00:04:02.000]  其實他這個字有一個
[00:04:02.000 --> 00:04:04.000]  宗教信仰上的意思
[00:04:04.000 --> 00:04:06.000]  善事原文
[00:04:06.000 --> 00:04:08.000]  有一個義人義的義
[00:04:08.000 --> 00:04:10.000]  就是對的好
[00:04:10.000 --> 00:04:12.000]  是說一種信仰宗教
[00:04:12.000 --> 00:04:14.000]  上面的一種虔誠的行動
[00:04:14.000 --> 00:04:16.000]  當日猶太人的社會
[00:04:16.000 --> 00:04:18.000]  耶穌那個年代
[00:04:18.000 --> 00:04:20.000]  他們說善事這個字
[00:04:20.000 --> 00:04:22.000]  是有獨特的意思
[00:04:22.000 --> 00:04:24.000]  其實是在說什麼呢
