
[00:00:00.000 --> 00:00:09.120]  歡迎大家來到我們的周六、上個週末,我們開始了一個為期四個月的回顧十誡的系列
[00:00:09.120 --> 00:00:12.660]  我叫它的名字做十誡故事
[00:00:12.660 --> 00:00:16.300]  我們之所以叫它做十誡故事
[00:00:16.300 --> 00:00:24.960]  是因為聖經中的十誡並不是我們想像中,很多人想像中,一系列Do's and Don'ts
[00:00:24.960 --> 00:00:29.420]  做這樣,不要做那樣
[00:00:29.420 --> 00:00:38.100]  聖經中的十誡內藏著上帝的故事、救贖的故事、耶穌基督的故事
[00:00:38.100 --> 00:00:41.260]  亦都是十字架的故事
[00:00:41.260 --> 00:00:44.860]  於是我們從十誡故事開始
[00:00:44.860 --> 00:00:49.220]  使我們可以最後去到十架的故事
[00:00:49.220 --> 00:00:52.420]  我們再從耶穌十架的故事
[00:00:52.420 --> 00:01:00.740]  引申到我們今天背起十字架,跟隨耶穌的故事最終極的形容
[00:01:00.740 --> 00:01:05.960]  我們的十誡故事從舊約的創世紀開始
[00:01:05.960 --> 00:01:10.300]  我不知道你還記不記得我上個星期的創意改寫
[00:01:10.300 --> 00:01:13.040]  Creative Retelling
[00:01:13.040 --> 00:01:19.860]  這個是小如兒、亞當、阿娃起落的海洋
[00:01:19.860 --> 00:01:24.260]  是美善上帝為他們所創造的世界
[00:01:24.260 --> 00:01:32.400]  上帝說,海裏面的每一寸空間,你們都可以自由地、盡情地去享受
[00:01:32.400 --> 00:01:39.740]  唯有有一個很遙遠、很遙遠的角落
[00:01:39.740 --> 00:01:45.380]  你們不能去,因為你越過的日子,你們必定會死
[00:01:45.380 --> 00:01:48.660]  對於小如兒、亞當、阿娃來說
[00:01:48.660 --> 00:01:52.240]  上帝的律法、上帝的誡命是什麼呢?
[00:01:52.240 --> 00:01:58.380]  就是海洋,是生命的泉水,是起落的保障
[00:01:58.380 --> 00:02:01.460]  因為它是魚,它需要海洋
[00:02:01.460 --> 00:02:05.500]  海洋是它生命的泉水,是它起落的保障
[00:02:05.500 --> 00:02:09.160]  直到有一天,小瓊如、毛比迪出現
[00:02:09.160 --> 00:02:13.540]  他講大話,欺騙亞當、阿娃
[00:02:13.540 --> 00:02:18.580]  他說,誡命是在約束我們的自由
[00:02:18.580 --> 00:02:23.340]  他又說,上帝講的死亡的角落,是上帝講大話
[00:02:23.340 --> 00:02:30.480]  因為上帝不想我們去到那裏,分享他的福氣、分享他的能力
[00:02:30.480 --> 00:02:35.660]  可悲的是,亞當、阿娃居然相信毛比迪的謊言
[00:02:35.660 --> 00:02:37.980]  他們不相信上帝的真道
[00:02:37.980 --> 00:02:46.740]  他們半翼墮落,使全魚類陷入罪惡和死亡之中
[00:02:46.740 --> 00:02:53.580]  原來毛比迪的真正身份不是小瓊如,而是大白鯊
[00:02:53.580 --> 00:03:00.780]  這是我們上星期所看的第一幅巨型的圖畫,活動的圖畫
[00:03:00.780 --> 00:03:05.840]  講的是創世紀第一至第三章的故事
[00:03:05.840 --> 00:03:10.400]  接著我們有第二幅圖畫,第二幅圖畫帶我們進入出埃及記
[00:03:10.400 --> 00:03:16.100]  是出埃及記裏面的死亡角落的真人騷
[00:03:16.100 --> 00:03:18.900]  埃及是一個怎樣的地方?
[00:03:18.900 --> 00:03:26.940]  埃及是上帝誡命保護以外,即是沒有上帝誡命保護的死亡角落
[00:03:26.940 --> 00:03:32.960]  埃及是一個沒有生命泉水的罪惡死地
[00:03:32.960 --> 00:03:40.340]  還有,埃及是偶像假神所掌控的奴役之城
[00:03:40.340 --> 00:03:44.320]  這是出埃及記的故事
[00:03:44.320 --> 00:03:47.460]  當我們打開出埃及記的時候
[00:03:47.460 --> 00:03:52.940]  以色列人其實已經成為了埃及的神明的奴僕
[00:03:52.940 --> 00:03:57.100]  他們和埃及人一樣,正在敬拜埃及的神明
[00:03:57.100 --> 00:04:06.000]  他們本應該和埃及人一同去藏身於死亡之中,被上帝所審判
[00:04:06.000 --> 00:04:11.020]  然而,也會說上帝是一個立若守若的上帝
[00:04:11.020 --> 00:04:17.940]  他降臨在埃及中,要親自營救阿伯拉罕的後裔
[00:04:17.940 --> 00:04:21.700]  因為他和阿伯拉罕立了另一個若
[00:04:21.700 --> 00:04:27.420]  不是起初被破壞的生命之若,而是一個新的恩典之若
[00:04:27.420 --> 00:04:33.460]  於是,上帝在出埃及中所做的是他恩典之若的彰顯
[00:04:33.460 --> 00:04:41.080]  也會說上帝以憤怒的十災去審判埃及的假神
[00:04:41.080 --> 00:04:47.900]  但同時間,他又以逾越節的羔羊去拯救以色列人
[00:04:47.900 --> 00:04:55.100]  接著未完,接著上帝再賜給他們救生保命的十戒
[00:04:55.100 --> 00:05:00.600]  為要拯救高高Fish,即是要運送魚類
[00:05:00.600 --> 00:05:08.160]  安全離開埃及的死地,安全運送到應許之地回家
[00:05:08.160 --> 00:05:12.400]  但你要將魚從一個地方搬到另一個地方,你需要甚麼?
[00:05:12.400 --> 00:05:15.000]  你需要將他們放在水裏面
[00:05:15.000 --> 00:05:21.200]  對於以色列人來說,那兩塊石板,十條誡命是甚麼?
[00:05:21.200 --> 00:05:26.160]  是荒漠金泉,是保命的容器
[00:05:26.160 --> 00:05:32.920]  你不可能將牠搬運魚,不將牠放在水裏面
[00:05:32.920 --> 00:05:40.640]  在遠古近東眾多假神偶像,沙漠風暴的攻擊之下
[00:05:40.640 --> 00:05:47.960]  十戒成為了以色列人唯一救生保命的裝備,你明不明白?
[00:05:47.960 --> 00:05:53.040]  因為如果他沒有十戒的時候,他們就會被其他假神偶像吸引
[00:05:53.040 --> 00:05:58.200]  於是又回到那個沙漠,但他們是甚麼?他們是魚
[00:05:58.200 --> 00:06:02.160]  十戒是他們的屬靈的養氣筒
[00:06:02.160 --> 00:06:08.320]  上帝說「別無他神,別無他象,別無他名」
[00:06:08.320 --> 00:06:11.520]  「要紀念安息日,要孝敬父母」
[00:06:11.520 --> 00:06:18.120]  你記得「要孝敬父母」說的不是孝敬地上的父母那麼簡單
[00:06:18.120 --> 00:06:27.680]  是要敬畏、孝敬地上、敬畏父母、帶領敬畏父母、敬畏上帝的父母
[00:06:27.680 --> 00:06:31.000]  所以他其實說的最終是叫我們孝敬上帝
[00:06:31.000 --> 00:06:37.520]  叫我們孝敬帶領我們、從小帶領我們去敬畏上帝的父母
[00:06:37.520 --> 00:06:44.080]  所有頭五戒,說的都是要我們盡心的愛神
[00:06:44.080 --> 00:06:52.640]  這五條戒命拿來做甚麼?是保護他們,以至他們可以逃離假神偶像的誘惑
[00:06:52.640 --> 00:06:58.120]  同時間十戒又是他們前往天國的GPS
[00:06:58.120 --> 00:07:00.880]  我們以前的一個講道裏面講過
[00:07:00.880 --> 00:07:07.080]  GPS代表了一個和世界完全相反的人生方向
