
[00:00:00.000 --> 00:00:03.280]  這星期開始了一個新的講道系列
[00:00:03.280 --> 00:00:08.400]  大家看到主題是興奮的旅程
[00:00:08.400 --> 00:00:09.400]  要講什麼呢?
[00:00:09.400 --> 00:00:13.800]  其實從今天開始會跟大家分享保羅一生的旅程
[00:00:13.800 --> 00:00:16.800]  而第一個要跟大家分享的題目是
[00:00:16.800 --> 00:00:19.800]  有幸去遇見耶穌
[00:00:19.800 --> 00:00:24.600]  我不知道大家的生命當中有沒有這樣的經驗
[00:00:24.600 --> 00:00:26.600]  曾經遇到一個人
[00:00:26.600 --> 00:00:30.800]  令你覺得很開心、很幸福、很快樂
[00:00:30.800 --> 00:00:32.800]  哎呀,真是幸運
[00:00:32.800 --> 00:00:34.200]  如果你不相信耶穌的話
[00:00:34.200 --> 00:00:37.400]  很幸運地遇上了你
[00:00:37.400 --> 00:00:39.200]  有沒有這樣的經驗呢?
[00:00:39.200 --> 00:00:40.800]  如果有的時候
[00:00:40.800 --> 00:00:42.600]  可能那是你老公、你老婆
[00:00:42.600 --> 00:00:43.400]  現在是男朋友、女朋友
[00:00:43.400 --> 00:00:45.000]  我不知道
[00:00:45.000 --> 00:00:46.800]  或者是一個老師
[00:00:46.800 --> 00:00:48.200]  如果你有這樣的經驗的時候
[00:00:48.200 --> 00:00:49.800]  你可不可以想一下那個時間
[00:00:49.800 --> 00:00:51.000]  當你第一次遇到他
[00:00:51.000 --> 00:00:54.000]  或者見到這個人的時候
[00:00:54.000 --> 00:00:56.400]  你有什麼感覺呢?
[00:00:56.400 --> 00:00:59.000]  有什麼感受呢?
[00:00:59.000 --> 00:01:00.800]  我就很好奇
[00:01:00.800 --> 00:01:02.600]  現在很方便
[00:01:02.600 --> 00:01:05.200]  你可以怎樣去找出這些資料呢?
[00:01:05.200 --> 00:01:06.200]  上網吧
[00:01:06.200 --> 00:01:07.600]  上網打一打
[00:01:07.600 --> 00:01:10.200]  有幸遇見你
[00:01:10.200 --> 00:01:12.400]  就有很多東西出來了
[00:01:12.400 --> 00:01:15.600]  在網上找了幾個
[00:01:15.600 --> 00:01:19.200]  他們記下他們的感受
[00:01:19.200 --> 00:01:20.800]  都挺有趣的
[00:01:20.800 --> 00:01:22.000]  其中一個說
[00:01:22.000 --> 00:01:23.400]  當我見到你的時候
[00:01:23.400 --> 00:01:25.600]  我很害怕親近你
[00:01:25.600 --> 00:01:27.200]  當我親近你的時候
