
[00:00:00.000 --> 00:00:01.780]  各位親愛的大家好
[00:00:01.780 --> 00:00:08.000]  很歡迎大家繼續收看《約拿書》和《拿紅書》的分享
[00:00:08.000 --> 00:00:10.540]  大國的崛起和衰亡
[00:00:10.540 --> 00:00:14.540]  今天我們應該會完結《約拿書》了
[00:00:14.540 --> 00:00:17.720]  下一節我們會看另一卷書卷
[00:00:17.720 --> 00:00:19.720]  就是《拿紅書》
[00:00:19.720 --> 00:00:23.500]  今天我們會由第二章看到第四章
[00:00:23.500 --> 00:00:29.140]  因為一開始我寧願長些時間跟大家分析這本書的背景
[00:00:29.140 --> 00:00:32.100]  以及一些屬靈裏面的教導
[00:00:32.100 --> 00:00:34.100]  今天我們開始看第二章的時候
[00:00:34.100 --> 00:00:36.460]  就會是一個禱告
[00:00:36.460 --> 00:00:37.360]  我們開始的時候
[00:00:37.360 --> 00:00:39.700]  我想先跟大家一起禱告
[00:00:39.700 --> 00:00:41.260]  希望多謝你給我機會
[00:00:41.260 --> 00:00:44.480]  和大英姐妹一起研讀神理的話語
[00:00:44.480 --> 00:00:47.680]  神會讓你的話語成為我們的提醒和幫助
[00:00:47.680 --> 00:00:50.060]  不得不承認有時候我們在困難的日子裏面
[00:00:50.060 --> 00:00:53.440]  我們會特別著緊和神的建立關係
[00:00:53.440 --> 00:00:56.480]  第二我們不會在事過程中之後
[00:00:56.480 --> 00:00:59.700]  我們就輕忽了和你的關係上
[00:00:59.700 --> 00:01:01.700]  應該是更加緊密
[00:01:01.700 --> 00:01:03.200]  主求你來幫助我們
[00:01:03.200 --> 00:01:06.260]  讓你的話語成為我們的提醒和幫助
[00:01:06.260 --> 00:01:09.460]  雖然我們在網絡上
[00:01:09.460 --> 00:01:11.460]  但也讓我們能夠有所專注
[00:01:11.460 --> 00:01:13.220]  聽下請在你面前祈禱交托
[00:01:13.220 --> 00:01:15.220]  拜奉耶穌基督得聖的名禱告
[00:01:15.220 --> 00:01:17.080]  阿們
[00:01:17.080 --> 00:01:21.160]  我們要記得《約拿》逃避神的使命
[00:01:21.160 --> 00:01:23.580]  他就去上船了
[00:01:23.580 --> 00:01:27.160]  誰知神是「讓風浪大作」
[00:01:27.160 --> 00:01:31.580]  那班外邦人都不想尼達雅去「約拿」死
[00:01:31.580 --> 00:01:36.960]  但用盡辦法都不能夠尼達雅去控制那艘船
[00:01:36.960 --> 00:01:38.020]  很無奈
[00:01:38.020 --> 00:01:41.880]  約尼都自己宣告是因為他得罪了神
[00:01:41.880 --> 00:01:45.860]  所以神才會「讓風浪大作」
[00:01:45.860 --> 00:01:48.000]  於是叫人將他扔到海裏
[00:01:48.000 --> 00:01:48.920]  我已經講過
[00:01:48.920 --> 00:01:49.960]  他扔到海裏
[00:01:49.960 --> 00:01:51.720]  就是別人扔他到海裏
[00:01:51.720 --> 00:01:53.040]  就與他無關
[00:01:53.040 --> 00:01:55.620]  他就不會自殺
[00:01:55.620 --> 00:01:58.740]  但自殺在他們心目中是一種很嚴重的罪
[00:01:58.740 --> 00:02:00.600]  因為生命是神所賜的
[00:02:00.600 --> 00:02:02.360]  人扔他到海裏就是謀殺他
[00:02:02.360 --> 00:02:03.360]  與他無關
[00:02:03.360 --> 00:02:05.300]  誰知當他扔到海裏的時候
[00:02:05.300 --> 00:02:08.900]  有一條大魚將「約拿」吞了
[00:02:08.900 --> 00:02:13.200]  「約拿」在餘福之中向神禱告
[00:02:13.200 --> 00:02:15.160]  在第二章就這樣說
[00:02:15.160 --> 00:02:19.320]  「約拿在餘福中禱告耶華他的神說」
[00:02:19.320 --> 00:02:22.800]  第二章是一個讚美詩
[00:02:22.800 --> 00:02:27.920]  這首詩是很清楚講明「約拿」的心路歷程
[00:02:27.920 --> 00:02:29.540]  這個讚美的話
[00:02:29.540 --> 00:02:35.600]  就是從一個受苦者內心的呼喊發出來
[00:02:35.600 --> 00:02:39.780]  這首詩裏面有四個因素
[00:02:39.780 --> 00:02:41.280]  第一是甚麼呢?
[00:02:41.280 --> 00:02:43.400]  就是尼達去概括的引言
[00:02:43.400 --> 00:02:45.840]  講出他在急難之中
[00:02:45.840 --> 00:02:48.780]  如何向神尼達去呼吸
[00:02:48.780 --> 00:02:50.920]  然後求神尼達答應他
[00:02:50.920 --> 00:02:57.120]  接著就是描寫他自己在困境的時候
[00:02:57.120 --> 00:03:01.020]  那種處境和那種困難
[00:03:01.020 --> 00:03:03.240]  向神尼達申訴
[00:03:03.240 --> 00:03:07.440]  然後他相信有神哥的慈愛和引導
[00:03:07.440 --> 00:03:10.660]  保守與及救贖在當中
[00:03:10.660 --> 00:03:14.260]  最後就是因為感恩而尼達去頌讚
[00:03:14.260 --> 00:03:15.840]  並且許願
[00:03:15.840 --> 00:03:18.340]  「神啊!我應該會怎樣做?」
[00:03:18.340 --> 00:03:22.100]  這首詩裏面分開三個段落
[00:03:22.100 --> 00:03:24.460]  第一個段落和第二個段落
[00:03:24.460 --> 00:03:26.740]  各有六行
[00:03:26.740 --> 00:03:29.280]  即是第二到第四節
[00:03:29.280 --> 00:03:32.040]  和第五到第七節
[00:03:32.040 --> 00:03:34.240]  只有第三行
[00:03:34.240 --> 00:03:35.680]  就是第三段
[00:03:35.680 --> 00:03:37.480]  才有三行的短詩
[00:03:37.480 --> 00:03:39.480]  就是第八和第九節
[00:03:39.480 --> 00:03:45.820]  我們會看到約拿尼達去呼求神的時候
[00:03:45.820 --> 00:03:53.240]  他這個禱告其實很多都是引用舊約裏面的經文
[00:03:53.240 --> 00:03:56.200]  有人教導我們如何去祈禱
[00:03:56.200 --> 00:04:00.020]  就是要多些去背誦聖經的說話
[00:04:00.020 --> 00:04:01.360]  特別是詩篇
[00:04:01.360 --> 00:04:03.720]  就引用詩篇作為一個禱告
[00:04:03.720 --> 00:04:08.080]  我絕對不是否定這個祈禱的
[00:04:08.080 --> 00:04:09.320]  為什麼呢?
[00:04:09.320 --> 00:04:11.300]  如果我們言讀神的話
[00:04:11.300 --> 00:04:13.800]  預章神的話要藏在我們的內心裏面
