
[00:00:00.000 --> 00:00:02.160]  《史詩記》第六章一開始
[00:00:02.160 --> 00:00:04.640]  展現一個歷程
[00:00:04.640 --> 00:00:07.040]  這個歷程帶給以色列民
[00:00:07.040 --> 00:00:11.240]  在一個極大的不安和缺乏當中
[00:00:11.240 --> 00:00:14.760]  我再要強調一班屬神的子民
[00:00:14.760 --> 00:00:20.080]  為何會經歷這種被公害被侵略的日子
[00:00:20.080 --> 00:00:23.200]  是因為他們沒有遵守神的約
[00:00:23.200 --> 00:00:26.280]  聖經一展開在《史詩記》六章一至五節
[00:00:26.280 --> 00:00:27.360]  聖經這樣說
[00:00:27.360 --> 00:00:31.480]  「以色列人又行耶和華眼中看為惡的事」
[00:00:31.480 --> 00:00:35.960]  「耶和華就把他們交在米甸人的手裡七年」
[00:00:35.960 --> 00:00:38.040]  「米甸人壓制以色列人」
[00:00:38.040 --> 00:00:44.320]  「以色列人因為米甸人就在山中滑越滑動建造營寨」
[00:00:44.320 --> 00:00:46.880]  「以色列人每逢殺種之後」
[00:00:46.880 --> 00:00:51.360]  「米甸人、亞馬力人和東方人都上來攻打他們」
[00:00:51.360 --> 00:00:55.640]  「對著他們安寧,毀壞土產,直到加薩」
[00:00:55.640 --> 00:01:00.480]  「沒有給以色列人留下食物、牛、羊、鹿也沒有留下」
[00:01:00.480 --> 00:01:06.080]  「因為那些人帶著牲畜、象盤內,象蝗蟲那樣多」
[00:01:06.080 --> 00:01:12.520]  「人和樂堂無數,都進入國內,毀滅全地」
[00:01:12.520 --> 00:01:15.720]  展開的序幕用很多的子詞形容
[00:01:15.720 --> 00:01:21.880]  因為那個災難和困難的確十分不容易
[00:01:21.880 --> 00:01:24.600]  米甸人進場不只是他自己
[00:01:24.600 --> 00:01:27.040]  他還帶著亞馬力人、東方人
[00:01:27.040 --> 00:01:31.400]  不同的巨人要侵佔以色列的境地
[00:01:31.400 --> 00:01:35.120]  他們如同聖經說是蝗蟲一樣
[00:01:35.120 --> 00:01:38.080]  蝗蟲來到任何的谷物
[00:01:38.080 --> 00:01:40.520]  一剎那就被他們侵奪
[00:01:40.520 --> 00:01:42.680]  能夠生存的以色列人
[00:01:42.680 --> 00:01:45.360]  只可以在地道滑越
[00:01:45.360 --> 00:01:48.760]  去找一些山洞遮蔽
[00:01:48.760 --> 00:01:51.800]  好讓他們的命得以保存
[00:01:51.800 --> 00:01:54.800]  在這個艱難的日子
[00:01:54.800 --> 00:01:57.280]  是一個你掌控不到今日
[00:01:57.280 --> 00:02:00.280]  亦都不能夠對未來有把握
[00:02:00.280 --> 00:02:05.400]  在你缺乏甚至乎沒有動力去改變一個情況的時空
[00:02:05.400 --> 00:02:09.480]  這種無力感侵佔每一個以色列人
[00:02:09.480 --> 00:02:12.280]  但以色列人做了一件很正確的事
[00:02:12.280 --> 00:02:14.600]  正如他們素常曉得
[00:02:14.600 --> 00:02:16.840]  在艱難困苦的日子
