
[00:00:00.000 --> 00:00:05.000]  我的題目是職場上的「光與熱」
[00:00:05.000 --> 00:00:06.500]  有人說
[00:00:06.500 --> 00:00:10.000]  Doing what you like is freedom
[00:00:10.000 --> 00:00:14.000]  Liking what you do is happiness
[00:00:14.000 --> 00:00:18.500]  做自己喜歡的事是自由
[00:00:18.500 --> 00:00:23.000]  喜歡自己做的事是幸福
[00:00:23.000 --> 00:00:25.500]  我想問問大家
[00:00:25.500 --> 00:00:33.000]  你們覺得自己是自由還是幸福呢?
[00:00:33.000 --> 00:00:35.000]  現實告訴我們
[00:00:35.000 --> 00:00:40.000]  的確不是每個人都可以做到自己夢寐以求的工作
[00:00:40.000 --> 00:00:43.000]  有些人甚至到他退休的時候
[00:00:43.000 --> 00:00:46.000]  都不知道自己想做些什麼
[00:00:46.000 --> 00:00:52.000]  不過原來能夠喜歡自己所做的工作
[00:00:52.000 --> 00:00:55.500]  這已經是一種幸福
[00:00:55.500 --> 00:01:01.000]  我們怎樣可以令自己喜歡自己所做的工作呢?
[00:01:01.000 --> 00:01:03.000]  專家提供不少方法
[00:01:03.000 --> 00:01:08.000]  其中一個就是要發掘工作中的意義
[00:01:08.000 --> 00:01:10.500]  有一位二十多歲的年輕人
[00:01:10.500 --> 00:01:15.500]  他接受訓練做巴士車長
[00:01:15.500 --> 00:01:19.500]  他的朋友不太認同他
[00:01:19.500 --> 00:01:23.500]  他說只有大叔才會去開巴士
[00:01:23.500 --> 00:01:26.500]  就叫他做巴士大叔
[00:01:26.500 --> 00:01:30.500]  但這位年輕人沒有因此而退縮
[00:01:30.500 --> 00:01:33.000]  他很堅定地說
[00:01:33.000 --> 00:01:36.500]  我從小到大都很喜歡巴士
[00:01:36.500 --> 00:01:40.500]  我每次將一百幾十個人
[00:01:40.500 --> 00:01:44.500]  從一個地方載到另一個地方
[00:01:44.500 --> 00:01:47.000]  我就覺得滿足了
[00:01:47.000 --> 00:01:49.500]  我很欣賞這位年輕人
[00:01:49.500 --> 00:01:52.000]  他找到工作的意義
[00:01:52.000 --> 00:01:55.500]  你又找不找到你工作的意義呢?
[00:01:55.500 --> 00:01:58.500]  希望今天這篇訊息
[00:01:58.500 --> 00:02:02.000]  可以幫助到大家尋找答案
[00:02:02.000 --> 00:02:06.500]  在剛才主席和我們讀的四節經文中
[00:02:06.500 --> 00:02:10.500]  作者馬太用了至少兩個比喻
[00:02:10.500 --> 00:02:15.500]  來形容門徒在世上所發揮的影響力
