
[00:00:00.000 --> 00:00:02.000]  各位親愛的弟兄姐妹大家早安
[00:00:02.000 --> 00:00:07.000]  感謝神今天我們能夠在這邊一起來聚集
[00:00:07.000 --> 00:00:10.000]  那不論我們是在現場或是在線上
[00:00:10.000 --> 00:00:12.000]  我相信今天神要對我們說話
[00:00:12.000 --> 00:00:14.000]  如果你相信的話好不好
[00:00:14.000 --> 00:00:16.000]  我們拍手來宣告神今天要對我們說話
[00:00:16.000 --> 00:00:18.000]  哈利路亞
[00:00:18.000 --> 00:00:24.000]  讓我們一起來讀鐵砂盧尼迦前書3章12節
[00:00:24.000 --> 00:00:25.000]  我們一起來
[00:00:25.000 --> 00:00:33.000]  右院主教你們彼此相愛的心並愛眾人的心都能增長充足
[00:00:33.000 --> 00:00:35.000]  如同我們愛你們一樣
[00:00:35.000 --> 00:00:40.000]  第二段經文我們一起來看約翰福音10章27到28節
[00:00:40.000 --> 00:00:44.000]  來我的羊聽我的聲音我也認識他們
[00:00:44.000 --> 00:00:49.000]  他們也跟著我我又賜給他們永生他們永不滅亡
[00:00:49.000 --> 00:00:53.000]  誰也不能從我手裡把他們奪去
[00:00:53.000 --> 00:01:01.000]  感謝神疫情這兩年來終於看到了好像一個tunnel的一個鏡頭
[00:01:01.000 --> 00:01:05.000]  我們看見有新的契機
[00:01:05.000 --> 00:01:08.000]  有一些新的一個好像開放要開始了
[00:01:08.000 --> 00:01:10.000]  但我們也看見因為疫情的關係
[00:01:10.000 --> 00:01:13.000]  我們進入了一個所謂的新常態
[00:01:13.000 --> 00:01:14.000]  new normal
[00:01:14.000 --> 00:01:18.000]  那這個新常態也帶出了一些新的習慣
[00:01:18.000 --> 00:01:20.000]  我不知道你怎麼樣
[00:01:20.000 --> 00:01:25.000]  我過去是兩三天才洗一次澡的人
[00:01:25.000 --> 00:01:29.000]  如果我太太以前知道這件事可能她就不會跟我結婚了
[00:01:29.000 --> 00:01:33.000]  可是因為疫情的關係我現在每天要洗兩三次澡
[00:01:33.000 --> 00:01:36.000]  新常態新習慣
[00:01:36.000 --> 00:01:38.000]  我也不知道你
[00:01:38.000 --> 00:01:44.000]  我這兩年所洗的手超過我一輩子所洗的手
[00:01:44.000 --> 00:01:48.000]  不但如此我只要一碰到東西我就要用酒精擦一下
[00:01:48.000 --> 00:01:51.000]  有時候皮都破掉還得擦
[00:01:51.000 --> 00:01:55.000]  都不知道這個酒精是用來消毒的還是用來洗手的
[00:01:55.000 --> 00:01:57.000]  新習慣
[00:01:57.000 --> 00:02:01.000]  記得有一天我全家出去開車出去的時候
[00:02:01.000 --> 00:02:05.000]  我就想到教會有牽手情深的聚會
[00:02:05.000 --> 00:02:08.000]  我就想說跟我太太牽個手吧
[00:02:08.000 --> 00:02:11.000]  我說我們來牽個手吧
[00:02:11.000 --> 00:02:16.000]  沒有想到旁邊冷冷的四個字消毒了嗎
[00:02:16.000 --> 00:02:19.000]  太沒情調了吧
[00:02:19.000 --> 00:02:21.000]  牽個手還先問消毒
[00:02:21.000 --> 00:02:24.000]  為了大局著想我還想是是是消毒消毒
[00:02:24.000 --> 00:02:27.000]  這就是新習慣新常態
[00:02:27.000 --> 00:02:34.000]  不過感謝神我們終於要準備到一個充滿契機的開始
[00:02:34.000 --> 00:02:39.000]  不過說實在話這個新的常態的確也帶來一些新的挑戰
[00:02:39.000 --> 00:02:45.000]  說真的過去這些時間我們聽到不少的家庭
[00:02:45.000 --> 00:02:49.000]  不少的關係或是婚姻或者親子
[00:02:49.000 --> 00:02:53.000]  因為居家隔離或是因為經濟的壓力
[00:02:53.000 --> 00:02:57.000]  或者因為工作的一些不穩定
[00:02:57.000 --> 00:03:00.000]  有許多的緊張的狀況
[00:03:00.000 --> 00:03:04.000]  坦白講現在因為這個疫情開放了
[00:03:04.000 --> 00:03:07.000]  所以大家也要開始回去上班
[00:03:07.000 --> 00:03:10.000]  工作時間也開始需要調整
[00:03:10.000 --> 00:03:16.000]  說實在話沒有人知道我下個禮拜下個月我的時間到底是怎麼樣來安排
[00:03:16.000 --> 00:03:20.000]  其實我自己個人也是因為疫情的好像減緩
[00:03:20.000 --> 00:03:23.000]  我們開始實體的聚會
[00:03:23.000 --> 00:03:27.000]  過去兩年的疫情有許多新的事故的產生
[00:03:27.000 --> 00:03:29.000]  那現在實體聚會一回來
[00:03:29.000 --> 00:03:32.000]  過去的服飾也回來了
[00:03:32.000 --> 00:03:34.000]  很多的調整
[00:03:34.000 --> 00:03:36.000]  因為這些調整我不得不承認
[00:03:36.000 --> 00:03:41.000]  我自己也有一點情緒上面的一些張力
