
[00:00:00.000 --> 00:00:03.800]  有一種依附的理論
[00:00:03.800 --> 00:00:07.640]  原來我們人類都是透過依附著一些事物
[00:00:07.640 --> 00:00:11.080]  可能是一些地方 可能是一些人
[00:00:11.080 --> 00:00:13.240]  或者一些處事方式
[00:00:13.240 --> 00:00:17.400]  熟習在當中去建立我們有一份的安全感
[00:00:17.400 --> 00:00:20.120]  這種的attachment 這種的依附
[00:00:20.120 --> 00:00:22.880]  尤其是對於嬰兒來說
[00:00:22.880 --> 00:00:26.080]  因為他的生命是一張白紙
[00:00:26.080 --> 00:00:27.880]  尤其重要
[00:00:27.880 --> 00:00:32.720]  小孩子當他依附著他的父母的時候
[00:00:32.720 --> 00:00:36.400]  他就得到一份的滿足感
[00:00:36.400 --> 00:00:39.600]  一份的安全感在當中的時候
[00:00:39.600 --> 00:00:42.560]  他充分能夠有這份的安全感
[00:00:42.560 --> 00:00:46.320]  他長大了的時候他就會更加有自信
[00:00:46.320 --> 00:00:49.320]  在他嬰孩的時期
[00:00:49.320 --> 00:00:52.960]  什麼東西能夠幫他建立這種的依附的關係呢?
[00:00:52.960 --> 00:00:55.600]  包括其實他住的地方
[00:00:55.600 --> 00:00:59.200]  他飲食他睡眠的習慣
[00:00:59.200 --> 00:01:02.760]  連他睡那張被子的氣味等等這些
[00:01:02.760 --> 00:01:05.120]  都是很有幫助的
[00:01:05.120 --> 00:01:07.800]  一轉了可能他就會很不習慣
[00:01:07.800 --> 00:01:11.080]  但隨著他年紀慢慢去增長的時候
[00:01:11.080 --> 00:01:13.960]  理論上他慢慢會明白到
[00:01:13.960 --> 00:01:17.680]  父母不單單是連繫著這間屋
[00:01:17.680 --> 00:01:19.760]  這張被子等等
[00:01:19.760 --> 00:01:21.960]  他慢慢當他成長的時候
[00:01:21.960 --> 00:01:23.520]  當他看不到父母
[00:01:23.520 --> 00:01:26.280]  但是他仍然可以
[00:01:26.280 --> 00:01:28.960]  或者是環境不同了
[00:01:28.960 --> 00:01:30.280]  那種氣味不同了
[00:01:30.280 --> 00:01:33.680]  但他仍然有一份的信心會知道
[00:01:33.680 --> 00:01:35.840]  父母會回來的
[00:01:35.840 --> 00:01:39.680]  他不會因為這樣突然間就不見了的時候
[00:01:39.680 --> 00:01:43.080]  能夠建立到這份的安全感的時候
[00:01:43.080 --> 00:01:47.200]  我們就知道這個小朋友就成長了多一點
[00:01:47.200 --> 00:01:51.560]  其實我們的屬靈生命都有點相似的
[00:01:51.560 --> 00:01:54.840]  回想我們早期信主的時候
[00:01:54.840 --> 00:01:58.320]  記不記得那種印象
[00:01:58.320 --> 00:02:00.080]  記不記得我們那時候那種印象
[00:02:00.080 --> 00:02:01.960]  好像是特別的深的
[00:02:01.960 --> 00:02:04.280]  對那時候我們所見到的人
[00:02:04.280 --> 00:02:05.600]  遇到那些的事
[00:02:05.600 --> 00:02:07.800]  可能那時候的教會
[00:02:07.800 --> 00:02:09.280]  那位的牧者
[00:02:09.280 --> 00:02:12.000]  那時候認識的弟兄姊妹
[00:02:12.000 --> 00:02:13.520]  那時候的崇拜
[00:02:13.520 --> 00:02:16.200]  大概那時候的內容
[00:02:16.200 --> 00:02:18.600]  那個的環境等等
[00:02:18.600 --> 00:02:22.040]  這些所建立出來的那份的記憶
[00:02:22.040 --> 00:02:26.920]  都是我們成長時候的一個很重要的工具
[00:02:26.920 --> 00:02:30.040]  我們就在那個位置一直去成長
[00:02:30.040 --> 00:02:30.720]  同樣都是的
[00:02:30.720 --> 00:02:34.480]  我們今天習慣了我們回到中途
[00:02:34.480 --> 00:02:35.880]  我們就回到中途
[00:02:35.880 --> 00:02:38.640]  轉了時間都會有點不習慣
[00:02:38.640 --> 00:02:40.160]  我們回來我們習慣了
[00:02:40.160 --> 00:02:44.680]  又會去找一個我們覺得最舒服最自然的位置坐
[00:02:44.680 --> 00:02:46.160]  還沒找到可能就繼續找
[00:02:46.160 --> 00:02:47.800]  但是被你找到的時候
[00:02:47.800 --> 00:02:51.920]  那個溫度那個角度好像特別習慣的時候
[00:02:51.920 --> 00:02:53.080]  你一坐可以坐幾年
[00:02:53.080 --> 00:02:54.960]  十幾年、二十幾年都可以
[00:02:54.960 --> 00:02:56.080]  會不會?
[00:02:56.080 --> 00:02:57.280]  是不是?
[00:02:57.280 --> 00:03:01.080]  某程度上我們的習慣
[00:03:01.080 --> 00:03:03.520]  就是透過可能這些的空間
[00:03:03.520 --> 00:03:04.400]  這個崇拜空間
[00:03:04.400 --> 00:03:05.520]  崇拜的程序
[00:03:05.520 --> 00:03:06.760]  我們唱的詩歌
[00:03:06.760 --> 00:03:08.480]  我們團契的模式
[00:03:08.480 --> 00:03:11.720]  或者我們所認識的弟兄姊妹、牧者
[00:03:11.720 --> 00:03:17.000]  等等這些去建立我們和上帝之間那種的記憶
[00:03:17.000 --> 00:03:20.000]  或者好像是透過這些東西去建立
[00:03:20.000 --> 00:03:23.640]  一種和上帝建立一種的依附的關係當中
[00:03:23.640 --> 00:03:24.880]  就透過這些東西
[00:03:24.880 --> 00:03:26.520]  本來是沒有什麼問題的
[00:03:26.520 --> 00:03:27.200]  很自然的
[00:03:27.200 --> 00:03:28.760]  也沒有辦法避免
[00:03:28.760 --> 00:03:33.400]  但是如果我們身邊那個環境
[00:03:33.400 --> 00:03:37.680]  我們必須要面對一種的轉變
[00:03:37.680 --> 00:03:42.200]  可能這些我們依附開的東西
[00:03:42.200 --> 00:03:45.120]  已經要消失了
[00:03:45.120 --> 00:03:48.280]  開始慢慢不再存在了
[00:03:48.280 --> 00:03:52.080]  可能我們自己都要離開這個環境了
[00:03:52.080 --> 00:03:55.240]  今天很多人會去考慮
[00:03:55.240 --> 00:03:58.600]  會不會去另一個地方生活
[00:03:58.600 --> 00:04:02.320]  我們當這些東西要離開我們身邊環境的時候
[00:04:02.320 --> 00:04:04.680]  我們的屬靈生命
[00:04:04.680 --> 00:04:07.520]  要離開這些我們依附開的東西
[00:04:07.520 --> 00:04:11.440]  會不會構成一種衝擊呢?
[00:04:11.440 --> 00:04:14.360]  那種衝擊有多大呢?
[00:04:14.360 --> 00:04:17.800]  這兩年很多人都感覺很疲倦
[00:04:17.800 --> 00:04:18.960]  身體很疲倦
[00:04:18.960 --> 00:04:20.080]  眼睛很疲倦
[00:04:20.080 --> 00:04:21.440]  經常盯著螢幕
[00:04:21.440 --> 00:04:23.520]  其實連心靈都很疲倦
[00:04:23.520 --> 00:04:26.800]  我們都習慣了我們在這種疲倦當中
[00:04:26.800 --> 00:04:30.400]  我們必須要找一些新的方式
[00:04:30.400 --> 00:04:31.280]  去充電
[00:04:31.280 --> 00:04:33.240]  去重新去得力
[00:04:33.240 --> 00:04:34.640]  如果我們找不到
[00:04:34.640 --> 00:04:36.040]  但是我們繼續疲倦下去
[00:04:36.040 --> 00:04:38.880]  都挺大件事的
[00:04:38.880 --> 00:04:42.320]  我相信我們好像進入了一個新的時代
[00:04:42.320 --> 00:04:44.280]  一個新的年代裡面
[00:04:44.280 --> 00:04:46.760]  我們需要很多新的適應
[00:04:46.760 --> 00:04:48.320]  無論我們是留在香港也好
[00:04:48.320 --> 00:04:52.360]  或者我們可能會去不同的地方也好
[00:04:52.360 --> 00:04:54.280]  不論我們現在是在疫情當中
[00:04:54.280 --> 00:04:56.040]  或者可能遲一些
[00:04:56.040 --> 00:04:58.920]  希望很快疫情過後
[00:04:58.920 --> 00:05:03.920]  我們過去我們依附開的這些東西
[00:05:03.920 --> 00:05:08.360]  同樣都有機會會慢慢會逐一的消失
[00:05:08.360 --> 00:05:10.920]  這個時候重要的問題就是
[00:05:10.920 --> 00:05:12.840]  究竟還剩下些什麼呢?
[00:05:12.840 --> 00:05:17.120]  究竟還有什麼我需要面對這種變化呢?
[00:05:17.120 --> 00:05:19.560]  這種令我可能會疲倦的
[00:05:19.560 --> 00:05:23.800]  會令我可能會失去意志、動力
[00:05:23.800 --> 00:05:28.400]  甚至乎方向的日子
[00:05:28.400 --> 00:05:29.560]  怎樣過呢?
