
[00:00:00.000 --> 00:00:01.540]  今日係咩節呀?
[00:00:01.540 --> 00:00:05.880]  父親節呀 嘩 有人唔記得喎
[00:00:05.880 --> 00:00:07.940]  今日係父親節
[00:00:07.940 --> 00:00:09.720]  有時我諗呢
[00:00:09.720 --> 00:00:11.780]  如果我嘅爸爸
[00:00:11.780 --> 00:00:15.880]  營救在世嘅時候 我會點樣同佢慶祝父親節
[00:00:15.880 --> 00:00:17.920]  當中如果你爸爸
[00:00:17.920 --> 00:00:20.480]  營救在世 你諗住點樣黎到同佢慶祝呢
[00:00:20.480 --> 00:00:21.500]  我諗
[00:00:21.500 --> 00:00:25.600]  以我今日去到一個咁樣嘅已經入咗五嘅人 即係過咗五十啦
[00:00:25.600 --> 00:00:28.680]  我相信我會
[00:00:29.440 --> 00:00:31.740]  應該唔會同佢默默無言嘅
[00:00:31.740 --> 00:00:33.280]  應該係會呢
[00:00:33.280 --> 00:00:35.580]  好有興趣知道下佢一啲
[00:00:35.580 --> 00:00:36.360]  以前
[00:00:36.360 --> 00:00:38.140]  青少年嘅時候啦
[00:00:38.140 --> 00:00:39.940]  或者係佢一啲
[00:00:39.940 --> 00:00:44.040]  喺我媽媽口中傳聞嘅嘢
[00:00:44.040 --> 00:00:45.320]  嚟到去呢
[00:00:45.320 --> 00:00:46.600]  同佢講返
[00:00:46.600 --> 00:00:48.640]  聽返佢講好多佢嘅故事
[00:00:48.640 --> 00:00:54.020]  我爸爸係一個勤勞好早返工嘅人 一個好傳統嘅男性
[00:00:54.020 --> 00:00:58.620]  唔知大家你父親你心目中嘅形象係一個點樣嘅形象
[00:00:58.880 --> 00:01:00.680]  畀你一個點樣嘅印象呢
[00:01:00.680 --> 00:01:06.060]  我爸爸係一個好喜歡節期嘅人嚟㗎喎 可能我一輩都係咁樣
[00:01:06.060 --> 00:01:07.580]  佢一個好傳統嘅人
[00:01:07.580 --> 00:01:10.920]  發覺佢原來乜嘢嘅節期嘅食物都識整㗎
[00:01:10.920 --> 00:01:14.240]  嚟緊端午節佢識包粽呀
[00:01:14.240 --> 00:01:15.520]  中秋節
[00:01:15.520 --> 00:01:17.320]  佢真係識整月餅㗎喎
[00:01:17.320 --> 00:01:19.360]  過年呢
[00:01:19.360 --> 00:01:21.660]  又識整煎堆油角蛋散
[00:01:21.660 --> 00:01:23.460]  糕點
[00:01:25.260 --> 00:01:29.100]  我當時冇問呀 而家先生問我阿媽點解佢識整啲咁嘅嘢嘅
[00:01:29.100 --> 00:01:30.880]  我冇一樣識
[00:01:30.880 --> 00:01:33.700]  又識寫大字
[00:01:33.700 --> 00:01:37.280]  我哋過年嘅時候呢 聖誕節嘅時候呢 我好記得
[00:01:37.280 --> 00:01:39.340]  聖誕節佢上山呢 而家唔得㗎喇
[00:01:39.340 --> 00:01:41.640]  上山斬一棵松樹返屋企
[00:01:41.640 --> 00:01:45.740]  然後搵啲棉花鋪住佢咁樣 縱然當時佢未信住
[00:01:45.740 --> 00:01:48.300]  佢都鍾意同我哋一齊過聖誕節喎
[00:01:48.300 --> 00:01:54.940]  佢就一個咁樣嘅一個咁樣嘅父親
[00:01:55.460 --> 00:01:57.760]  今日我記得嘅都係佢嘅好
[00:01:57.760 --> 00:01:59.820]  記得嘅都係佢
[00:01:59.820 --> 00:02:01.360]  美好的一面
[00:02:01.360 --> 00:02:04.940]  當然父親唔係
[00:02:04.940 --> 00:02:06.480]  每一個都唔係完全
[00:02:06.480 --> 00:02:10.560]  但係佢美好一面都仍然留喺我心靈嘅深處嘅裏面
[00:02:10.560 --> 00:02:16.200]  人到中年
[00:02:16.200 --> 00:02:17.240]  我覺得
[00:02:17.240 --> 00:02:19.800]  解約我哋嘅父母仍舊健在
[00:02:19.800 --> 00:02:21.340]  仍舊認得我哋
[00:02:21.340 --> 00:02:23.380]  仍舊可以同我哋傾計
[00:02:23.640 --> 00:02:26.200]  我覺得呢個係一件好值得感恩嘅事
[00:02:26.200 --> 00:02:28.260]  我哋仍舊可以去愛佢
[00:02:28.260 --> 00:02:29.800]  仍舊可以去服侍佢
[00:02:29.800 --> 00:02:31.580]  仍舊可以去關懷佢
[00:02:31.580 --> 00:02:33.120]  頭先
[00:02:33.120 --> 00:02:35.160]  周生和周柱同我哋所讀嘅經文
[00:02:35.160 --> 00:02:36.960]  係小路保羅
[00:02:36.960 --> 00:02:39.780]  佢向帖薩羅尼加教會嘅表白
[00:02:39.780 --> 00:02:43.880]  以一個母親嘅形象
