
[00:00:00.000 --> 00:00:03.000]  菩提師父讓我聽陳列道語先,讓我同心同德
[00:00:03.000 --> 00:00:05.500]  請請請,讓我們聽神道之前先禱告
[00:00:05.500 --> 00:00:11.000]  親愛的福神感謝你給我們能夠再次打開你的說話
[00:00:11.000 --> 00:00:13.000]  能夠讀你的說話
[00:00:13.000 --> 00:00:15.000]  取一份福氣
[00:00:15.000 --> 00:00:17.000]  求你讓我們真實
[00:00:17.000 --> 00:00:21.000]  也讓我們能夠曉得怎麼好好把握要解開一份生命
[00:00:21.000 --> 00:00:26.000]  每一天也能夠活出真正的生命的意義來
[00:00:26.000 --> 00:00:27.000]  求你的帶領
[00:00:27.000 --> 00:00:31.000]  也想在我們懇求你的聖靈
[00:00:31.000 --> 00:00:34.000]  幫助我們蒙主你的教訓
[00:00:34.000 --> 00:00:37.000]  好使我們聽進去的真道
[00:00:37.000 --> 00:00:40.000]  都能成為我們生命的一部分
[00:00:40.000 --> 00:00:45.000]  活出我們每一天有神生命的樣子出來
[00:00:45.000 --> 00:00:47.000]  求你的幫助,求你的帶領
[00:00:47.000 --> 00:00:50.000]  我們禱告,蒙主耶穌的名字,Amen
[00:00:50.000 --> 00:00:55.000]  在報道的經驗裡邊
[00:00:55.000 --> 00:00:58.000]  很多時候都會討論到一個題目
[00:00:58.000 --> 00:01:02.000]  在報道的經驗中,有時候經常討論一個題目
[00:01:02.000 --> 00:01:05.000]  就是討論到有關於神的存在的意義
[00:01:05.000 --> 00:01:08.000]  就是討論神存在的意義
[00:01:08.000 --> 00:01:11.000]  當討論到這個問題的時候
[00:01:11.000 --> 00:01:13.000]  在討論這個問題的時候
[00:01:13.000 --> 00:01:17.000]  很多談道的對象都會這樣回應
[00:01:17.000 --> 00:01:19.000]  很多談論的對象都會這樣回應
[00:01:19.000 --> 00:01:24.000]  他們說為什麼這個世界這麼多苦難不幸的事情呢
[00:01:24.000 --> 00:01:27.000]  為什麼這個世界這麼多苦難不幸的事情呢
[00:01:27.000 --> 00:01:29.000]  這些問題為什麼會問呢?
[00:01:29.000 --> 00:01:30.000]  你知道為什麼會這樣問嗎?
[00:01:30.000 --> 00:01:33.000]  因為很多時候當我們基督徒去報道的時候
[00:01:33.000 --> 00:01:35.000]  很多時候我們基督徒去報道的時候
[00:01:35.000 --> 00:01:37.000]  我們都經常都跟別人介紹
[00:01:37.000 --> 00:01:40.000]  神是一個很好的一位的神
[00:01:40.000 --> 00:01:44.000]  我們經常會向人介紹說耶和華神是一個很好的神
[00:01:44.000 --> 00:01:45.000]  祂有愛
