
[00:00:00.000 --> 00:00:03.000]  這個電影探討了很多課題
[00:00:03.000 --> 00:00:09.000]  包括生命的意義、親情的矛盾、人際的遭遇、人際關係的溝通
[00:00:09.000 --> 00:00:13.000]  其實女主角給我的印象很深刻
[00:00:13.000 --> 00:00:17.000]  她一直用負面的眼光去看著爸爸
[00:00:17.000 --> 00:00:22.000]  她看到的爸爸是一個重男輕女
[00:00:22.000 --> 00:00:25.000]  偏心哥哥的爸爸
[00:00:25.000 --> 00:00:28.000]  我記得有一場是她跟哥哥吵架的一幕
[00:00:28.000 --> 00:00:30.000]  在醫院裡
[00:00:30.000 --> 00:00:32.000]  她哥哥說了一句
[00:00:32.000 --> 00:00:35.000]  意思是你從小到大想做的
[00:00:35.000 --> 00:00:37.000]  爸爸也讓你做
[00:00:37.000 --> 00:00:40.000]  但是她一直沒有在意
[00:00:40.000 --> 00:00:42.000]  這是一個事實
[00:00:42.000 --> 00:00:44.000]  對她來說
[00:00:44.000 --> 00:00:47.000]  爸爸偏心哥哥
[00:00:47.000 --> 00:00:49.000]  不喜歡她
[00:00:49.000 --> 00:00:51.000]  是一個鐵一般的事實
[00:00:51.000 --> 00:00:56.000]  她每天都被這種傷痛折磨
[00:00:56.000 --> 00:00:59.000]  她對她爸爸又愛又恨
[00:00:59.000 --> 00:01:01.000]  一直都是跟街外人一樣
[00:01:01.000 --> 00:01:03.000]  叫她爸爸做文哥
[00:01:03.000 --> 00:01:05.000]  不叫她做爸爸
[00:01:05.000 --> 00:01:07.000]  她爸爸過世之後
[00:01:07.000 --> 00:01:10.000]  她看到她爸爸給她一封信
[00:01:10.000 --> 00:01:13.000]  才知道原來她爸爸很珍惜她
[00:01:13.000 --> 00:01:17.000]  她爸爸甚至不惜衝破
[00:01:17.000 --> 00:01:21.000]  一生所堅持的傳統禁忌
[00:01:21.000 --> 00:01:24.000]  去表達她的愛
[00:01:24.000 --> 00:01:26.000]  事實上
[00:01:26.000 --> 00:01:28.000]  如果我們人
[00:01:28.000 --> 00:01:31.000]  習慣了用負面眼光
[00:01:31.000 --> 00:01:34.000]  去看一些人或事情的時候
[00:01:34.000 --> 00:01:36.000]  就算
[00:01:36.000 --> 00:01:38.000]  一個多麼好的人
[00:01:38.000 --> 00:01:40.000]  一件多麼好的事
[00:01:40.000 --> 00:01:43.000]  我們都會覺得不好
[00:01:43.000 --> 00:01:46.000]  事實上在古往今來
[00:01:46.000 --> 00:01:48.000]  有很多人
