
[00:00:00.000 --> 00:00:03.500]  基督徒的喜樂我們在
[00:00:03.500 --> 00:00:07.200]  肥勒比書這本書裏一同學習
[00:00:07.200 --> 00:00:10.100]  我們看了好幾個重點
[00:00:10.100 --> 00:00:13.200]  上一次是由肥勒比書二章
[00:00:13.200 --> 00:00:14.600]  第一到十一節
[00:00:14.600 --> 00:00:17.200]  今天我們看十二到十八節
[00:00:17.200 --> 00:00:21.200]  上一次和大家看第二章一到十一節
[00:00:21.200 --> 00:00:25.400]  我們看到仕途保羅能夠喜樂的原因
[00:00:25.400 --> 00:00:29.900]  是因爲他看到信徒之間肢體的關係
[00:00:29.900 --> 00:00:32.700]  在肢體關係當中能夠活出一種
[00:00:32.700 --> 00:00:36.300]  捨己爲別人的見證
[00:00:36.300 --> 00:00:41.100]  特別他思想到我們最高的榜樣
[00:00:41.100 --> 00:00:42.500]  就是耶穌基督
[00:00:42.500 --> 00:00:45.900]  主耶穌他親自的虛己降世成人
[00:00:45.900 --> 00:00:48.700]  而且降卑成爲奴僕的身份
[00:00:48.700 --> 00:00:51.500]  最後被釘在十字架上
[00:00:51.500 --> 00:00:56.500]  他由至高到極低微是他捨己的愛
[00:00:56.500 --> 00:01:00.100]  感謝主因爲這樣神將他升高
[00:01:00.100 --> 00:01:02.300]  超乎萬明之上的名
[00:01:02.300 --> 00:01:04.700]  所以萬口都向他稱重
[00:01:04.700 --> 00:01:07.700]  萬室向他跪拜
[00:01:07.700 --> 00:01:10.300]  讓榮耀歸於父神
[00:01:10.300 --> 00:01:13.500]  保羅就是用這種基督的榜樣激勵我們
[00:01:13.500 --> 00:01:16.700]  使我們學習他最高的榜樣
[00:01:16.700 --> 00:01:19.500]  以至我們在學校舍己
[00:01:19.500 --> 00:01:22.700]  謙卑看別人比自己強
[00:01:22.700 --> 00:01:26.700]  以致我們同樣經歷到信徒之間
[00:01:26.700 --> 00:01:28.300]  這種美好的關係
[00:01:28.300 --> 00:01:31.700]  活出來的時候就有一份喜樂
[00:01:31.700 --> 00:01:34.900]  這是保羅喜樂的原因
