
[00:00:00.000 --> 00:00:03.080]  通常母親節我們都會講一些訊息
[00:00:03.080 --> 00:00:05.380]  去多謝我們的母親
[00:00:05.380 --> 00:00:09.060]  並且去重揚母親的偉大
[00:00:09.060 --> 00:00:12.300]  她們的忍耐和她們的信心
[00:00:12.300 --> 00:00:15.340]  還有我們很多時候都會做一些教導
[00:00:15.340 --> 00:00:20.400]  教導弟兄姊妹我們怎樣去更愛我們的媽媽
[00:00:20.400 --> 00:00:22.200]  更多的多謝她們
[00:00:22.200 --> 00:00:25.000]  不過今年我想和各位一起思想一個題目
[00:00:25.000 --> 00:00:28.520]  叫「神的信實和母親的信」
[00:00:28.520 --> 00:00:30.840]  我想不單單我們去多謝她們
[00:00:30.840 --> 00:00:33.180]  和看見她們對我們的愛
[00:00:33.180 --> 00:00:38.740]  我想願意我們今天一起看見一個偉大的母親
[00:00:38.740 --> 00:00:41.960]  一個信實的母親的後面
[00:00:41.960 --> 00:00:44.460]  是有一位偉大的上帝
[00:00:44.460 --> 00:00:48.420]  和有一位是偉大信實的上帝
[00:00:48.420 --> 00:00:51.340]  我們今天講到一個「Faithful Mother」
[00:00:51.340 --> 00:00:54.400]  我們亦都講到在「Faithful Mother」的後面
[00:00:54.400 --> 00:00:57.760]  是有一個「Faithful 信實的上帝」
[00:00:57.760 --> 00:00:59.980]  究竟甚麼是信實呢?
[00:00:59.980 --> 00:01:02.240]  甚麼是「Faithfulness」呢?
[00:01:02.240 --> 00:01:03.920]  我聽過一個見證
[00:01:03.920 --> 00:01:06.800]  是講到有一對夫婦
[00:01:06.800 --> 00:01:09.360]  太太的母親
[00:01:09.360 --> 00:01:11.600]  她都不是很年老
[00:01:11.600 --> 00:01:14.640]  但她就有了老人痴呆症
[00:01:14.640 --> 00:01:21.640]  老人痴呆症甚至要長期住在療養院的地方
[00:01:21.640 --> 00:01:25.760]  並且到一個地步已經不能夠認得人
[00:01:25.760 --> 00:01:27.760]  不認得她的十蚊仔
[00:01:27.760 --> 00:01:29.680]  不認得她自己的丈夫
[00:01:29.680 --> 00:01:34.840]  但這個丈夫都是每一天都去探望太太
[00:01:34.840 --> 00:01:37.320]  並且很多時候都自己煲湯
[00:01:37.320 --> 00:01:40.680]  拿給太太餵她
[00:01:40.680 --> 00:01:46.240]  在療養院裏面的醫務人員覺得丈夫很好
[00:01:46.240 --> 00:01:48.400]  就跟他說
[00:01:48.400 --> 00:01:51.400]  「你是真是好的先生」
[00:01:51.400 --> 00:01:53.400]  「你不用經常來」
[00:01:53.400 --> 00:01:56.640]  「因為我們知道她的需要」
[00:01:56.640 --> 00:01:59.240]  「我們會好好照顧她」
[00:01:59.240 --> 00:02:02.040]  「因為她已經不認得所有的人」
[00:02:02.040 --> 00:02:03.800]  「所以你不需要時時來」
[00:02:03.800 --> 00:02:05.560]  這個先生就跟他說
[00:02:05.560 --> 00:02:07.760]  「你不明白的」
[00:02:07.760 --> 00:02:10.400]  「雖然她不認識我」
[00:02:10.400 --> 00:02:12.040]  「她已經認不出我」
[00:02:12.040 --> 00:02:13.360]  「但我認得她」
[00:02:13.360 --> 00:02:14.840]  「我知道她是誰」
[00:02:14.840 --> 00:02:17.400]  「所以我時時都要來看她」
[00:02:17.400 --> 00:02:20.120]  「這是我歡喜這樣做」
[00:02:20.120 --> 00:02:22.640]  這個就叫做「Faithfulness」
[00:02:22.640 --> 00:02:25.360]  這個就叫做「信實」
[00:02:25.360 --> 00:02:30.440]  不單單丈夫對太太這樣待她
[00:02:30.440 --> 00:02:35.080]  今天我們看見一個好媽媽的背後
[00:02:35.080 --> 00:02:37.960]  其實有一個信實的上帝在裏面
[00:02:37.960 --> 00:02:40.240]  有一個「Faithful God」在裏面
[00:02:40.240 --> 00:02:41.600]  這個信實的神
[00:02:41.600 --> 00:02:44.480]  可能有時在各樣的困難當中
[00:02:44.480 --> 00:02:46.160]  我們再忘記了祂
[00:02:46.160 --> 00:02:47.720]  我們或者不認祂
[00:02:47.720 --> 00:02:49.800]  或者我們都忘記了祂
[00:02:49.800 --> 00:02:52.440]  但這位上帝、這位神
[00:02:52.440 --> 00:02:54.840]  祂是永遠的看著我們
[00:02:54.840 --> 00:02:56.760]  祂是記得我們
[00:02:56.760 --> 00:02:59.440]  雖然我們不記得祂
[00:02:59.440 --> 00:03:01.440]  但祂是記得我們
[00:03:01.440 --> 00:03:05.960]  我們今天會透過一個很普通的母親
[00:03:05.960 --> 00:03:10.960]  她亦是一個受到極大痛苦的母親
[00:03:10.960 --> 00:03:13.520]  說到她自己那種經歷
[00:03:13.520 --> 00:03:17.440]  亦都談到怎樣上帝是藉著這個母親
[00:03:17.440 --> 00:03:19.680]  成就上帝自己的旨意
[00:03:19.680 --> 00:03:22.240]  並且是建立了她的國度
[00:03:22.240 --> 00:03:25.560]  而且是大大的祝福這位母親
