
[00:00:00.000 --> 00:00:01.440]  哈啰,弟兄姊妹
[00:00:01.440 --> 00:00:04.580]  你好,土浸的弟兄姊妹
[00:00:04.580 --> 00:00:07.840]  大家明不明白我在說什麼
[00:00:07.840 --> 00:00:10.160]  現在我們可能要叫人「哈啰」
[00:00:10.160 --> 00:00:12.720]  要說多些「你好」
[00:00:12.720 --> 00:00:15.600]  土浸都是很歡迎不同的弟兄姊妹
[00:00:15.600 --> 00:00:18.520]  和不同的新來賓來教會
[00:00:18.520 --> 00:00:22.180]  一同聚集,一同敬拜主,一同認識天父
[00:00:22.180 --> 00:00:25.240]  今天看到我沒有戴口罩,都期待了很久
[00:00:25.240 --> 00:00:27.660]  終於可以慢慢復常了
[00:00:27.660 --> 00:00:32.720]  我也想了,我戴了口罩講到
[00:00:32.720 --> 00:00:36.520]  都有兩三年時間,如果在現場
[00:00:36.520 --> 00:00:39.620]  有段時間我們就要用網上的形式
[00:00:39.620 --> 00:00:43.680]  就只剩下幾個人在場,我們就可以脫口罩
[00:00:43.680 --> 00:00:47.220]  我剛才謝謝我們的領會
[00:00:47.220 --> 00:00:50.380]  幫我們講了今天的講題
[00:00:50.380 --> 00:00:54.180]  尋找耶穌的地圖三,天國臣子
[00:00:54.180 --> 00:00:57.800]  有三,即是一和二,不知道大家還有沒有印象
[00:00:57.800 --> 00:00:59.660]  給大家一點點重溫
[00:00:59.660 --> 00:01:03.160]  其實我會連續四次講八幅
[00:01:03.160 --> 00:01:04.840]  每次講兩個幅
[00:01:04.840 --> 00:01:07.620]  一月一日開始就講「我是貧窮」
[00:01:07.620 --> 00:01:10.040]  講兩幅,稍後會再點提一點點
[00:01:10.040 --> 00:01:11.800]  接著是「心靈淨土」
[00:01:11.800 --> 00:01:14.460]  另外今天就是「天國臣子」
[00:01:14.460 --> 00:01:17.700]  月尾我會講「活出仁義」
[00:01:17.700 --> 00:01:22.380]  重溫一下,在一月一日我們講「我是貧窮」
[00:01:22.380 --> 00:01:25.820]  「尋找耶穌的地圖」意思是
[00:01:25.820 --> 00:01:27.820]  我們怎樣才能找到耶穌呢?
[00:01:27.820 --> 00:01:31.320]  就是要找到天國的群體
[00:01:31.320 --> 00:01:33.320]  怎樣才能找到天國的群體呢?
[00:01:33.320 --> 00:01:35.620]  我們就要走出八幅
[00:01:35.620 --> 00:01:38.620]  八幅就是尋找天國的地圖
[00:01:38.620 --> 00:01:42.180]  第一步就是要找出天國的入口
[00:01:42.180 --> 00:01:45.700]  天國的入口就是我們要承認我們是軟弱,我們是貧窮
[00:01:45.700 --> 00:01:47.340]  我們要依靠主
[00:01:47.340 --> 00:01:49.760]  所以第一句「虛心令人有福了」
[00:01:49.760 --> 00:01:52.940]  「愚民」意思是我們要承認我們在零裡面是貧窮的
[00:01:52.940 --> 00:01:54.940]  我們是軟弱的,我們是無力的
[00:01:54.940 --> 00:01:56.940]  當你覺得自己很得的時候
[00:01:56.940 --> 00:01:59.420]  你根本就不需要依靠神,你就找不到上帝
[00:01:59.420 --> 00:02:01.980]  還有我們要為了我們的生命去哀動
[00:02:01.980 --> 00:02:03.980]  我們知道我們沒有了上帝
[00:02:03.980 --> 00:02:07.180]  我們就面對死亡的永恆的結局
[00:02:07.180 --> 00:02:11.140]  所以我們也要學習天父的同悲同感
[00:02:11.140 --> 00:02:14.420]  我們天國人應該有同天父的憐憫的心腸
[00:02:14.420 --> 00:02:17.020]  所以第二句「哀動的人有福了」
[00:02:17.020 --> 00:02:18.660]  因為他們必得安慰
[00:02:18.660 --> 00:02:23.820]  我們要去共感天父對生命的那份情
[00:02:23.820 --> 00:02:25.820]  當我們有這份天父的情
[00:02:25.820 --> 00:02:27.820]  我們就能夠進入天國
[00:02:27.820 --> 00:02:32.060]  在當中我們要學習一份謙遊和清心
[00:02:32.060 --> 00:02:34.060]  在另外的福裡面說
[00:02:34.060 --> 00:02:37.860]  「溫柔的人有福了,因為他們必承受地土」
[00:02:37.860 --> 00:02:41.340]  「清心的人有福了,因為他們必得見神」
[00:02:41.340 --> 00:02:44.860]  在年初一的崇拜裡面提醒大家
[00:02:44.860 --> 00:02:47.980]  我們有一個謙虛溫柔的心
