
[00:00:00.000 --> 00:00:02.000]  看完節目又做一日
[00:00:02.000 --> 00:00:04.560]  眨眼生命樹又同大家讀聖經
[00:00:04.560 --> 00:00:06.080]  聖經人、聖經事
[00:00:06.080 --> 00:00:08.800]  看完聖經背後的上帝工作
[00:00:08.800 --> 00:00:12.000]  今日的題目:耶和華已經離開了
[00:00:12.000 --> 00:00:15.920]  這是一個很大的嘆息
[00:00:15.920 --> 00:00:18.400]  耶和華離開了
[00:00:18.400 --> 00:00:24.080]  離開了,神不在了,不和他一齊了
[00:00:24.080 --> 00:00:30.240]  史詩記十六章:大利拉見他把心中所藏的刀告訴了他
[00:00:30.240 --> 00:00:34.880]  就打發人到菲利士人的首領那裡對他們說
[00:00:34.880 --> 00:00:38.640]  他已經把心中所藏的刀告訴我了
[00:00:38.640 --> 00:00:41.360]  請你們再上來一次
[00:00:41.360 --> 00:00:45.200]  如果我應該加一個括號
[00:00:45.200 --> 00:00:47.600]  記得帶錢
[00:00:47.600 --> 00:00:49.040]  再上來一次
[00:00:49.040 --> 00:00:54.400]  於是菲利士的首領就手裏拿著銀紙
[00:00:54.400 --> 00:00:55.840]  上到婦人那裡
[00:00:55.840 --> 00:00:57.760]  沒有說多少個首領
[00:00:57.760 --> 00:00:59.680]  沒有說帶多少人
[00:00:59.680 --> 00:01:01.360]  沒有說帶多少錢
[00:01:01.360 --> 00:01:03.360]  終於這次成功了
[00:01:03.360 --> 00:01:04.880]  說了
[00:01:04.880 --> 00:01:07.760]  其實每次都是這樣
[00:01:07.760 --> 00:01:11.760]  今天會不會都是半信半疑呢?
[00:01:11.760 --> 00:01:13.120]  也不奇怪
[00:01:13.120 --> 00:01:20.480]  大利拉使參孫浸著他的膝睡覺
[00:01:20.480 --> 00:01:26.240]  並且叫了一個人來剃除他頭上的七條髮柳
[00:01:26.240 --> 00:01:29.760]  於是大利拉克制他
[00:01:29.760 --> 00:01:33.600]  他的力氣就離開他了
[00:01:33.600 --> 00:01:40.160]  今天你看到用黃色螢光的字
