
[00:00:00.000 --> 00:00:04.000]  大家醒了嗎? 真的! 醒了嗎? 醒了就給我一個「Amen」,謝謝!
[00:00:04.000 --> 00:00:07.000]  知道為什麼嗎? 因為我還沒醒來
[00:00:07.000 --> 00:00:11.000]  我昨晚睡得很差,我差不多好像沒有睡覺,知道為什麼嗎?
[00:00:11.000 --> 00:00:16.000]  哇! 超級內疚! 剛才我一邊唱歌一邊內疚
[00:00:16.000 --> 00:00:20.000]  話說昨天我們去完Truck的Trip之後,大家有沒有去到?
[00:00:20.000 --> 00:00:25.000]  就是服務完了,然後我就走了去打火鍋,OK?
[00:00:25.000 --> 00:00:31.000]  我打火鍋的時候,我就要回車裡拿東西,拿一個ChiChi,OK?
[00:00:31.000 --> 00:00:35.000]  拿一隻小狗一起在露天吃,很開心
[00:00:35.000 --> 00:00:38.000]  然後走著走著,突然間後面有聲音說:
[00:00:38.000 --> 00:00:40.000]  「我們去見耶穌了!」
[00:00:40.000 --> 00:00:44.000]  然後我馬上說:「喂? 這麼好?」
[00:00:44.000 --> 00:00:48.000]  一轉過去說:「要見嗎? 找我吧! 我是傳道人來的!」
[00:00:48.000 --> 00:00:50.000]  然後他說:「你是傳道人來的?」 我說:「是的!」
[00:00:50.000 --> 00:00:54.000]  然後他說:「我們也認識一個傳道人」
[00:00:54.000 --> 00:01:00.000]  我說:「誰?」 他就說我的名字是外國人來的
[00:01:00.000 --> 00:01:06.000]  他說:「是的! 他是傳道,比那些會說廣東話的人更好」
[00:01:06.000 --> 00:01:09.000]  我的反應是:「你聽我說了嗎?」
[00:01:09.000 --> 00:01:11.000]  我說:「我心想而已」
[00:01:11.000 --> 00:01:16.000]  然後我跟他聊了一會,看見他的海報,他不斷叫我去
[00:01:16.000 --> 00:01:19.000]  我說:「我是傳道人來的,我要跟你去?」
[00:01:19.000 --> 00:01:21.000]  我說:「你過來會怎麼教他呢?」
[00:01:21.000 --> 00:01:23.000]  他叫我去,我就叫他來,會怎麼教他呢?
[00:01:23.000 --> 00:01:31.000]  然後我心想:「不要再跟他周旋了,他已經相信了,我去吃飯了」
[00:01:31.000 --> 00:01:37.000]  其實我看見他的海報好像有點不對勁,我不肯定
[00:01:37.000 --> 00:01:43.000]  但如果他是「夜證」,又或者他是「魔門教」
[00:01:43.000 --> 00:01:50.000]  如果是這樣的話,我是很應該去拉他一邊吃飯,慢慢跟他聊,同意嗎?
[00:01:50.000 --> 00:01:54.000]  所以我剛才是非常憂傷的靈
[00:01:54.000 --> 00:01:56.000]  昨晚我睡得不太好
[00:01:56.000 --> 00:01:58.000]  令我想起「笑痕傳」
[00:01:58.000 --> 00:02:01.000]  那肥力真的很厲害
[00:02:01.000 --> 00:02:05.000]  一叫他立刻Action,立刻就傳呼音了
[00:02:05.000 --> 00:02:07.000]  我昨天就交不到傳人
[00:02:07.000 --> 00:02:10.000]  所以希望今天可以交傳人,好嗎?
[00:02:10.000 --> 00:02:12.000]  大家跟我一起
[00:02:12.000 --> 00:02:15.000]  如果我有什麼錯漏的,絕對是因為睡眠不足
[00:02:15.000 --> 00:02:17.000]  但聖靈保祝,可以嗎?我們一起祈禱
[00:02:17.000 --> 00:02:23.000]  天父聖地,我們感謝祢,感謝祢讓我們一家人聽祢的道
[00:02:23.000 --> 00:02:26.000]  求祢保守我們
[00:02:26.000 --> 00:02:29.000]  人有很多錯漏,感謝祢恩典
[00:02:29.000 --> 00:02:34.000]  我們每一個人都很需要迴轉歸向祢
[00:02:34.000 --> 00:02:40.000]  求祢賜予我們力量,聖靈
[00:02:40.000 --> 00:02:44.000]  求祢將恩典覆蓋我們全人
[00:02:44.000 --> 00:02:47.000]  令我們從心底發出祢的香氣
[00:02:47.000 --> 00:02:50.000]  令這個世界未相信祢的人
[00:02:50.000 --> 00:02:56.000]  可以因著我們而得救,得生命,得得更豐盛
[00:02:56.000 --> 00:02:59.000]  感謝祢聽我們禱告,奉主耶穌的命祈求
[00:02:59.000 --> 00:03:01.000]  Amen, alright
[00:03:01.000 --> 00:03:03.000]  今天我們的題目
[00:03:03.000 --> 00:03:05.000]  OK, good, 一起讀,好嗎?
[00:03:05.000 --> 00:03:09.000]  1, 2, 3, 迴轉,實施
[00:03:09.000 --> 00:03:14.000]  那你見到,不是迴轉壽司
[00:03:14.000 --> 00:03:16.000]  我想這個主題是因為
[00:03:16.000 --> 00:03:19.000]  知道你們都很喜歡吃迴轉壽司,是嗎?
[00:03:19.000 --> 00:03:22.000]  想吃迴轉壽司,請你舉手
[00:03:22.000 --> 00:03:23.000]  是否這麼少?
[00:03:23.000 --> 00:03:27.000]  你每一次吃迴轉壽司,你會記得甚麼?
[00:03:27.000 --> 00:03:29.000]  迴轉叫甚麼?
[00:03:29.000 --> 00:03:30.000]  實施
[00:03:30.000 --> 00:03:32.000]  不一定是迴轉壽司
[00:03:32.000 --> 00:03:36.000]  你吃日本餐,印度餐都要迴轉壽司
[00:03:36.000 --> 00:03:39.000]  人很多罪,是嗎?
[00:03:39.000 --> 00:03:41.000]  經常錯漏
[00:03:41.000 --> 00:03:43.000]  所以我們經常都要迴轉
[00:03:43.000 --> 00:03:45.000]  我們每天迴轉都不行
[00:03:45.000 --> 00:03:47.000]  你或者覺得你們很煩
[00:03:47.000 --> 00:03:50.000]  你講這麼多個星期都是講迴轉,是嗎?
[00:03:50.000 --> 00:03:52.000]  我問你
[00:03:52.000 --> 00:03:56.000]  講了這麼多星期,你有沒有犯罪呢?
