
[00:00:00.000 --> 00:00:04.260]  不知道大家對猶太人有什麼感覺
[00:00:04.260 --> 00:00:07.000]  大家有沒有猶太人的朋友
[00:00:07.000 --> 00:00:12.320]  有沒有一些對猶太人的刻板印象
[00:00:12.320 --> 00:00:17.660]  例如猶太人一般都很精明的
[00:00:17.660 --> 00:00:20.660]  他們數學很好的
[00:00:20.660 --> 00:00:22.660]  很會賺錢的
[00:00:22.660 --> 00:00:26.200]  我曾經聽過一個故事
[00:00:26.200 --> 00:00:29.120]  講到一位猶太人的媽媽
[00:00:29.740 --> 00:00:31.740]  她有三個兒子
[00:00:31.740 --> 00:00:33.740]  本來在中國那裡生活的
[00:00:33.740 --> 00:00:35.740]  後來聽說
[00:00:35.740 --> 00:00:37.740]  如果回到以色列
[00:00:37.740 --> 00:00:41.740]  猶太人會得到政府很多優惠的
[00:00:41.740 --> 00:00:43.740]  她就帶了三個兒子
[00:00:43.740 --> 00:00:45.740]  回到以色列定居了
[00:00:45.740 --> 00:00:48.740]  為了教導那些孩子
[00:00:48.740 --> 00:00:51.740]  認識錢財的重要
[00:00:51.740 --> 00:00:55.740]  於是就設立了一個做家務的制度
[00:00:55.740 --> 00:01:02.740]  做什麼就有多少錢給小孩做零用錢
[00:01:02.740 --> 00:01:08.740]  於是大兒子學會了
[00:01:08.740 --> 00:01:13.740]  看到媽媽有時煎一些餅
[00:01:13.740 --> 00:01:15.740]  在中國那裡學回來的
[00:01:15.740 --> 00:01:20.740]  於是就帶一些餅回去賣給同學
[00:01:20.740 --> 00:01:23.740]  賺到錢了
[00:01:23.740 --> 00:01:25.740]  小孩覺得
[00:01:25.740 --> 00:01:27.740]  錢賺到了
[00:01:27.740 --> 00:01:29.740]  但好像賺得太少了
[00:01:29.740 --> 00:01:31.740]  他就想辦法
[00:01:31.740 --> 00:01:33.740]  我也帶一些餅回學校
[00:01:33.740 --> 00:01:35.740]  給來賣
[00:01:35.740 --> 00:01:39.740]  但是他就不是直接賣給同學
[00:01:39.740 --> 00:01:42.740]  他把餅切成小塊
[00:01:42.740 --> 00:01:45.740]  然後免費請同學吃
[00:01:45.740 --> 00:01:47.740]  同學覺得好味道
[00:01:47.740 --> 00:01:49.740]  想買可以
[00:01:49.740 --> 00:01:51.740]  想吃第二塊就要買了
[00:01:51.740 --> 00:01:53.740]  第二塊就要給錢買了
[00:01:53.740 --> 00:01:57.740]  餅就切得小一點
[00:01:57.740 --> 00:01:59.740]  就算出錢買都小一點
[00:01:59.740 --> 00:02:03.740]  於是他就賺多了錢
[00:02:03.740 --> 00:02:06.740]  第三個弟弟看到兩個哥哥
[00:02:06.740 --> 00:02:09.740]  都賺到錢了
[00:02:09.740 --> 00:02:13.740]  不過他們都要花成本
[00:02:13.740 --> 00:02:16.740]  他就想有沒有辦法
[00:02:16.740 --> 00:02:18.740]  可以不用花成本的
[00:02:18.740 --> 00:02:20.740]  又賺到錢呢
[00:02:20.740 --> 00:02:22.740]  他又想到了
[00:02:22.740 --> 00:02:24.740]  結果他又用什麼方法呢
[00:02:24.740 --> 00:02:27.740]  他就寫故事
[00:02:27.740 --> 00:02:29.740]  寫了故事
[00:02:29.740 --> 00:02:31.740]  印刷了
[00:02:31.740 --> 00:02:33.740]  不知道怎麼印
[00:02:33.740 --> 00:02:35.740]  拜了給同學
[00:02:35.740 --> 00:02:37.740]  如果看完第一天
[00:02:37.740 --> 00:02:39.740]  第二天想看就要給錢買了
[00:02:39.740 --> 00:02:43.740]  於是他又不用本錢都賺到錢
[00:02:43.740 --> 00:02:53.740]  聽說美國很多有錢人都是猶太人
[00:02:53.740 --> 00:02:56.740]  由於他們家庭教育
[00:02:56.740 --> 00:02:59.740]  從小就教他們要賺錢
[00:02:59.740 --> 00:03:01.740]  要賺多錢
[00:03:01.740 --> 00:03:04.740]  他們不但懂得賺錢
[00:03:04.740 --> 00:03:08.740]  還懂得用錢去支持政客
[00:03:08.740 --> 00:03:12.740]  於是美國無論哪一個政黨執政
[00:03:12.740 --> 00:03:16.740]  他們都一定支持猶太人
[00:03:16.740 --> 00:03:21.740]  這些都是一些對猶太人的刻板印象
[00:03:21.740 --> 00:03:24.740]  但羅馬書的作者保羅
[00:03:24.740 --> 00:03:27.740]  他就很關愛猶太人
[00:03:27.740 --> 00:03:30.740]  因為他自己就是猶太人
[00:03:30.740 --> 00:03:34.740]  他從舊約聖經中去思考
[00:03:34.740 --> 00:03:38.740]  有關猶太人得救的問題
[00:03:38.740 --> 00:03:42.740]  所以在羅馬書第三部分
[00:03:42.740 --> 00:03:44.740]  由九章到十一章
[00:03:44.740 --> 00:03:48.740]  他特別討論這個問題
[00:03:48.740 --> 00:03:52.740]  在所有其他的新約書卷
[00:03:52.740 --> 00:03:56.740]  保羅所寫的書卷都沒有討論
[00:03:56.740 --> 00:03:59.740]  其他不是保羅寫的也沒有討論
[00:03:59.740 --> 00:04:01.740]  只是在這裡有提到
[00:04:01.740 --> 00:04:04.740]  有關猶太人得救的問題
[00:04:04.740 --> 00:04:10.740]  因為羅馬教會中有外邦人信徒
[00:04:10.740 --> 00:04:13.740]  也有猶太人的信徒
[00:04:13.740 --> 00:04:15.740]  當然在其他地方的教會也有
[00:04:15.740 --> 00:04:20.740]  但羅馬教會有些特別
[00:04:20.740 --> 00:04:22.740]  他已經在第一部分
[00:04:22.740 --> 00:04:26.740]  一至四章建立了恩信稱義的道理
[00:04:26.740 --> 00:04:30.740]  換言之一個人能夠被上帝稱義
