
[00:00:00.000 --> 00:00:03.800]  由今年年初開始,我們一直在說
[00:00:03.800 --> 00:00:08.400]  同福堂要成為一間真門徒的教會
[00:00:08.400 --> 00:00:11.900]  甚麼是真門徒呢?是真心跟隨耶穌的人
[00:00:11.900 --> 00:00:15.100]  以生命見證、具體的行動
[00:00:15.100 --> 00:00:20.900]  去讓這個世界知道我們是真心跟隨真實的耶穌
[00:00:20.900 --> 00:00:24.100]  是甚麼表現真門徒呢?
[00:00:24.100 --> 00:00:25.300]  有四樣東西
[00:00:25.300 --> 00:00:26.800]  看得見的愛
[00:00:26.800 --> 00:00:28.600]  明白主的心
[00:00:28.600 --> 00:00:30.200]  顛覆生命的能力
[00:00:30.200 --> 00:00:31.500]  是聖靈的恩告
[00:00:31.500 --> 00:00:33.400]  讓我們有能力去做見證
[00:00:33.400 --> 00:00:35.600]  被神扭轉的生命
[00:00:35.600 --> 00:00:37.400]  就是當我們被聖靈充滿
[00:00:37.400 --> 00:00:39.300]  被聖靈跟隨的時間
[00:00:39.300 --> 00:00:41.800]  我們有這個真實的生命見證
[00:00:41.800 --> 00:00:44.300]  在社會造炎造光
[00:00:44.300 --> 00:00:45.700]  看得見的愛
[00:00:45.700 --> 00:00:48.400]  是源於天父的愛
[00:00:48.400 --> 00:00:50.100]  我們作為父母的
[00:00:50.100 --> 00:00:53.400]  都尚且知道給最好的我們的兒女
[00:00:53.400 --> 00:00:55.200]  何況我們在天上的父
[00:00:55.200 --> 00:00:58.100]  要將最好的聖靈賜給我們
[00:00:58.100 --> 00:01:00.900]  聖靈是不斷跟我們說話
[00:01:00.900 --> 00:01:02.500]  藉著我們聽道
[00:01:02.500 --> 00:01:05.500]  藉著我們剛才邀請大家去禁食禱告
[00:01:05.500 --> 00:01:07.300]  我們靈修禱告
[00:01:07.300 --> 00:01:10.200]  聖靈用微小的聲音跟我們說話
[00:01:10.200 --> 00:01:12.800]  當我們學習一路聽神的話
[00:01:12.800 --> 00:01:14.700]  我們就慢慢去明白
[00:01:14.700 --> 00:01:15.900]  神的心腸
[00:01:15.900 --> 00:01:17.100]  神的心意
[00:01:17.100 --> 00:01:18.400]  神對我們教會
[00:01:18.400 --> 00:01:20.300]  對我們自己的帶領
[00:01:20.300 --> 00:01:22.500]  祂是一個甚麼的神
[00:01:22.500 --> 00:01:24.300]  但當我們一路聽的時候
[00:01:24.300 --> 00:01:26.000]  聖靈不單止跟我們說話
[00:01:26.000 --> 00:01:27.500]  讓我們明白祂
[00:01:27.500 --> 00:01:30.700]  神的說話是可以更新我們的生命
[00:01:30.700 --> 00:01:32.900]  所以當我們一路聽神的說話
[00:01:32.900 --> 00:01:35.200]  我們是會被聖靈改變的
[00:01:35.200 --> 00:01:37.500]  有些弟兄姊妹的改變是180度
[00:01:37.500 --> 00:01:39.000]  很快的改變
[00:01:39.000 --> 00:01:40.800]  但有些弟兄姊妹
[00:01:40.800 --> 00:01:42.300]  他是慢慢來的
[00:01:42.300 --> 00:01:44.300]  神是一路一路塗造他
[00:01:44.300 --> 00:01:45.400]  塑造他
[00:01:45.400 --> 00:01:47.500]  讓他的生命改變
[00:01:47.500 --> 00:01:48.800]  無論是怎樣都好
[00:01:48.800 --> 00:01:50.100]  到最後
[00:01:50.100 --> 00:01:53.400]  這班弟兄姊妹是被神顛覆他的生命
[00:01:53.400 --> 00:01:54.600]  因為聖靈的能力
[00:01:54.600 --> 00:01:56.500]  是可以扭轉我們的人生
[00:01:56.500 --> 00:01:58.800]  被神更新的生命
[00:01:58.800 --> 00:02:00.600]  是可以讓人看得到
[00:02:00.600 --> 00:02:02.800]  讓人在你和我的生命裏面
[00:02:02.800 --> 00:02:04.500]  知道耶穌是真實
[00:02:04.500 --> 00:02:06.200]  所以一切的生命改變
[00:02:06.200 --> 00:02:07.200]  一切的祝福
[00:02:07.200 --> 00:02:10.300]  都是源於我們願意聽聖靈的聲音
[00:02:10.300 --> 00:02:10.900]  所以弟兄姊妹
[00:02:10.900 --> 00:02:13.200]  我們用一首詩歌敬拜我們主的時間
[00:02:13.200 --> 00:02:14.300]  我們為自己去禱告
[00:02:14.300 --> 00:02:15.700]  為我們的教會去禱告
[00:02:15.700 --> 00:02:17.800]  願意我們的教會成為一間
[00:02:17.800 --> 00:02:19.700]  願意聽神的聲音的教會
[00:02:19.700 --> 00:02:22.600]  願我們自己都成為願意聽
[00:02:22.600 --> 00:02:24.200]  神的聲音的
[00:02:24.200 --> 00:02:26.100]  神的中心跟隨者
[00:02:26.100 --> 00:02:27.400]  主在打擾我們的心
[00:02:27.400 --> 00:02:28.400]  打擾我們的靈
[00:02:28.400 --> 00:02:30.200]  打擾我們的耳朵
[00:02:30.200 --> 00:02:31.800]  讓我們遇見祢
[00:02:31.800 --> 00:02:33.700]  主今日我們來到
[00:02:33.700 --> 00:02:34.800]  我們只有一個目的
[00:02:34.800 --> 00:02:36.300]  是要遇見祢
[00:02:36.300 --> 00:02:39.300]  所以讓我們聆聽主祢的聲音
[00:02:39.300 --> 00:02:41.800]  讓我們聽著祢的說話
[00:02:41.800 --> 00:02:43.200]  真理的靈來到
[00:02:43.200 --> 00:02:45.700]  幫助我們更加明白祢的心
[00:02:45.700 --> 00:02:47.500]  亦都是改變我們的生命
[00:02:47.500 --> 00:02:48.500]  我們奉耶穌基督的名
[00:02:48.500 --> 00:02:50.700]  吩咐一切心硬驕傲
[00:02:50.700 --> 00:02:52.800]  攔阻我們聽著祢的聲音
[00:02:52.800 --> 00:02:54.200]  攔阻我們親近祢
[00:02:54.200 --> 00:02:56.900]  一切不屬於耶穌的人都要離開頂展會的新生命
[00:02:56.900 --> 00:02:57.900]  離開這個殿
[00:02:57.900 --> 00:02:58.900]  主在這個殿是祢的
[00:02:58.900 --> 00:03:01.100]  所以祢在我們當中坐著為和
[00:03:01.100 --> 00:03:02.900]  我們頂展會都是聖靈的殿
[00:03:02.900 --> 00:03:05.200]  求祢在我們當中去掌權
[00:03:05.200 --> 00:03:06.200]  帶領我們
[00:03:06.200 --> 00:03:08.100]  讓我們進入祢的同在
[00:03:08.100 --> 00:03:09.700]  分別為聖歸向祢
[00:03:09.700 --> 00:03:11.000]  多謝你聽我們禱告
