
[00:00:00.000 --> 00:00:04.000]  我們已經看過啟示錄第二章
[00:00:04.000 --> 00:00:10.000]  看過主耶穌怎樣評價第二章裏面的四間教會
[00:00:10.000 --> 00:00:16.000]  同時我們也認識到在第一世紀末期
[00:00:16.000 --> 00:00:22.000]  教會正在面對社會的大氣候
[00:00:22.000 --> 00:00:27.000]  首先我們知道他們要面對的問題有四大方面
[00:00:27.000 --> 00:00:30.000]  首先是政治的壓迫
[00:00:30.000 --> 00:00:34.000]  基督教在當時是屬於一個非法的宗教
[00:00:34.000 --> 00:00:39.000]  羅馬政府不承認基督教
[00:00:39.000 --> 00:00:41.000]  所以他們要迫害基督徒
[00:00:41.000 --> 00:00:43.000]  要他們放棄信仰
[00:00:43.000 --> 00:00:47.000]  要他們去拜皇帝像
[00:00:47.000 --> 00:00:53.000]  甚至對拜過皇帝像的人發一張良民證給他們
[00:00:53.000 --> 00:00:58.000]  如果沒有良民證的人就不能做買賣
[00:00:58.000 --> 00:01:00.000]  換句話說
[00:01:00.000 --> 00:01:03.000]  政府除了用暴力對待基督徒之外
[00:01:03.000 --> 00:01:07.000]  也對基督徒使用經濟的壓力
[00:01:07.000 --> 00:01:10.000]  要迫他們放棄信仰
[00:01:10.000 --> 00:01:14.000]  除了政治上和經濟的迫害之外
[00:01:14.000 --> 00:01:18.000]  其實當時的基督徒還有經商的壓力
[00:01:18.000 --> 00:01:25.000]  由於當時的商人有很多商會的組織
[00:01:25.000 --> 00:01:28.000]  他們要談生意的時候
[00:01:28.000 --> 00:01:36.000]  要談判的地方就是去拜偶像的神廟進行
[00:01:36.000 --> 00:01:44.000]  一個基督徒商人就要面對是否繼續做生意的壓力
[00:01:44.000 --> 00:01:48.000]  除了在宗教方面
[00:01:48.000 --> 00:01:52.000]  猶太人也會給他們很大的壓力
[00:01:52.000 --> 00:01:56.000]  一個猶太人信了基督教
[00:01:56.000 --> 00:02:01.000]  就會被猶太人趕出他們的會堂
[00:02:01.000 --> 00:02:06.000]  他們就會失去了團體社群的支持
[00:02:06.000 --> 00:02:12.000]  最後在教會內部也出現了假先知
[00:02:12.000 --> 00:02:15.000]  不合真理的教導
[00:02:15.000 --> 00:02:19.000]  在第二章用了巴蘭的教訓
[00:02:19.000 --> 00:02:22.000]  假先知而使逼
[00:02:22.000 --> 00:02:25.000]  和我們不太熟悉的尼哥拉派
[00:02:25.000 --> 00:02:30.000]  去形容那些離經背道的教訓
[00:02:30.000 --> 00:02:32.000]  大致上來說
[00:02:32.000 --> 00:02:36.000]  這三派鼓吹的都是一種包容性的宗教
[00:02:36.000 --> 00:02:42.000]  鼓勵信徒不需要那麼嚴謹的持守聖經立場
[00:02:42.000 --> 00:02:45.000]  是鼓吹宗教混合
[00:02:45.000 --> 00:02:49.000]  或者說我們要用愛心來包容一切
[00:02:49.000 --> 00:02:53.000]  包括假先知、泛淫亂的信徒
[00:02:53.000 --> 00:02:58.000]  以致信徒可以同時信耶穌
[00:02:58.000 --> 00:03:02.000]  也可以同時吃祭過偶像的食物
[00:03:02.000 --> 00:03:06.000]  又泛淫亂的行為都可以包容
[00:03:06.000 --> 00:03:09.000]  不過教會的主
[00:03:09.000 --> 00:03:12.000]  耶穌基督知道一切
[00:03:12.000 --> 00:03:15.000]  祂斥責那些背道的行為
[00:03:15.000 --> 00:03:17.000]  祂懲罰假先知
[00:03:17.000 --> 00:03:25.000]  亦都很嚴厲地警告聽從假先知教訓的人
[00:03:25.000 --> 00:03:30.000]  主所表揚的是願意持守真道
[00:03:30.000 --> 00:03:36.000]  甚至是為真理殉道的信徒
[00:03:36.000 --> 00:03:39.000]  今天讓我們來看看
[00:03:39.000 --> 00:03:44.000]  主如何評價最後的三間教會
[00:03:44.000 --> 00:03:48.000]  在三章第一節至第六節
[00:03:48.000 --> 00:03:53.000]  我們看到主耶穌責備殺敵教會
[00:03:53.000 --> 00:03:58.000]  那間教會是一間死的教會
[00:03:58.000 --> 00:04:02.000]  但仍然有人以為它是活的
[00:04:02.000 --> 00:04:10.000]  為何一間死的教會在人看上來卻仍然是活的呢?
[00:04:10.000 --> 00:04:13.000]  我相信只有一個可能的解釋
[00:04:13.000 --> 00:04:16.000]  就是教會未曾關門
[00:04:16.000 --> 00:04:18.000]  仍然有崇拜聚會的舉行
[00:04:18.000 --> 00:04:21.000]  亦都可能有其他的活動
[00:04:21.000 --> 00:04:25.000]  所以在人看上來是一間活的教會
[00:04:25.000 --> 00:04:29.000]  人看人很多時候都是看外表
[00:04:29.000 --> 00:04:35.000]  唯有上帝的七靈能夠洞察入微
[00:04:35.000 --> 00:04:38.000]  知道教會的真實情況
[00:04:38.000 --> 00:04:47.000]  這裡稱主耶穌是那位有上帝的七個靈和七火星的
[00:04:47.000 --> 00:04:50.000]  不是說聖靈有七位
[00:04:50.000 --> 00:04:52.000]  不是這個意思
[00:04:52.000 --> 00:05:00.000]  我曾經說過七是神聖源泉的意思
[00:05:00.000 --> 00:05:04.000]  對前面第二章提到的四間教會
[00:05:04.000 --> 00:05:08.000]  主都是用稱讚開始
[00:05:08.000 --> 00:05:13.000]  然後有一些責備
[00:05:13.000 --> 00:05:20.000]  唯獨對殺敵教會就一句稱讚都沒有
[00:05:20.000 --> 00:05:24.000]  殺敵教會真是一間非常腐化的教會
[00:05:24.000 --> 00:05:29.000]  在主的眼裡好像死了一樣
[00:05:29.000 --> 00:05:31.000]  雖然如此
[00:05:31.000 --> 00:05:35.000]  但主耶穌是那位壓傷的蘆葦
