
[00:00:00.000 --> 00:00:03.200]  多謝主讓我們今天一齊聚集
[00:00:03.200 --> 00:00:07.440]  來聽啟示錄的訊息
[00:00:07.440 --> 00:00:09.840]  今天說的經文
[00:00:09.840 --> 00:00:14.640]  主要是十一章十五節
[00:00:14.640 --> 00:00:21.080]  「世上的國成了我主和主基督的國
[00:00:21.080 --> 00:00:26.640]  他要作王直到永永遠遠」
[00:00:26.640 --> 00:00:30.480]  尼賽亞神曲我相信大家都聽過
[00:00:30.480 --> 00:00:34.560]  特別是那個「Hallelujah」大合唱
[00:00:34.560 --> 00:00:42.720]  我都記得施班曾經唱過這首的大合唱
[00:00:42.720 --> 00:00:44.560]  我常常都以為
[00:00:44.560 --> 00:00:48.400]  這一套的神曲就是以這個大合唱
[00:00:48.400 --> 00:00:51.360]  「Hallelujah Hallelujah Hallelujah」
[00:00:51.360 --> 00:00:56.160]  「主我神全能者作王直到永遠」
[00:00:56.160 --> 00:00:58.360]  「Forever and ever and ever」
[00:00:58.360 --> 00:00:59.560]  記不記得
[00:00:59.560 --> 00:01:01.520]  以為是這樣結束
[00:01:01.520 --> 00:01:03.320]  其實不是
[00:01:03.320 --> 00:01:05.760]  他是以高揚頌
[00:01:05.760 --> 00:01:15.520]  「曾被殺的高揚是配得榮耀尊貴權能直到永永遠遠」
[00:01:15.520 --> 00:01:17.800]  主讓我們活在今天的香港
[00:01:17.800 --> 00:01:21.520]  主讓我們今天以主禱文
[00:01:21.520 --> 00:01:25.280]  神的名 神的國 神的美意
[00:01:25.280 --> 00:01:29.440]  來作我們聚會的開始
[00:01:29.440 --> 00:01:31.520]  也在今天的經文
[00:01:31.520 --> 00:01:35.560]  再一次告訴我們啟示錄的主角
[00:01:35.560 --> 00:01:37.240]  只有一位
[00:01:37.240 --> 00:01:39.320]  主耶穌基督
[00:01:39.320 --> 00:01:41.480]  歷史的主角
[00:01:41.480 --> 00:01:44.880]  也只有主耶穌基督
[00:01:44.880 --> 00:01:48.400]  今天我分兩大段來和大家
[00:01:48.400 --> 00:01:56.480]  分享反右派所寫的啟示錄的解經
[00:01:56.480 --> 00:01:58.640]  順便告訴你一個好消息
[00:01:58.640 --> 00:02:01.720]  就是現在在尖沙咀街坊福利會
[00:02:01.720 --> 00:02:04.080]  有一個基督教書展
[00:02:04.080 --> 00:02:05.400]  還有幾天
[00:02:05.400 --> 00:02:07.400]  好像是到星期三
[00:02:07.400 --> 00:02:12.280]  希望大家都能夠去看看
[00:02:12.280 --> 00:02:14.400]  又去買賣
[00:02:14.400 --> 00:02:16.680]  我已經立了指向
[00:02:16.680 --> 00:02:21.280]  我買書不用出版社給折扣我
[00:02:21.280 --> 00:02:24.280]  因為基督教出版事業
[00:02:24.280 --> 00:02:29.400]  其實是我們很重要的思想教育
[00:02:29.400 --> 00:02:31.280]  福音的傳遞
[00:02:31.280 --> 00:02:33.360]  很重要的一環
[00:02:33.360 --> 00:02:35.680]  為什麼提到這個書展呢
[00:02:35.680 --> 00:02:37.800]  因為聽說
[00:02:37.800 --> 00:02:39.680]  聽邱牧師說
[00:02:39.680 --> 00:02:42.760]  我翻譯的這本啟示錄出了
[00:02:42.760 --> 00:02:45.160]  不過我自己還沒看到
[00:02:45.160 --> 00:02:48.120]  今天和大家分兩大段來看
[00:02:48.120 --> 00:02:50.160]  一大段就是十一章
[00:02:50.160 --> 00:02:52.160]  一至到十四節
[00:02:52.160 --> 00:02:55.880]  有聖經都希望大家打開它
[00:02:55.880 --> 00:02:59.680]  接著看就不會這麼混亂
