
[00:00:00.000 --> 00:00:04.940]  今日我哋嘅題目叫做「在挑戰中跟隨神」
[00:00:04.940 --> 00:00:07.180]  咁大家知道我好鍾意足球啦
[00:00:07.180 --> 00:00:10.680]  最近呢如果鍾意足球嘅人都知道係歐洲國家盃啦
[00:00:10.680 --> 00:00:13.960]  另外呢我好喜愛嘅英格蘭入咗決賽啦
[00:00:13.960 --> 00:00:17.820]  咁所以我唔知道你星期日呢你會做緊啲咩啦
[00:00:17.820 --> 00:00:22.160]  咁講起足球呢我曾經喺網上聽過一個咁嘅故事
[00:00:22.160 --> 00:00:26.020]  佢話原來昔日曼聯嘅領隊費格遜爵士呢
[00:00:26.020 --> 00:00:31.480]  其實佢好想邀請呢意大利嘅球星迪比亞路呢去加盟曼聯喎
[00:00:31.480 --> 00:00:34.380]  但係迪比亞路呢一直都唔願意離隊
[00:00:34.380 --> 00:00:38.320]  直到2006年呢意大利贏咗世界盃嘅冠軍
[00:00:38.320 --> 00:00:41.220]  而迪比亞路呢係隊中嘅明星
[00:00:41.220 --> 00:00:45.400]  就喺呢個時候呢佢效力嘅球隊意大利嘅祖雲達斯呢
[00:00:45.400 --> 00:00:50.960]  因為控制賽果嘅指控呢而被降到佢越咗喎
[00:00:50.960 --> 00:00:54.500]  咁費格遜爵士就覺得呢個一定係一個好好嘅時機
[00:00:54.500 --> 00:00:58.460]  去邀請呢去迪比亞路呢去加盟曼聯喇
[00:00:58.460 --> 00:01:05.420]  因為佢覺得呢頂級嘅球星呢係唔會跟隨球隊去到越祖嗰度作賽
[00:01:05.420 --> 00:01:07.520]  於是佢去聯絡迪比亞路
[00:01:07.520 --> 00:01:09.720]  但係迪比亞路俾佢嘅回應係咩呢
[00:01:09.720 --> 00:01:12.520]  佢話領隊先生好多謝你
[00:01:12.520 --> 00:01:14.520]  你之前已經聯絡過我
[00:01:14.520 --> 00:01:16.060]  我好多謝你嘅邀請
[00:01:16.060 --> 00:01:19.100]  但係佢話祖雲達斯而家降咗落去越祖
[00:01:19.100 --> 00:01:21.700]  呢一隊係我嘅球隊
[00:01:21.700 --> 00:01:27.760]  亦都呢我係隊長 我唔能夠喺呢個時間就離開佢哋
[00:01:27.760 --> 00:01:30.220]  好多時呢我哋都會喺唔同環境裏面呢
[00:01:30.220 --> 00:01:33.460]  去放棄咗原先呢我哋所跟隨嘅嘢㗎
[00:01:33.460 --> 00:01:37.160]  咁呢大家知道我亦都好鍾意Beyond 係Beyond嘅歌迷
[00:01:37.160 --> 00:01:40.720]  咁當然大家呢亦都聽過喺海闊天空裏面呢
[00:01:40.720 --> 00:01:50.420]  有一句歌詞叫做「悲喜了理想,誰人都可以,那會怕有一天只你共我」
[00:01:50.420 --> 00:01:53.420]  當我哋去回望我哋自己信仰嘅生命
[00:01:53.420 --> 00:01:56.100]  面對唔同環境嘅挑戰
[00:01:56.100 --> 00:02:01.900]  我哋又有冇喺挑戰裏面去緊緊跟隨上帝呢
[00:02:01.900 --> 00:02:04.140]  喺過去嘅兩篇嘅講章裏面
[00:02:04.140 --> 00:02:06.740]  無論我嘅分享或者呢係亂目式嘅分享
[00:02:06.740 --> 00:02:12.420]  我哋都知道呢以色列呢分為咗南國同埋北國
[00:02:12.420 --> 00:02:16.860]  而兩個國嘅國王都有佢嘅軟弱同埋失敗
[00:02:16.860 --> 00:02:22.380]  我嘗試成日讀得啱呀,南國係羅邦安,北國係耶羅邦安
[00:02:22.380 --> 00:02:27.100]  係喇,冇鎖羅邦安,係喇,因為韓公成日話我嘗試讀左鎖羅邦安
[00:02:27.100 --> 00:02:33.740]  係喇,南國嘅羅邦安呢佢呢就唔聽啲老年人嘅勸勉
[00:02:33.740 --> 00:02:36.140]  反而呢就聽咗少年人嘅意見
[00:02:36.140 --> 00:02:39.100]  將更重嘅壓去加喺百姓嘅身上面
[00:02:39.100 --> 00:02:41.140]  所以百姓離棄咗佢
[00:02:41.140 --> 00:02:44.580]  而以色列就分咗咗南國同埋北國啦
[00:02:44.580 --> 00:02:47.820]  而北國嘅耶羅邦安王呢
[00:02:47.820 --> 00:02:52.380]  佢就好驚嗰啲百姓會返返到去耶路撒冷嘅聖殿嗰度敬拜
[00:02:52.380 --> 00:02:54.980]  又擔心咁樣佢就失去咗權力
[00:02:54.980 --> 00:02:59.340]  所以佢就私底下設立咗敬拜嘅祭壇
[00:02:59.340 --> 00:03:04.740]  違反咗神嘅旨意喺伯特利同埋丹嘅地方做多兩隻金牛毒
[00:03:04.740 --> 00:03:08.380]  就話呢個就係帶你出埃及嘅神啦
[00:03:08.380 --> 00:03:11.740]  唔單止係咁,佢私自唔單止定立咗祭壇
[00:03:11.740 --> 00:03:14.420]  佢私自定立咗敬拜嘅制度
[00:03:14.420 --> 00:03:17.380]  佢將個節祭嘅日子呢,退早咗
[00:03:17.380 --> 00:03:20.380]  又唔單止係咁,佢私自定立祭司
[00:03:20.380 --> 00:03:22.980]  神係話呢利美人先可以作祭司
[00:03:22.980 --> 00:03:26.700]  但係佢就立唔係利美人嘅人做祭司
[00:03:26.700 --> 00:03:32.540]  所以聖經話佢嘅行為令以色列民陷在罪累
[00:03:32.540 --> 00:03:34.820]  喺呢個環境嘅裏面
[00:03:34.820 --> 00:03:39.580]  接觸呢兩個皇帝做王嘅佢哋嘅生命又係點樣嘅呢?
[00:03:39.580 --> 00:03:43.380]  佢哋嘅生命又畀我哋乜嘢嘅提醒呢?
[00:03:43.380 --> 00:03:49.100]  作為背景呢我哋可以首先一齊去睇第十五章嘅一至到第八節
[00:03:49.100 --> 00:03:49.940]  我哋一齊讀好唔好?
[00:03:49.940 --> 00:03:50.900]  一二三
[00:03:50.900 --> 00:03:54.740]  尼拔的兒子耶羅邦安十八年
[00:03:54.740 --> 00:03:58.100]  阿比央登基作猶大王
[00:03:58.100 --> 00:04:01.220]  在耶路撒冷作王三年
[00:04:01.220 --> 00:04:03.620]  他母親名叫瑪迦
[00:04:03.620 --> 00:04:05.780]  是阿沙隆的女兒
[00:04:05.780 --> 00:04:10.740]  阿比央行他父親在他以前所行的一切惡
[00:04:10.740 --> 00:04:13.780]  他的心不像他祖大衛的心
[00:04:13.780 --> 00:04:17.580]  誠誠實實地信服耶和華他的神
[00:04:17.580 --> 00:04:21.380]  然而耶和華他的神因大衛的緣故
[00:04:21.380 --> 00:04:25.020]  仍使他在耶路撒冷有燈光
[00:04:25.020 --> 00:04:27.820]  叫他兒子接觸他作王
[00:04:27.820 --> 00:04:30.180]  建立耶路撒冷
[00:04:30.180 --> 00:04:34.380]  因為大衛除了客人烏利亞那件事
[00:04:34.380 --> 00:04:37.940]  都事行耶和華眼中看為正的事
[00:04:37.940 --> 00:04:42.100]  一生沒有背叛耶和華一切所吩咐的
