
[00:00:00.000 --> 00:00:04.040]  接下來連續幾次我都會用希伯來書來做我講道的訊息
[00:00:04.040 --> 00:00:07.360]  所以我們先對希伯來書的背景多一點認識
[00:00:07.360 --> 00:00:09.800]  希伯來書是新曰還是舊曰請問?
[00:00:09.800 --> 00:00:10.600]  新曰
[00:00:10.600 --> 00:00:15.520]  好嘢 大家的讀經都有一番定級了
[00:00:15.520 --> 00:00:19.040]  希伯來的人好像希伯來又不是講舊曰的東西呢
[00:00:19.040 --> 00:00:20.680]  希伯來書講很多舊曰的東西
[00:00:20.680 --> 00:00:22.360]  不過是新曰的書卷
[00:00:22.360 --> 00:00:24.320]  在四方書之後有《少林寺傳》
[00:00:24.320 --> 00:00:25.920]  跟著有十三卷的寶來書信
[00:00:25.920 --> 00:00:28.160]  跟著有一堆的普通書信
[00:00:28.160 --> 00:00:32.600]  有不同的作者寫的有雅各、約翰、彼得
[00:00:32.600 --> 00:00:36.680]  唯獨希伯來書的作者是不詳的
[00:00:36.680 --> 00:00:37.720]  有很多的可能性
[00:00:37.720 --> 00:00:39.800]  但是沒有清楚明確地講
[00:00:39.800 --> 00:00:41.800]  但是都可以約略知道
[00:00:41.800 --> 00:00:45.200]  他是寫在主後65至69年期間
[00:00:45.200 --> 00:00:48.880]  耶穌大約在主後33至34年左右升天
[00:00:48.880 --> 00:00:50.160]  再過了30年
[00:00:50.160 --> 00:00:52.240]  希伯來書就出現了
[00:00:52.240 --> 00:00:56.200]  希伯來書的讀者反而可以約略猜到
[00:00:56.200 --> 00:00:59.080]  是一群很熟悉猶太律法的人
[00:00:59.080 --> 00:01:00.960]  有理由相信他們是一群
[00:01:00.960 --> 00:01:02.360]  原本信奉猶太教
[00:01:02.360 --> 00:01:04.720]  後來接受了基督系尼塞亞
[00:01:04.720 --> 00:01:07.280]  所以就成為了基督徒
[00:01:07.280 --> 00:01:08.960]  因為當中提及了很多
[00:01:08.960 --> 00:01:12.000]  你是阿伯拉罕的子孫
[00:01:12.000 --> 00:01:14.240]  提及過很多舊曰的律法
